spec,gate,trail,stop,target,cagr,cagr_worst,cagr_best,cagr_no_sweep,sweep_pp,sweep_share,invested,dd,dd_worst,calmar,calmar_worst,tpy,hold,win,avg_win,avg_loss,mean_tr,netexp,streak,wa_cagr,wa_dd,wa_netexp,wb_cagr,wb_dd,wb_netexp,cagr_40bps,cagr_60bps,mean_tr_ex_top10,mean_tr_cap50,mean_tr_cap100,top10_share_pct,cap_med_pct_tv_10L,cap_p90_pct_tv_10L,cap_p90_pct_tv_1cr,cap_p90_pct_tv_10cr,n_distinct_names
incumbent_r153_ungated,none,20,0.08,0.25,14.9,13.11,16.73,11.08,3.82,25.6,31.8,-38.57,-46.43,0.386,0.282,33.2,18.0,39.9,15.25,-5.49,2.813,2.313,18,14.14,-12.75,4.904,15.04,-37.98,1.657,12.94,10.47,2.3,2.81,2.81,19.6,0.911,3.065,30.65,306.5,331
A_trail50_sl10_tp25_sma150,150,50,0.1,0.25,21.8,20.83,23.19,17.97,3.83,17.6,36.3,-26.63,-32.88,0.819,0.634,18.9,37.0,49.0,21.46,-7.44,6.738,6.238,11,16.12,-15.94,8.541,27.2,-26.56,5.535,20.81,19.02,5.89,6.74,6.74,15.0,1.555,9.046,90.46,904.6,254
B_trail50_sl15_tp25_sma150,150,50,0.15,0.25,22.36,21.5,24.31,18.36,4.0,17.9,37.0,-29.34,-40.12,0.762,0.536,18.5,38.0,49.8,21.85,-7.6,7.076,6.576,14,15.89,-16.15,8.41,29.23,-28.1,6.04,21.04,19.67,6.24,7.08,7.08,14.2,1.539,9.693,96.93,969.3,253
