label,mechanic,universe,max_age_m,min_bars,L,max_depth,rs_policy,rs_min,tight_max,pivot_mode,stop,trail,target,slots,size_pct,risk_pct,stop_mode,cost,gate,n_signals,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold,w2_inv,w2_streak,wa_cagr,wa_cagr_lo,wa_cagr_hi,wa_dd,wa_dd_worst,wa_calmar,wa_n,wa_tpy,wa_win,wa_mean,wa_netexp,wa_avg_win,wa_avg_loss,wa_hold,wa_inv,wa_streak,wb_cagr,wb_cagr_lo,wb_cagr_hi,wb_dd,wb_dd_worst,wb_calmar,wb_n,wb_tpy,wb_win,wb_mean,wb_netexp,wb_avg_win,wb_avg_loss,wb_hold,wb_inv,wb_streak,secs
s1_tr10_tp25_sl6,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.06,10,0.25,8,0.1875,,pct,0.0025,False,1548,9.96,8.89,11.0,-49.03,-56.34,0.203,933,45.1,38.5,1.522,1.022,10.69,-4.25,10.0,23.2,13,16.1,15.81,16.43,-11.72,-12.06,1.374,142,14.2,51.1,5.54,5.04,14.6,-3.89,12.0,8.6,8,4.64,2.04,6.67,-50.23,-59.77,0.092,792,74.2,36.3,0.802,0.302,9.77,-4.3,9.0,36.9,13,6.8
s1_tr10_tp25_sl8,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,10,0.25,8,0.1875,,pct,0.0025,False,1548,9.33,8.28,11.02,-51.34,-58.88,0.182,928,44.9,38.3,1.451,0.951,10.73,-4.3,10.0,23.5,13,15.85,15.68,16.02,-11.38,-11.57,1.392,141,14.2,50.4,5.455,4.955,14.59,-3.87,12.0,8.7,8,3.59,1.05,6.41,-51.38,-60.94,0.07,789,73.9,35.9,0.734,0.234,9.76,-4.37,10.0,37.2,13,6.3
s1_tr10_tp25_sl10,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.1,10,0.25,8,0.1875,,pct,0.0025,False,1548,9.49,8.49,11.19,-51.75,-60.13,0.183,925,44.7,38.7,1.482,0.982,10.74,-4.32,10.0,23.7,13,16.53,16.36,16.7,-11.75,-11.89,1.406,139,14.0,51.8,5.786,5.286,14.51,-3.66,12.0,8.9,8,3.34,0.61,6.22,-52.27,-62.39,0.064,788,73.8,36.0,0.719,0.219,9.77,-4.43,10.0,37.5,13,6.4
s1_tr10_tp25_sl15,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,10,0.25,8,0.1875,,pct,0.0025,False,1548,9.09,7.91,10.97,-53.66,-62.36,0.169,923,44.7,38.4,1.431,0.931,10.76,-4.34,10.0,23.7,13,16.53,16.36,16.7,-11.75,-11.89,1.406,139,14.0,51.8,5.786,5.286,14.51,-3.66,12.0,8.9,8,2.62,-0.01,5.78,-54.72,-64.0,0.048,786,73.6,35.8,0.663,0.163,9.82,-4.45,10.0,37.5,13,6.5
s1_tr10_tp25_nosl,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.99,10,0.25,8,0.1875,,pct,0.0025,False,1548,9.05,7.84,10.95,-53.66,-62.36,0.169,923,44.7,38.4,1.43,0.93,10.77,-4.36,10.0,23.7,13,16.53,16.36,16.7,-11.75,-11.89,1.406,139,14.0,51.8,5.786,5.286,14.51,-3.66,12.0,8.9,8,2.49,-0.13,5.74,-54.72,-64.0,0.046,786,73.6,35.8,0.657,0.157,9.82,-4.46,10.0,37.5,13,6.6
s1_tr10_tp50_sl6,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.06,10,0.5,8,0.1875,,pct,0.0025,False,1548,11.74,9.93,13.53,-47.83,-52.94,0.245,890,43.1,39.0,1.84,1.34,11.39,-4.26,11.0,24.6,13,17.51,17.22,17.8,-13.36,-13.63,1.311,129,12.9,54.3,6.744,6.244,15.65,-3.8,15.0,10.0,7,6.91,2.13,8.96,-48.58,-55.67,0.142,763,71.5,36.2,1.024,0.524,10.39,-4.32,10.0,38.2,13,6.4
s1_tr10_tp50_sl8,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,10,0.5,8,0.1875,,pct,0.0025,False,1548,11.01,9.77,12.38,-48.72,-52.33,0.226,886,42.9,38.6,1.759,1.259,11.49,-4.32,11.0,24.8,13,17.33,17.18,17.49,-13.13,-13.28,1.32,128,12.8,53.9,6.716,6.216,15.8,-3.77,15.0,10.0,7,6.16,2.17,7.94,-48.55,-56.26,0.127,759,71.1,35.9,0.982,0.482,10.46,-4.38,10.0,38.6,13,6.3
s1_tr10_tp50_sl10,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.1,10,0.5,8,0.1875,,pct,0.0025,False,1548,11.12,9.97,12.6,-48.91,-53.04,0.227,884,42.8,38.9,1.779,1.279,11.5,-4.36,11.0,25.0,13,17.64,17.48,17.8,-13.12,-13.27,1.345,128,12.8,54.7,6.846,6.346,15.7,-3.7,15.0,10.2,7,6.09,2.26,7.71,-49.63,-56.76,0.123,757,70.9,36.1,0.981,0.481,10.48,-4.43,10.0,38.8,13,6.6
s1_tr10_tp50_sl15,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,10,0.5,8,0.1875,,pct,0.0025,False,1548,11.05,9.65,12.37,-49.36,-52.88,0.224,883,42.7,38.8,1.767,1.267,11.52,-4.34,11.0,25.0,13,17.64,17.48,17.8,-13.12,-13.27,1.345,128,12.8,54.7,6.846,6.346,15.7,-3.7,15.0,10.2,7,5.7,2.17,7.67,-49.6,-56.04,0.115,755,70.8,35.8,0.95,0.45,10.52,-4.42,10.0,38.8,13,7.1
s1_tr10_tp50_nosl,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.99,10,0.5,8,0.1875,,pct,0.0025,False,1548,11.04,9.58,12.3,-49.36,-52.88,0.224,882,42.7,38.7,1.767,1.267,11.53,-4.35,11.0,25.0,13,17.64,17.48,17.8,-13.12,-13.27,1.345,128,12.8,54.7,6.846,6.346,15.7,-3.7,15.0,10.2,7,5.56,2.02,7.67,-49.6,-56.04,0.112,755,70.8,35.8,0.942,0.442,10.52,-4.43,10.0,38.8,13,8.1
