label,mechanic,universe,max_age_m,min_bars,L,max_depth,rs_policy,rs_min,tight_max,pivot_mode,stop,trail,target,slots,size_pct,risk_pct,stop_mode,cost,gate,n_signals,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold,w2_inv,w2_streak,wa_cagr,wa_cagr_lo,wa_cagr_hi,wa_dd,wa_dd_worst,wa_calmar,wa_n,wa_tpy,wa_win,wa_mean,wa_netexp,wa_avg_win,wa_avg_loss,wa_hold,wa_inv,wa_streak,wb_cagr,wb_cagr_lo,wb_cagr_hi,wb_dd,wb_dd_worst,wb_calmar,wb_n,wb_tpy,wb_win,wb_mean,wb_netexp,wb_avg_win,wb_avg_loss,wb_hold,wb_inv,wb_streak,secs
s2b_a6_L25_d30_off_n5x2000,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,5,0.2,,pct,0.0025,False,1548,19.74,16.93,21.98,-40.09,-52.33,0.492,408,19.7,44.9,5.635,5.135,22.09,-7.77,38.0,41.4,13,14.38,14.21,14.56,-21.36,-22.11,0.673,98,9.9,50.8,6.854,6.354,21.27,-8.01,35.0,19.4,5,25.42,16.71,33.32,-41.02,-51.55,0.62,315,29.6,43.8,5.234,4.734,21.92,-7.72,38.0,62.1,13,6.8
s2b_a6_L25_d30_off_n8x1250,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.125,,pct,0.0025,False,1548,17.23,15.31,19.17,-43.08,-51.66,0.4,614,29.7,45.2,5.186,4.686,21.01,-7.89,38.0,38.9,19,12.25,11.86,12.65,-17.76,-17.98,0.69,138,13.8,48.9,6.111,5.611,20.72,-7.87,34.0,16.3,8,22.36,18.53,27.5,-45.1,-51.95,0.496,482,45.2,44.3,4.88,4.38,20.91,-7.85,38.0,59.9,20,8.8
s2b_a6_L25_d30_off_n8x1875,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,1548,22.4,20.21,24.89,-46.92,-54.75,0.477,467,22.6,46.2,6.103,5.603,22.17,-7.68,37.0,43.5,17,16.16,16.07,16.16,-20.63,-21.34,0.783,112,11.2,51.8,7.385,6.885,21.8,-8.1,33.0,19.5,7,27.67,23.44,33.85,-48.04,-56.45,0.576,361,33.8,43.9,5.434,4.934,22.11,-7.62,37.0,66.0,17,7.3
s2b_a6_L25_d30_off_n10x1000,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,10,0.1,,pct,0.0025,False,1548,15.06,13.81,16.42,-43.34,-48.74,0.347,723,35.0,44.5,4.693,4.193,20.48,-7.89,38.0,36.8,22,10.99,10.99,11.03,-16.27,-16.31,0.675,150,15.0,48.0,5.874,5.374,20.99,-8.09,33.0,14.1,10,18.89,16.35,21.97,-43.0,-49.98,0.439,573,53.7,43.6,4.345,3.845,20.06,-7.79,39.0,57.9,22,9.0
s2b_a6_L25_d30_off_n12x833,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,12,0.0833,,pct,0.0025,False,1548,13.65,12.58,14.58,-37.4,-42.72,0.365,812,39.3,43.4,4.399,3.899,20.52,-7.91,38.0,34.9,23,9.7,9.67,9.91,-14.72,-15.02,0.659,157,15.7,46.5,5.4,4.9,21.09,-8.24,33.0,12.2,12,17.7,14.55,20.35,-38.27,-43.89,0.462,657,61.5,42.8,4.188,3.688,20.2,-7.8,39.0,55.9,23,10.1
s2b_a6_L25_d30_off_n16x625,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,16,0.0625,,pct,0.0025,False,1548,12.58,11.7,13.34,-34.13,-37.53,0.369,977,47.3,43.0,4.327,3.827,20.55,-7.96,38.0,31.7,23,8.93,8.93,8.93,-11.47,-11.47,0.779,164,16.4,47.0,5.634,5.134,21.47,-8.38,33.0,9.7,12,16.14,15.23,17.88,-35.25,-38.46,0.458,812,76.1,42.4,4.029,3.529,20.25,-7.86,39.0,52.2,23,12.0
s2b_a6_L15_d30_off_n5x2000,nextday_pivot,clean,6,25,15,0.3,off,70.0,,close,0.15,50,0.25,5,0.2,,pct,0.0025,False,2158,18.19,14.49,20.52,-45.31,-57.26,0.401,493,23.9,43.8,4.62,4.12,20.81,-7.86,34.0,45.2,12,11.61,10.91,12.61,-22.57,-22.85,0.515,133,13.3,46.6,4.314,3.814,20.06,-9.38,32.0,23.9,7,23.68,19.69,29.66,-41.35,-55.36,0.573,363,34.0,42.7,4.539,4.039,20.31,-7.37,34.0,65.4,12,8.0
s2b_a6_L15_d30_off_n8x1250,nextday_pivot,clean,6,25,15,0.3,off,70.0,,close,0.15,50,0.25,8,0.125,,pct,0.0025,False,2158,15.98,14.3,17.53,-39.39,-48.74,0.406,751,36.3,43.2,4.183,3.683,19.89,-7.75,35.0,43.7,16,9.16,9.05,9.83,-18.53,-19.16,0.494,187,18.7,44.4,3.422,2.922,18.87,-8.78,32.0,20.9,8,22.99,19.5,27.65,-38.88,-48.04,0.591,572,53.6,43.1,4.328,3.828,19.8,-7.3,35.0,65.0,15,9.6
s2b_a6_L15_d30_off_n8x1875,nextday_pivot,clean,6,25,15,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,2158,18.47,15.7,22.1,-41.04,-54.3,0.45,554,26.8,43.8,4.5,4.0,20.44,-7.78,34.0,47.5,12,10.72,10.2,11.46,-26.48,-27.56,0.405,150,15.1,46.0,3.867,3.367,19.32,-9.36,32.0,24.8,7,26.05,22.0,30.32,-42.64,-50.74,0.611,407,38.1,43.0,4.637,4.137,20.44,-7.27,35.0,68.7,12,8.3
s2b_a6_L15_d30_off_n10x1000,nextday_pivot,clean,6,25,15,0.3,off,70.0,,close,0.15,50,0.25,10,0.1,,pct,0.0025,False,2158,14.55,13.36,16.19,-38.09,-48.97,0.382,899,43.5,42.2,3.878,3.378,19.73,-7.81,34.0,41.6,18,9.72,9.34,10.09,-16.46,-16.91,0.59,209,20.9,44.3,3.918,3.418,19.6,-8.6,32.0,18.5,9,20.06,17.57,23.68,-37.76,-43.77,0.531,693,65.0,42.3,3.95,3.45,19.55,-7.44,35.0,63.1,18,10.1
s2b_a6_L15_d30_off_n12x833,nextday_pivot,clean,6,25,15,0.3,off,70.0,,close,0.15,50,0.25,12,0.0833,,pct,0.0025,False,2158,13.87,12.81,15.37,-37.9,-47.1,0.366,1029,49.8,42.0,3.813,3.313,19.83,-7.83,34.0,39.6,20,9.2,8.76,9.49,-16.26,-16.38,0.566,226,22.6,43.8,3.866,3.366,20.07,-8.71,32.0,16.8,11,19.17,17.32,21.33,-38.98,-46.78,0.492,805,75.5,42.2,3.865,3.365,19.48,-7.49,35.0,60.8,19,12.4
s2b_a6_L15_d30_off_n16x625,nextday_pivot,clean,6,25,15,0.3,off,70.0,,close,0.15,50,0.25,16,0.0625,,pct,0.0025,False,2158,12.88,11.96,13.64,-34.55,-40.34,0.373,1232,59.6,41.8,3.74,3.24,19.82,-7.83,35.0,36.2,20,8.02,8.02,8.04,-15.46,-15.49,0.519,246,24.6,42.7,3.55,3.05,20.17,-8.83,32.0,13.7,13,18.13,16.7,20.18,-34.74,-38.45,0.522,983,92.1,42.0,3.88,3.38,19.55,-7.46,36.0,57.0,20,14.0
s2b_a6_L15_d60_off_n5x2000,nextday_pivot,clean,6,25,15,0.6,off,70.0,,close,0.15,50,0.25,5,0.2,,pct,0.0025,False,2251,17.52,14.29,19.87,-43.09,-58.06,0.407,508,24.6,43.5,4.39,3.89,20.72,-8.3,34.0,46.6,12,10.13,9.66,10.8,-33.79,-34.72,0.3,144,14.4,45.1,3.794,3.294,20.81,-10.15,32.0,25.8,11,22.46,17.3,29.71,-42.5,-61.31,0.529,373,34.9,43.2,4.327,3.827,20.13,-7.71,34.0,66.1,12,8.2
s2b_a6_L15_d60_off_n8x1250,nextday_pivot,clean,6,25,15,0.6,off,70.0,,close,0.15,50,0.25,8,0.125,,pct,0.0025,False,2251,15.08,13.33,17.25,-43.13,-51.1,0.35,777,37.6,43.0,3.894,3.394,19.91,-8.19,34.0,44.8,17,9.29,8.91,9.69,-22.24,-22.74,0.418,201,20.1,44.3,3.405,2.905,19.6,-9.58,32.0,22.4,9,21.55,17.78,25.28,-41.4,-49.91,0.52,579,54.3,43.0,4.101,3.601,19.86,-7.74,35.0,65.6,17,9.8
s2b_a6_L15_d60_off_n8x1875,nextday_pivot,clean,6,25,15,0.6,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,2251,18.32,15.65,20.35,-41.34,-52.66,0.443,572,27.7,43.8,4.359,3.859,20.53,-8.25,34.0,48.8,12,10.38,9.3,11.03,-38.53,-39.29,0.269,162,16.2,45.7,3.725,3.225,20.14,-10.09,32.0,26.7,9,24.92,20.47,30.29,-42.37,-61.31,0.588,414,38.8,43.4,4.514,4.014,20.29,-7.6,34.0,69.4,12,9.3
s2b_a6_L15_d60_off_n10x1000,nextday_pivot,clean,6,25,15,0.6,off,70.0,,close,0.15,50,0.25,10,0.1,,pct,0.0025,False,2251,13.86,12.5,15.82,-41.31,-49.23,0.336,930,45.0,42.4,3.647,3.147,19.86,-8.22,34.0,42.7,19,9.37,8.83,9.69,-19.98,-20.41,0.469,225,22.5,44.0,3.573,3.073,19.92,-9.29,32.0,20.1,9,19.17,15.82,23.41,-38.62,-55.46,0.496,706,66.1,42.5,3.81,3.31,19.67,-7.77,35.0,63.9,19,11.7
s2b_a6_L15_d60_off_n12x833,nextday_pivot,clean,6,25,15,0.6,off,70.0,,close,0.15,50,0.25,12,0.0833,,pct,0.0025,False,2251,12.87,12.09,14.2,-40.1,-48.33,0.321,1063,51.4,41.8,3.481,2.981,19.84,-8.23,34.0,40.6,21,8.57,8.24,8.92,-19.01,-19.25,0.451,243,24.4,43.0,3.394,2.894,20.33,-9.36,32.0,18.1,11,18.0,15.67,20.06,-39.22,-44.79,0.459,824,77.2,41.8,3.621,3.121,19.46,-7.81,34.0,61.4,20,12.2
s2b_a6_L15_d60_off_n16x625,nextday_pivot,clean,6,25,15,0.6,off,70.0,,close,0.15,50,0.25,16,0.0625,,pct,0.0025,False,2251,12.09,11.48,13.42,-35.04,-40.85,0.345,1273,61.6,41.5,3.457,2.957,19.93,-8.19,34.0,37.0,21,7.68,7.67,7.69,-17.01,-17.02,0.452,268,26.8,41.8,3.162,2.662,20.7,-9.43,32.0,14.9,13,17.17,14.06,19.29,-35.11,-43.18,0.489,1005,94.1,41.8,3.633,3.133,19.45,-7.77,35.0,57.4,21,15.2
