label,mechanic,universe,max_age_m,min_bars,L,max_depth,rs_policy,rs_min,tight_max,pivot_mode,stop,trail,target,slots,size_pct,risk_pct,stop_mode,cost,gate,n_signals,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold,w2_inv,w2_streak,wa_cagr,wa_cagr_lo,wa_cagr_hi,wa_dd,wa_dd_worst,wa_calmar,wa_n,wa_tpy,wa_win,wa_mean,wa_netexp,wa_avg_win,wa_avg_loss,wa_hold,wa_inv,wa_streak,wb_cagr,wb_cagr_lo,wb_cagr_hi,wb_dd,wb_dd_worst,wb_calmar,wb_n,wb_tpy,wb_win,wb_mean,wb_netexp,wb_avg_win,wb_avg_loss,wb_hold,wb_inv,wb_streak,secs
s2a_a3_L15_d20_off,nextday_pivot,clean,3,25,15,0.2,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,778,13.92,13.03,15.14,-41.42,-45.64,0.336,364,17.6,46.9,4.637,4.137,18.75,-7.79,36.0,33.2,13,10.18,10.18,10.18,-17.81,-17.81,0.572,79,7.9,50.6,5.288,4.788,18.87,-8.64,28.0,11.3,9,17.47,14.36,19.76,-43.23,-50.17,0.404,291,27.3,46.4,4.347,3.847,18.23,-7.64,38.0,54.0,13,6.9
s2a_a3_L15_d20_short70,nextday_pivot,clean,3,25,15,0.2,short,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,2,5.14,5.14,5.14,-1.89,-1.89,2.714,2,0.1,50.0,8.248,7.748,26.46,-9.97,58.0,0.3,1,5.05,5.05,5.05,0.0,0.0,nan,0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0,5.22,5.22,5.22,-1.89,-1.89,2.759,2,0.2,50.0,8.248,7.748,26.46,-9.97,58.0,0.5,1,2.7
s2a_a3_L15_d30_off,nextday_pivot,clean,3,25,15,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,930,13.67,12.52,14.9,-41.44,-52.59,0.33,384,18.6,46.2,4.463,3.963,19.2,-8.12,37.0,35.6,13,9.68,9.57,10.18,-26.78,-26.78,0.361,86,8.6,51.2,5.041,4.541,19.09,-9.67,31.0,13.9,10,18.23,14.96,21.07,-37.79,-45.7,0.482,303,28.4,45.4,4.354,3.854,18.81,-7.77,38.0,56.3,13,6.7
s2a_a3_L15_d30_short70,nextday_pivot,clean,3,25,15,0.3,short,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,2,5.14,5.14,5.14,-1.89,-1.89,2.714,2,0.1,50.0,8.248,7.748,26.46,-9.97,58.0,0.3,1,5.05,5.05,5.05,0.0,0.0,nan,0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0,5.22,5.22,5.22,-1.89,-1.89,2.759,2,0.2,50.0,8.248,7.748,26.46,-9.97,58.0,0.5,1,3.1
s2a_a3_L15_d40_off,nextday_pivot,clean,3,25,15,0.4,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,967,12.3,11.08,14.06,-39.39,-49.63,0.312,399,19.3,45.5,3.962,3.462,19.04,-8.65,36.0,36.4,13,7.26,7.15,7.75,-38.88,-39.36,0.187,93,9.3,47.3,3.411,2.911,19.09,-10.66,31.0,14.6,11,16.74,14.34,18.72,-41.2,-49.55,0.406,310,29.0,45.6,3.983,3.483,18.52,-8.11,38.0,56.9,13,6.7
s2a_a3_L15_d40_short70,nextday_pivot,clean,3,25,15,0.4,short,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,2,5.14,5.14,5.14,-1.89,-1.89,2.714,2,0.1,50.0,8.248,7.748,26.46,-9.97,58.0,0.3,1,5.05,5.05,5.05,0.0,0.0,nan,0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0,5.22,5.22,5.22,-1.89,-1.89,2.759,2,0.2,50.0,8.248,7.748,26.46,-9.97,58.0,0.5,1,2.6
s2a_a3_L15_d60_off,nextday_pivot,clean,3,25,15,0.6,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,976,12.26,11.08,13.55,-43.22,-53.65,0.284,403,19.5,45.6,3.942,3.442,19.16,-8.75,36.0,36.6,12,7.96,7.62,8.46,-38.64,-39.36,0.206,95,9.5,47.9,3.869,3.369,19.59,-10.59,30.0,15.0,11,16.32,13.71,18.36,-42.07,-52.92,0.388,312,29.2,45.5,3.929,3.429,18.43,-8.13,37.0,57.0,12,6.7
s2a_a3_L15_d60_short70,nextday_pivot,clean,3,25,15,0.6,short,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,2,5.14,5.14,5.14,-1.89,-1.89,2.714,2,0.1,50.0,8.248,7.748,26.46,-9.97,58.0,0.3,1,5.05,5.05,5.05,0.0,0.0,nan,0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0,5.22,5.22,5.22,-1.89,-1.89,2.759,2,0.2,50.0,8.248,7.748,26.46,-9.97,58.0,0.5,1,2.6
s2a_a3_L25_d20_off,nextday_pivot,clean,3,25,25,0.2,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,387,14.61,14.0,15.37,-25.79,-32.82,0.567,238,11.5,51.7,6.542,6.042,20.15,-7.95,41.0,24.7,10,8.38,8.38,8.38,-9.6,-9.6,0.873,32,3.2,53.1,7.699,7.199,20.58,-6.9,30.0,5.1,6,21.26,19.65,22.26,-25.56,-32.79,0.832,209,19.6,51.7,6.352,5.852,19.75,-7.96,42.0,42.9,10,4.7
s2a_a3_L25_d20_short70,nextday_pivot,clean,3,25,25,0.2,short,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,2,5.14,5.14,5.14,-1.89,-1.89,2.714,2,0.1,50.0,8.248,7.748,26.46,-9.97,58.0,0.3,1,5.05,5.05,5.05,0.0,0.0,nan,0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0,5.22,5.22,5.22,-1.89,-1.89,2.759,2,0.2,50.0,8.248,7.748,26.46,-9.97,58.0,0.5,1,2.6
