spec,gate_sma,trail,target,stop,cagr,cagr_worst,cagr_best,cagr_no_sweep,sweep_pp,sweep_share,invested,dd,dd_worst,calmar,calmar_worstcase,tpy,hold,win,avg_win,avg_loss,netexp,streak,wa_cagr,wa_dd,wa_netexp,wb_cagr,wb_dd,wb_netexp,cagr_40bps,cagr_60bps,mean_tr,mean_tr_ex_top10,mean_tr_cap50,cap_p90_pct_of_tv_at_10L,cap_p90_pct_of_tv_at_1cr
incumbent,,20,0.25,0.08,14.9,13.11,16.73,11.08,3.82,25.6,31.8,-38.57,-46.43,0.386,0.282,33.2,18.0,39.9,15.25,-5.49,2.313,18,14.14,-12.75,4.904,15.04,-37.98,1.657,12.17,9.7,2.81,2.3,2.81,3.065,30.65
refit_nogate,,50,0.25,0.15,22.4,20.21,24.89,19.16,3.24,14.5,43.5,-46.92,-54.75,0.477,0.369,22.6,37.0,46.2,22.17,-7.68,5.603,17,16.16,-20.63,6.885,27.67,-48.04,4.934,21.27,19.73,6.1,5.39,6.1,10.385,103.85
refit_sma150,150.0,50,0.25,0.15,22.36,21.5,24.31,18.36,4.0,17.9,37.0,-29.34,-40.12,0.762,0.536,18.5,38.0,49.8,21.85,-7.6,6.576,14,15.89,-16.15,8.41,29.23,-28.1,6.04,20.94,19.52,7.08,6.24,7.08,9.693,96.93
refit_sma200,200.0,50,0.25,0.15,21.18,19.74,22.82,17.46,3.72,17.6,36.9,-31.04,-42.46,0.682,0.465,18.5,38.0,48.2,22.31,-7.68,6.286,13,15.53,-21.0,7.922,28.04,-32.32,5.975,20.38,19.0,6.79,5.93,6.79,9.553,95.53
refit_sma100,100.0,50,0.25,0.15,19.48,17.74,21.01,15.8,3.68,18.9,36.9,-41.95,-48.02,0.464,0.369,18.0,39.0,48.5,21.47,-7.73,5.952,14,14.76,-15.44,7.793,24.53,-41.94,5.386,18.33,16.94,6.45,5.58,6.45,8.282,82.82
refit_calmar_tp100_sl10_nogate,,50,1.0,0.1,19.68,18.28,22.61,16.59,3.09,15.7,46.4,-35.06,-49.67,0.561,0.368,15.5,55.0,43.6,28.17,-7.34,7.64,15,12.46,-31.01,7.645,29.05,-35.03,7.853,19.13,17.91,8.14,4.92,5.54,5.605,56.05
refit_calmar_tp100_sl10_sma150,150.0,50,1.0,0.1,18.52,17.29,20.04,15.01,3.51,19.0,39.6,-34.27,-35.06,0.54,0.493,12.5,58.0,47.9,27.14,-7.19,8.726,10,13.23,-25.67,10.775,23.78,-35.03,8.058,17.77,16.76,9.23,5.34,6.66,4.942,49.42
