blend,weight,n_paths,cagr_med,cagr_min,cagr_max,dd_med,dd_worst,calmar_med,2008crash_ret,2008crash_dd,2018grind_ret,2018grind_dd,2020crash_ret,2020crash_dd,2022H1grind_ret,2022H1grind_dd
baseline_TN+OA_50-50,0.0,30,27.17,24.77,28.49,-16.42,-18.87,1.597,1.2,-2.6,-9.9,-11.2,,,-5.9,-9.1
+VCP_10%,0.1,30,28.14,26.03,29.43,-16.77,-18.7,1.642,-2.0,-3.7,-10.6,-11.6,,,-6.8,-9.9
+VCP_15%,0.15,30,28.62,26.56,29.9,-17.86,-19.42,1.584,-3.5,-5.3,-11.0,-11.9,,,-7.2,-10.1
+VCP_20%,0.2,30,29.1,27.08,30.36,-18.96,-20.45,1.52,-5.0,-7.0,-11.3,-12.3,,,-7.7,-10.5
+VCP_25%,0.25,30,29.66,27.57,30.81,-20.05,-21.67,1.463,-6.5,-8.7,-11.7,-12.6,,,-8.0,-10.9
+VCP_33%,0.33,30,30.48,28.28,31.52,-21.82,-23.61,1.384,-8.9,-11.4,-12.6,-12.8,,,-8.7,-11.6
+CASHNULL_10%,0.1,30,24.94,22.81,26.13,-14.48,-16.4,1.659,1.6,-2.3,-8.5,-9.9,,,-5.1,-8.1
+CASHNULL_15%,0.15,30,23.83,21.83,24.95,-13.55,-15.21,1.699,1.9,-2.1,-7.8,-9.2,,,-4.7,-7.6
+CASHNULL_20%,0.2,30,22.72,20.85,23.77,-12.63,-14.19,1.745,2.1,-1.9,-7.2,-8.6,,,-4.3,-7.1
+CASHNULL_25%,0.25,30,21.61,19.87,22.58,-11.71,-13.16,1.799,2.3,-1.7,-6.5,-8.0,,,-3.9,-6.6
+CASHNULL_33%,0.33,30,19.83,18.29,20.7,-10.23,-11.49,1.902,2.7,-1.4,-5.4,-7.0,,,-3.2,-5.8
