symbol,entry_date,buy,inside_day_range,scale_ratio,day_open,day_high,day_low,day_close,prev_close,prev_high,open_above_buy,best_w,best_basis,best_gap,best_pivot,best_diff_pct,n_exact_hits,exact_min_w,exact_bases,fr3_last,fr3_last_diff,fr3_base,fr3_base_diff,fr5_last,fr5_last_diff,fr5_base,fr5_base_diff,vs_ath_high_pct,vs_ath_close_pct
MCX,2025-12-22,2084.9,True,1.0379,2080.0,2169.0,2063.0,2164.0,2061.0,2073.0,False,20,C,1,2085.0,0.0048,105,8,C,2103.0,0.861,2103.0,0.861,2103.0,0.861,2103.0,0.861,-0.86,-0.0
MUFIN,2025-12-19,114.86,True,1.0074,112.6,116.8,110.65,115.71,111.48,113.03,False,25,C,1,114.86,0.0,29,5,CH,113.9,0.843,126.34,9.087,126.34,9.087,126.34,9.087,-58.14,-57.35
SMLMAH,2025-12-02,3259.3,False,1.0322,3364.3,3364.3,3364.3,3364.3,3204.1,3204.1,True,20,C,1,3259.3,0.0,34,10,C,3346.6,2.609,4743.0,31.282,3346.6,2.609,4743.0,31.282,-31.28,-30.61
LUMAXTECH,2025-11-10,1322.7,True,1.0481,1269.9,1424.8,1269.9,1386.3,1200.2,1217.6,False,30,C,1,1322.7,0.0,88,20,C,1337.9,1.136,1337.9,1.136,1337.9,1.136,1337.9,1.136,-1.14,0.0
SRM,2025-10-30,570.45,True,1.0079,569.0,583.5,562.3,574.95,567.5,570.0,False,15,C,1,570.45,0.0,114,5,CH,555.0,2.784,584.9,2.471,584.9,2.471,584.9,2.471,-2.47,0.0
CARTRADE,2025-10-24,2540.6,True,1.0019,2520.0,2560.0,2520.0,2545.4,2518.4,2599.7,False,25,C,1,2540.6,0.0,13,15,C,2570.0,1.144,2755.0,7.782,2570.0,1.144,2755.0,7.782,-7.78,-7.19
ASHAPURMIN,2025-09-01,521.95,True,1.039,516.05,545.0,513.95,542.3,516.05,525.4,False,8,C,1,521.95,0.0,9,5,C,528.4,1.221,587.0,11.082,565.0,7.619,587.0,11.082,-11.08,-8.35
CUPID,2025-08-28,34.39,True,1.0003,34.0,34.7,33.8,34.4,34.0,34.55,False,5,C,1,34.4,0.0291,96,5,C,34.8,1.178,34.8,1.178,34.7,0.893,34.7,0.893,-1.18,-0.03
INDIASHLTR,2025-08-28,933.0,True,1.0205,920.0,962.45,906.05,952.1,909.9,925.0,False,10,C,1,933.0,0.0,24,5,C,975.0,4.308,1011.75,7.784,975.0,4.308,1011.75,7.784,-7.78,-6.9
ZOTA,2025-08-12,1291.9,True,1.0307,1212.16,1347.97,1194.57,1331.58,1202.77,1238.14,False,25,C,1,1291.01,0.0689,94,15,C,1276.02,1.244,1304.1,0.936,1276.02,1.244,1304.1,0.936,-0.94,0.07
