cell,phase,params,seeds,window,x_med,cagr_med,cagr_min,cagr_max,cagr_worst_seed,dd_med,dd_worst,calmar_med,n_med,win_med,avg_win,avg_loss,mean_tr,median_tr,streak,tpy,signals,passed_up,yearly_med,runtime_s
p6F_piv10_sma15,p6f,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,192.64,43.16,38.08,47.08,38.08,-26.92,-30.29,1.595,4321,43.6,11.24,-3.52,2.902,-0.842,45,294.7,38213,33873,"{""2012"": 29.8, ""2013"": 5.4, ""2014"": 100.3, ""2015"": 1.9, ""2016"": 23.8, ""2017"": 114.5, ""2018"": -8.0, ""2019"": 14.8, ""2020"": 131.1, ""2021"": 125.9, ""2022"": 24.8, ""2023"": 68.8, ""2024"": 65.8, ""2025"": 9.9, ""2026"": 27.0}",8.0
p6F_piv10_sma20,p6f,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,149.48,40.69,37.11,42.88,37.11,-29.39,-34.33,1.33,3455,42.6,13.09,-3.8,3.376,-1.02,40,235.6,38213,34744,"{""2012"": 29.0, ""2013"": 12.4, ""2014"": 93.2, ""2015"": 0.2, ""2016"": 15.0, ""2017"": 97.1, ""2018"": -14.4, ""2019"": 18.5, ""2020"": 133.6, ""2021"": 123.4, ""2022"": 12.6, ""2023"": 67.2, ""2024"": 55.6, ""2025"": 8.9, ""2026"": 34.0}",8.2
p6F_piv10_sma50,p6f,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,67.5,33.24,28.1,37.07,28.1,-36.35,-47.6,0.95,1654,44.3,20.39,-5.34,5.979,-1.007,17,112.8,38213,36558,"{""2012"": 50.8, ""2013"": 15.6, ""2014"": 79.2, ""2015"": -7.3, ""2016"": 27.2, ""2017"": 93.6, ""2018"": -15.0, ""2019"": 7.2, ""2020"": 59.5, ""2021"": 107.8, ""2022"": 2.3, ""2023"": 66.6, ""2024"": 57.9, ""2025"": -6.2, ""2026"": 18.8}",7.4
p6F_piv15_sma15,p6f,"{""pivot_n"": 15, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,154.32,41.01,35.53,45.5,35.53,-27.6,-30.94,1.504,4152,44.5,11.09,-3.67,2.882,-0.806,31,283.1,34263,30110,"{""2012"": 26.4, ""2013"": 8.4, ""2014"": 80.4, ""2015"": 7.0, ""2016"": 25.2, ""2017"": 103.6, ""2018"": -13.4, ""2019"": 15.4, ""2020"": 110.4, ""2021"": 129.6, ""2022"": 28.2, ""2023"": 60.2, ""2024"": 55.4, ""2025"": 8.6, ""2026"": 23.4}",7.6
p6F_piv15_sma20,p6f,"{""pivot_n"": 15, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,118.49,38.46,36.06,43.11,36.06,-31.13,-34.53,1.224,3250,43.3,13.2,-4.16,3.429,-1.132,30,221.7,34263,31012,"{""2012"": 25.0, ""2013"": 15.8, ""2014"": 89.2, ""2015"": 5.6, ""2016"": 12.6, ""2017"": 110.7, ""2018"": -20.7, ""2019"": 14.2, ""2020"": 129.4, ""2021"": 123.4, ""2022"": 16.0, ""2023"": 55.2, ""2024"": 57.0, ""2025"": 13.8, ""2026"": 27.0}",8.4
p6F_piv15_sma50,p6f,"{""pivot_n"": 15, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,52.91,31.05,26.77,36.19,26.77,-37.6,-45.14,0.81,1504,42.8,21.91,-5.67,6.144,-1.323,23,102.6,34263,32759,"{""2012"": 45.6, ""2013"": 15.1, ""2014"": 76.4, ""2015"": 3.0, ""2016"": 21.8, ""2017"": 103.2, ""2018"": -24.0, ""2019"": 8.9, ""2020"": 53.0, ""2021"": 105.6, ""2022"": 0.8, ""2023"": 55.8, ""2024"": 47.2, ""2025"": -6.3, ""2026"": 20.0}",8.2
p6F_piv20_sma15,p6f,"{""pivot_n"": 20, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,130.73,39.42,36.54,41.08,36.54,-31.09,-36.16,1.24,4086,44.6,10.96,-3.71,2.845,-0.742,30,278.7,31959,27862,"{""2012"": 14.6, ""2013"": 7.4, ""2014"": 81.0, ""2015"": 11.2, ""2016"": 22.1, ""2017"": 102.2, ""2018"": -16.6, ""2019"": 14.6, ""2020"": 102.7, ""2021"": 145.8, ""2022"": 18.0, ""2023"": 68.8, ""2024"": 66.4, ""2025"": 8.9, ""2026"": 18.2}",8.6
p6F_piv20_sma20,p6f,"{""pivot_n"": 20, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,89.06,35.76,32.9,40.06,32.9,-33.47,-36.01,1.108,3187,44.1,13.01,-4.34,3.328,-1.036,29,217.3,31959,28765,"{""2012"": 20.1, ""2013"": 14.8, ""2014"": 87.2, ""2015"": -2.2, ""2016"": 12.4, ""2017"": 96.4, ""2018"": -23.0, ""2019"": 13.4, ""2020"": 109.6, ""2021"": 111.6, ""2022"": 9.1, ""2023"": 64.8, ""2024"": 46.4, ""2025"": 15.6, ""2026"": 19.0}",8.7
p6F_piv20_sma50,p6f,"{""pivot_n"": 20, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,56.7,31.7,27.08,35.31,27.08,-36.11,-43.63,0.865,1414,41.3,24.71,-6.03,6.698,-1.914,25,96.5,31959,30544,"{""2012"": 60.4, ""2013"": 5.7, ""2014"": 84.7, ""2015"": 1.0, ""2016"": 10.8, ""2017"": 102.4, ""2018"": -17.1, ""2019"": 4.1, ""2020"": 54.6, ""2021"": 114.8, ""2022"": 0.2, ""2023"": 76.0, ""2024"": 53.1, ""2025"": -2.3, ""2026"": 17.9}",8.9
p6F_piv30_sma15,p6f,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,106.17,37.46,35.43,42.9,35.43,-29.5,-34.91,1.28,4008,44.6,10.96,-3.81,2.781,-0.747,26,273.3,29714,25702,"{""2012"": 11.4, ""2013"": 7.2, ""2014"": 85.3, ""2015"": 11.6, ""2016"": 22.1, ""2017"": 114.0, ""2018"": -18.2, ""2019"": 13.5, ""2020"": 81.2, ""2021"": 140.8, ""2022"": 27.2, ""2023"": 65.0, ""2024"": 55.3, ""2025"": 13.1, ""2026"": 14.0}",9.0
