cell,phase,params,seeds,window,x_med,cagr_med,cagr_min,cagr_max,cagr_worst_seed,dd_med,dd_worst,calmar_med,n_med,win_med,avg_win,avg_loss,mean_tr,median_tr,streak,tpy,signals,passed_up,yearly_med,runtime_s
p6G_nullpiv1,p6g,"{""pivot_n"": 1, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,2.06,5.04,5.04,5.04,5.04,0.0,0.0,nan,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,"{""2012"": 5.1, ""2013"": 5.1, ""2014"": 5.0, ""2015"": 5.0, ""2016"": 5.0, ""2017"": 5.0, ""2018"": 5.0, ""2019"": 5.0, ""2020"": 5.1, ""2021"": 5.0, ""2022"": 5.0, ""2023"": 5.0, ""2024"": 5.1, ""2025"": 5.1, ""2026"": 3.3}",3.7
p6G_nullpiv2,p6g,"{""pivot_n"": 2, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,717.6,56.59,49.75,60.81,49.75,-22.08,-28.13,2.626,6319,51.6,7.33,-2.65,2.512,0.122,21,430.9,50430,44111,"{""2012"": 41.8, ""2013"": 26.2, ""2014"": 103.2, ""2015"": 42.6, ""2016"": 34.8, ""2017"": 93.8, ""2018"": -2.0, ""2019"": 22.3, ""2020"": 124.6, ""2021"": 126.0, ""2022"": 41.2, ""2023"": 96.4, ""2024"": 78.2, ""2025"": 23.0, ""2026"": 28.6}",8.1
p6G_nullpiv3,p6g,"{""pivot_n"": 3, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,356.05,49.28,44.65,54.91,44.65,-25.57,-29.52,1.909,5806,48.7,8.0,-2.8,2.48,-0.079,20,396.0,51181,45374,"{""2012"": 33.7, ""2013"": 15.0, ""2014"": 96.4, ""2015"": 29.8, ""2016"": 36.7, ""2017"": 109.4, ""2018"": -8.1, ""2019"": 17.0, ""2020"": 118.8, ""2021"": 107.0, ""2022"": 27.8, ""2023"": 81.5, ""2024"": 80.9, ""2025"": 20.7, ""2026"": 30.6}",9.1
p6G_nullpiv5,p6g,"{""pivot_n"": 5, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,263.63,46.25,41.6,48.75,41.6,-26.26,-30.26,1.697,5015,45.1,9.56,-2.97,2.663,-0.401,22,342.0,46045,41021,"{""2012"": 25.0, ""2013"": 10.2, ""2014"": 98.7, ""2015"": 13.0, ""2016"": 34.1, ""2017"": 113.1, ""2018"": -6.8, ""2019"": 16.2, ""2020"": 122.2, ""2021"": 130.2, ""2022"": 21.2, ""2023"": 77.2, ""2024"": 59.8, ""2025"": 21.0, ""2026"": 22.0}",8.0
p6G_nullpiv7,p6g,"{""pivot_n"": 7, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,207.17,43.87,40.37,49.16,40.37,-27.11,-32.52,1.653,4618,42.8,10.66,-3.15,2.765,-0.72,22,314.9,42318,37645,"{""2012"": 25.2, ""2013"": 7.3, ""2014"": 93.4, ""2015"": 7.5, ""2016"": 34.2, ""2017"": 120.0, ""2018"": -9.8, ""2019"": 16.0, ""2020"": 109.8, ""2021"": 123.0, ""2022"": 30.2, ""2023"": 66.0, ""2024"": 56.2, ""2025"": 11.0, ""2026"": 17.8}",8.0
p6G_nullpiv10,p6g,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,192.64,43.16,38.08,47.08,38.08,-26.92,-30.29,1.595,4321,43.6,11.24,-3.52,2.902,-0.842,45,294.7,38213,33873,"{""2012"": 29.8, ""2013"": 5.4, ""2014"": 100.3, ""2015"": 1.9, ""2016"": 23.8, ""2017"": 114.5, ""2018"": -8.0, ""2019"": 14.8, ""2020"": 131.1, ""2021"": 125.9, ""2022"": 24.8, ""2023"": 68.8, ""2024"": 65.8, ""2025"": 9.9, ""2026"": 27.0}",9.0
p6G_nullpiv30,p6g,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,106.17,37.46,35.43,42.9,35.43,-29.5,-34.91,1.28,4008,44.6,10.96,-3.81,2.781,-0.747,26,273.3,29714,25702,"{""2012"": 11.4, ""2013"": 7.2, ""2014"": 85.3, ""2015"": 11.6, ""2016"": 22.1, ""2017"": 114.0, ""2018"": -18.2, ""2019"": 13.5, ""2020"": 81.2, ""2021"": 140.8, ""2022"": 27.2, ""2023"": 65.0, ""2024"": 55.3, ""2025"": 13.1, ""2026"": 14.0}",7.7
p6G_cost40.0_piv10,p6g,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 40.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,93.42,36.26,33.17,39.9,33.17,-30.09,-35.11,1.2,4309,43.7,11.27,-3.53,2.906,-0.833,44,293.9,38213,33899,"{""2012"": 23.4, ""2013"": 0.2, ""2014"": 95.8, ""2015"": 0.8, ""2016"": 24.2, ""2017"": 105.6, ""2018"": -14.4, ""2019"": 9.8, ""2020"": 125.4, ""2021"": 113.8, ""2022"": 15.4, ""2023"": 65.4, ""2024"": 56.6, ""2025"": 0.1, ""2026"": 24.2}",8.1
p6G_cost60.0_piv10,p6g,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 60.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,35.74,27.61,22.81,32.23,22.81,-37.46,-42.92,0.73,4300,43.6,11.22,-3.51,2.883,-0.829,44,293.2,38213,33891,"{""2012"": 15.1, ""2013"": -7.1, ""2014"": 85.2, ""2015"": -3.8, ""2016"": 9.8, ""2017"": 97.7, ""2018"": -20.4, ""2019"": 1.5, ""2020"": 108.1, ""2021"": 99.0, ""2022"": 9.6, ""2023"": 59.2, ""2024"": 48.2, ""2025"": -5.5, ""2026"": 17.6}",5.9
p6G_cost100.0_piv10,p6g,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 100.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,6.07,13.09,9.79,15.06,9.79,-50.15,-58.17,0.261,4294,43.8,11.27,-3.52,2.933,-0.831,44,292.8,38213,33906,"{""2012"": 0.6, ""2013"": -20.6, ""2014"": 63.7, ""2015"": -15.0, ""2016"": -7.2, ""2017"": 83.0, ""2018"": -29.0, ""2019"": -15.4, ""2020"": 95.8, ""2021"": 96.6, ""2022"": -0.8, ""2023"": 31.3, ""2024"": 27.6, ""2025"": -16.8, ""2026"": 6.6}",5.8
