weight,d_cagr_med,d_dd_med,d_calmar_med,calmar_wins
0.1,1.07,-0.33,0.033,27/30
0.15,1.6,-1.35,-0.029,12/30
0.2,2.12,-2.44,-0.089,6/30
0.25,2.64,-3.56,-0.146,1/30
0.33,3.45,-5.32,-0.223,0/30
