cell,phase,params,seeds,window,x_med,cagr_med,cagr_min,cagr_max,cagr_worst_seed,dd_med,dd_worst,calmar_med,n_med,win_med,avg_win,avg_loss,mean_tr,median_tr,streak,tpy,signals,passed_up,yearly_med,runtime_s
p6A_piv10_sma15,p6,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,118.59,38.47,31.88,44.1,31.88,-35.63,-39.99,1.056,923,43.1,11.75,-3.52,3.108,-0.911,17,63.0,38213,37289,"{""2012"": 36.0, ""2013"": 9.0, ""2014"": 69.4, ""2015"": 11.2, ""2016"": 19.9, ""2017"": 86.2, ""2018"": -16.0, ""2019"": 14.4, ""2020"": 141.5, ""2021"": 112.1, ""2022"": 19.8, ""2023"": 68.8, ""2024"": 50.7, ""2025"": 4.4, ""2026"": 18.8}",6.7
p6A_piv10_sma20,p6,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,97.92,36.7,28.67,45.28,28.67,-36.31,-41.78,1.039,739,43.6,13.65,-3.84,3.633,-1.058,15,50.4,38213,37473,"{""2012"": 36.8, ""2013"": 15.2, ""2014"": 81.0, ""2015"": -1.8, ""2016"": 9.9, ""2017"": 79.8, ""2018"": -5.7, ""2019"": 22.4, ""2020"": 151.0, ""2021"": 101.9, ""2022"": 9.2, ""2023"": 64.4, ""2024"": 40.0, ""2025"": 14.4, ""2026"": 31.8}",6.0
p6A_piv10_sma50,p6,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,55.92,31.54,23.66,46.11,23.66,-44.57,-54.9,0.714,356,44.9,21.34,-5.18,6.828,-1.001,9,24.3,38213,37856,"{""2012"": 43.8, ""2013"": 16.9, ""2014"": 62.0, ""2015"": -12.0, ""2016"": 34.3, ""2017"": 116.0, ""2018"": -20.4, ""2019"": 5.1, ""2020"": 45.2, ""2021"": 118.5, ""2022"": 25.6, ""2023"": 56.6, ""2024"": 41.6, ""2025"": -16.2, ""2026"": 22.4}",5.4
p6A_piv10_sma150,p6,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma150"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,25.35,24.65,18.56,39.35,18.56,-49.54,-59.24,0.506,133,41.7,45.51,-7.69,15.228,-2.489,9,9.1,38213,38080,"{""2012"": 39.2, ""2013"": -1.4, ""2014"": 36.6, ""2015"": 10.2, ""2016"": 21.2, ""2017"": 75.6, ""2018"": -19.2, ""2019"": -1.2, ""2020"": 174.0, ""2021"": 27.5, ""2022"": -9.8, ""2023"": 51.4, ""2024"": 35.8, ""2025"": -6.8, ""2026"": 7.2}",4.9
p6A_piv10_target25,p6,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""target25"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,14.46,19.88,14.35,27.06,14.35,-39.15,-50.83,0.455,251,43.1,27.45,-9.82,5.978,-8.195,12,17.1,38213,37962,"{""2012"": 17.5, ""2013"": 15.7, ""2014"": 46.0, ""2015"": -1.5, ""2016"": 3.9, ""2017"": 55.2, ""2018"": -14.0, ""2019"": 10.2, ""2020"": 59.5, ""2021"": 59.1, ""2022"": -2.1, ""2023"": 77.2, ""2024"": 24.0, ""2025"": -9.4, ""2026"": 3.7}",5.3
p6A_piv20_sma15,p6,"{""pivot_n"": 20, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,62.05,32.5,26.69,38.39,26.69,-40.15,-45.49,0.81,881,43.3,11.5,-3.67,2.839,-0.978,15,60.1,31959,31077,"{""2012"": 11.0, ""2013"": 1.9, ""2014"": 53.6, ""2015"": 20.5, ""2016"": 22.2, ""2017"": 84.6, ""2018"": -15.8, ""2019"": 7.0, ""2020"": 74.4, ""2021"": 100.2, ""2022"": 19.3, ""2023"": 58.6, ""2024"": 50.1, ""2025"": 6.0, ""2026"": 24.2}",5.6
p6A_piv20_sma20,p6,"{""pivot_n"": 20, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,53.92,31.19,22.94,37.43,22.94,-36.7,-49.96,0.85,690,43.8,13.48,-4.33,3.421,-1.163,14,47.1,31959,31269,"{""2012"": 16.0, ""2013"": 9.0, ""2014"": 73.2, ""2015"": 16.0, ""2016"": 10.2, ""2017"": 87.9, ""2018"": -16.8, ""2019"": 7.4, ""2020"": 73.4, ""2021"": 63.8, ""2022"": 15.2, ""2023"": 93.9, ""2024"": 37.2, ""2025"": 12.0, ""2026"": 14.7}",4.9
p6A_piv20_sma50,p6,"{""pivot_n"": 20, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,49.02,30.37,25.68,34.04,25.68,-41.2,-54.2,0.743,292,45.1,25.94,-6.24,8.046,-1.386,10,19.9,31959,31666,"{""2012"": 29.2, ""2013"": 20.6, ""2014"": 68.0, ""2015"": -1.0, ""2016"": 28.3, ""2017"": 107.8, ""2018"": -9.9, ""2019"": 5.2, ""2020"": 40.6, ""2021"": 66.9, ""2022"": 8.8, ""2023"": 42.0, ""2024"": 57.8, ""2025"": -3.0, ""2026"": 22.0}",5.5
p6A_piv20_sma150,p6,"{""pivot_n"": 20, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma150"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,15.23,20.4,16.0,23.34,16.0,-45.9,-56.0,0.433,129,39.8,42.14,-7.71,12.104,-3.655,9,8.8,31959,31829,"{""2012"": 36.2, ""2013"": 22.0, ""2014"": 28.1, ""2015"": 16.6, ""2016"": 9.3, ""2017"": 86.6, ""2018"": -22.6, ""2019"": 3.3, ""2020"": 29.4, ""2021"": 46.8, ""2022"": 1.4, ""2023"": 53.5, ""2024"": 37.6, ""2025"": -20.2, ""2026"": 5.4}",6.0
p6A_piv20_target25,p6,"{""pivot_n"": 20, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""target25"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,15.88,20.74,17.17,24.17,17.17,-37.88,-47.82,0.55,260,42.4,27.52,-9.82,6.103,-8.258,12,17.7,31959,31699,"{""2012"": 26.0, ""2013"": 16.3, ""2014"": 42.2, ""2015"": 4.6, ""2016"": -5.2, ""2017"": 57.8, ""2018"": -6.4, ""2019"": 14.0, ""2020"": 37.2, ""2021"": 46.3, ""2022"": 12.6, ""2023"": 81.6, ""2024"": 12.6, ""2025"": -12.0, ""2026"": 4.4}",5.9
