arm,cagr_med,cagr_min,dd_med,calmar,n
base,36.97,33.83,-41.08,0.903,5224
cap_win_50,32.04,29.67,-40.61,0.79,5233
cap_win_100,36.38,33.52,-41.1,0.891,5226
drop_top10,36.97,33.83,-41.08,0.903,5224
win_2006_2015,27.7,25.49,-41.08,0.679,2276
win_2016_2026,43.42,41.21,-29.23,1.501,2997
