signal,structure,haircut,n,mean_ror,t,wr,med_min_vol,ror_2024,ror_2025,ror_2026
conn,S1,0.0,1414,-1.1,-0.96,73.3,53,2.44,2.62,-19.15
conn,S1,0.05,1414,-2.22,-1.98,73.1,53,1.15,1.63,-20.1
conn,S1,0.1,1414,-3.32,-2.99,73.0,53,-0.1,0.66,-21.01
conn,S2,0.0,1445,-0.71,-0.34,60.8,108,6.66,-0.61,-22.55
conn,S2,0.05,1445,-3.77,-2.1,60.6,108,2.72,-2.96,-24.58
conn,S2,0.1,1445,-6.32,-3.74,60.2,108,-0.29,-5.19,-26.5
conn,S3,0.0,1383,0.61,0.41,62.1,29,4.12,5.83,-20.4
conn,S3,0.05,1383,-1.58,-1.13,61.7,29,1.3,4.16,-21.94
conn,S3,0.1,1383,-3.57,-2.67,61.2,29,-1.18,2.56,-23.41
kc6,S1,0.0,81,4.61,0.98,71.6,108,9.64,2.11,-8.91
kc6,S1,0.05,81,3.15,0.68,71.6,108,7.91,0.99,-10.19
kc6,S1,0.1,81,1.73,0.38,71.6,108,6.25,-0.11,-11.42
kc6,S2,0.0,85,-5.08,-0.68,56.5,151,6.84,-8.89,-43.85
kc6,S2,0.05,85,-7.56,-1.04,56.5,151,3.9,-10.97,-45.41
kc6,S2,0.1,85,-9.89,-1.4,56.5,151,1.12,-12.96,-46.87
kc6,S3,0.0,80,5.63,1.04,62.5,102,1.06,15.19,-0.38
kc6,S3,0.05,80,3.14,0.6,61.3,102,-1.5,12.88,-3.08
kc6,S3,0.1,80,0.78,0.15,61.3,102,-3.91,10.69,-5.63
pull,S1,0.0,1152,-1.8,-1.44,71.6,45,2.02,-1.57,-9.98
pull,S1,0.05,1152,-2.91,-2.37,71.4,45,0.78,-2.47,-11.14
pull,S1,0.1,1152,-3.99,-3.29,71.3,45,-0.42,-3.36,-12.26
pull,S2,0.0,1160,-5.1,-2.49,57.8,78,-0.32,-9.2,-9.1
pull,S2,0.05,1160,-7.67,-3.93,57.1,78,-3.26,-11.31,-11.61
pull,S2,0.1,1160,-10.05,-5.34,56.3,78,-5.9,-13.31,-13.97
pull,S3,0.0,1113,-1.72,-1.11,60.5,25,1.95,2.09,-14.67
pull,S3,0.05,1113,-3.71,-2.47,59.3,25,-0.49,0.62,-16.49
pull,S3,0.1,1113,-5.58,-3.84,58.6,25,-2.75,-0.8,-18.2
