signal,structure,symbol,date,expiry,spot,exp_spot,credit,max_risk,pnl,min_vol,year
conn,S1,EICHERMOT,2024-01-02,2024-01-25,3892.5,3616.45,63.1,236.9,-120.45,1289,2024
conn,S2,EICHERMOT,2024-01-02,2024-01-25,3892.5,3616.45,72.75,127.25,-127.25,2382,2024
conn,S3,EICHERMOT,2024-01-02,2024-01-25,3892.5,3616.45,87.05,212.95,-96.5,99,2024
conn,S1,IDFCFIRSTB,2024-01-02,2024-01-25,86.1,80.05,1.5,5.5,-2.45,41,2024
conn,S2,IDFCFIRSTB,2024-01-02,2024-01-25,86.1,80.05,1.5,2.5,-2.5,425,2024
conn,S3,IDFCFIRSTB,2024-01-02,2024-01-25,86.1,80.05,2.1,4.9,-1.85,41,2024
conn,S1,LT,2024-01-02,2024-01-25,3438.1,3593.45,30.85,209.15,30.85,347,2024
conn,S2,LT,2024-01-02,2024-01-25,3438.1,3593.45,53.3,126.7,53.3,192,2024
conn,S3,LT,2024-01-02,2024-01-25,3438.1,3593.45,44.45,195.55,44.45,236,2024
conn,S1,SHREECEM,2024-01-02,2024-01-25,28088.55,27948.8,157.85,842.15,157.85,55,2024
conn,S2,SHREECEM,2024-01-02,2024-01-25,28088.55,27948.8,387.05,612.95,335.85,35,2024
conn,S1,ASIANPAINT,2024-01-03,2024-01-25,3373.6,2949.2,35.25,204.75,-204.75,3,2024
conn,S2,ASIANPAINT,2024-01-03,2024-01-25,3373.6,2949.2,59.0,121.0,-121.0,415,2024
conn,S3,ASIANPAINT,2024-01-03,2024-01-25,3373.6,2949.2,51.05,188.95,-188.95,3,2024
conn,S1,GRASIM,2024-01-03,2024-01-25,2064.0,2076.5,14.9,85.1,14.9,207,2024
conn,S2,GRASIM,2024-01-03,2024-01-25,2064.0,2076.5,28.6,71.4,28.6,131,2024
conn,S3,GRASIM,2024-01-03,2024-01-25,2064.0,2076.5,25.15,74.85,25.15,207,2024
conn,S1,HDFCLIFE,2024-01-03,2024-01-25,637.2,579.0,8.3,36.7,-32.7,9,2024
conn,S2,HDFCLIFE,2024-01-03,2024-01-25,637.2,579.0,10.55,19.45,-19.45,17,2024
conn,S3,HDFCLIFE,2024-01-03,2024-01-25,637.2,579.0,12.25,32.75,-28.75,2,2024
conn,S1,HEROMOTOCO,2024-01-03,2024-01-25,3794.65,4235.85,17.25,282.75,17.25,9,2024
conn,S2,HEROMOTOCO,2024-01-03,2024-01-25,3794.65,4235.85,27.95,172.05,27.95,605,2024
conn,S3,HEROMOTOCO,2024-01-03,2024-01-25,3794.65,4235.85,75.05,224.95,-100.8,9,2024
conn,S1,INFY,2024-01-03,2024-01-25,1490.0,1669.1,22.65,87.35,22.65,748,2024
conn,S2,INFY,2024-01-03,2024-01-25,1490.0,1669.1,26.65,43.35,26.65,1057,2024
conn,S3,INFY,2024-01-03,2024-01-25,1490.0,1669.1,33.95,76.05,-45.15,269,2024
conn,S1,JSWSTEEL,2024-01-03,2024-01-25,837.65,815.7,11.4,48.6,11.4,607,2024
conn,S2,JSWSTEEL,2024-01-03,2024-01-25,837.65,815.7,15.45,24.55,-8.85,2314,2024
conn,S3,JSWSTEEL,2024-01-03,2024-01-25,837.65,815.7,16.6,43.4,16.6,607,2024
conn,S1,MARUTI,2024-01-03,2024-01-25,10077.65,9881.0,102.25,697.75,102.25,1048,2024
conn,S2,MARUTI,2024-01-03,2024-01-25,10077.65,9881.0,161.1,338.9,-57.9,1280,2024
conn,S3,MARUTI,2024-01-03,2024-01-25,10077.65,9881.0,133.55,666.45,133.55,722,2024
conn,S1,TATASTEEL,2024-01-03,2024-01-25,128.75,127.18,0.75,8.25,0.75,16,2024
conn,S2,TATASTEEL,2024-01-03,2024-01-25,128.75,127.18,1.2,5.8,-0.62,99,2024
