path,variant,symbol,timeframe,exit_policy,exit_params,n_signals,mean_net,std_net,win_rate,pct_sl_first,composite_score,sharpe_score
C,rng0.010_rsi40_60,NIFTY50,5min,T2_TR30.0,tr_pts=30.0;hard_sl=50.0,266,2.604,65.296,40.226,28.571,-30.043,0.016042101200686103
E,base_15min,KOTAKBANK,15min,T1_SL3.0,sl_pts=3.0,39,0.549,11.664,33.333,58.974,-5.283,0.01568914351851852
E,cpr_5min,HINDUNILVR,5min,T3_RSI,rsi_cross_50,66,0.715,15.975,34.848,65.152,-7.272,0.015597070422535213
E,cpr_10min,ITC,10min,T1_SL0.67,sl_pts=0.67,42,0.107,2.29,33.333,66.667,-1.038,0.015574807860262005
D,cprDelta_rsi30_70,NIFTY50,5min,T2_TR20.0,tr_pts=20.0;hard_sl=50.0,145,2.751,59.805,33.793,20.69,-27.151,0.015544610484073237
E,cpr_10min,HDFCBANK,10min,T4_LVL,level_for_T4_cross,61,0.122,2.965,37.705,60.656,-1.361,0.015514367622259696
C,rng0.008_rsi40_60,NIFTY50,5min,T2_TR30.0,tr_pts=30.0;hard_sl=50.0,226,2.34,62.268,41.15,25.221,-28.794,0.015463962227789554
C,rng0.010_rsi40_60,NIFTY50,5min,T2_TR10.0,tr_pts=10.0;hard_sl=50.0,266,2.786,56.232,31.203,19.925,-25.33,0.015459446222791292
E,base_15min,HDFCBANK,15min,T0,time_only,76,0.147,4.388,46.053,0.0,-2.047,0.01542796490428441
B,rsi40_60_from1100,NIFTY50,5min,T0,time_only,444,2.911,98.019,51.802,0.0,-46.098,0.015384325691957683
C,rng0.010_norsi,NIFTY50,5min,T2_TR30.0,tr_pts=30.0;hard_sl=50.0,266,2.502,65.468,40.226,28.947,-30.232,0.015373228447485792
E,cpr_rsi_rsi40_60_10min,ITC,10min,T1_SL0.45,sl_pts=0.45,39,0.109,2.186,30.769,69.231,-0.984,0.015342273559011892
E,rsi_rsi40_60_10min,KOTAKBANK,10min,T1_SL3.0,sl_pts=3.0,43,0.715,11.939,25.581,60.465,-5.255,0.01531988860038529
D,priceCPR_rsi40_60,NIFTY50,5min,T2_TR10.0,tr_pts=10.0;hard_sl=50.0,413,3.566,61.364,26.15,18.16,-27.116,0.015196352910501273
C,rngoff_rsi40_60,NIFTY50,5min,T2_TR20.0,tr_pts=20.0;hard_sl=50.0,315,2.722,65.284,35.873,26.667,-29.92,0.014957157343300042
E,cpr_rsi_rsi40_60_5min,TCS,5min,T4_LVL,level_for_T4_cross,51,2.06,27.025,19.608,74.51,-11.452,0.014946338575393155
D,cprDelta_rsi30_70,NIFTY50,5min,T1_SL75.0,sl_pts=75.0,145,2.24,72.389,48.276,18.621,-33.955,0.014938490654657478
E,base_5min,ITC,5min,T0,time_only,72,0.133,5.121,56.944,0.0,-2.427,0.014789205233352861
E,cpr_5min,TCS,5min,T1_SL4.1,sl_pts=4.1,52,2.106,24.791,17.308,80.769,-10.29,0.014703177766124804
E,cpr_5min,SBIN,5min,T1_SL1.57,sl_pts=1.57,37,0.349,6.429,27.027,67.568,-2.866,0.014671679888007464
F,priceCPR,RELIANCE,5min,T2_TR1.6,tr_pts=1.6;hard_sl=1.6,206,0.403,5.513,19.903,52.427,-2.354,0.014549082169417742
B,rsi35_65_from1100,NIFTY50,5min,T1_SL75.0,sl_pts=75.0,402,2.534,83.457,47.761,25.871,-39.194,0.014501644439651558
B,rsi35_65_from1100,NIFTY50,5min,T2_TR30.0,tr_pts=30.0;hard_sl=50.0,402,2.976,73.005,35.572,31.343,-33.527,0.014500687898089176
C,rngoff_norsi,NIFTY50,5min,T2_TR20.0,tr_pts=20.0;hard_sl=50.0,315,2.636,65.43,35.873,26.984,-30.079,0.014452273880482957
F,priceCPR,RELIANCE,5min,T2_TR0.8,tr_pts=0.8;hard_sl=1.6,206,0.427,5.329,17.961,44.175,-2.237,0.014391718896603489
C,rng0.008_norsi,NIFTY50,5min,T1_SL50.0,sl_pts=50.0,227,1.905,64.352,48.458,29.515,-30.271,0.014344929450522128
D,priceCPR_rsi35_65,NIFTY50,5min,T3_RSI,rsi_cross_50,339,2.344,65.488,39.528,56.342,-30.4,0.014148184705594915
E,rsi_rsi40_60_5min,KOTAKBANK,5min,T1_SL1.0,sl_pts=1.0,58,0.877,10.705,17.241,81.034,-4.476,0.014124574497898178
E,cpr_5min,SBIN,5min,T2_TR0.26,tr_pts=0.26;hard_sl=1.05,37,0.392,5.262,18.919,51.351,-2.239,0.01409397187381224
E,rsi_rsi40_60_15min,KOTAKBANK,15min,T4_LVL,level_for_T4_cross,32,0.747,11.646,21.875,62.5,-5.076,0.014031105100463678
D,priceCPR_rsi40_60,NIFTY50,5min,T3_RSI,rsi_cross_50,413,2.512,63.781,35.593,61.743,-29.379,0.014018221100327686
E,cpr_rsi_rsi40_60_10min,RELIANCE,10min,T3_RSI,rsi_cross_50,33,0.285,8.661,42.424,51.515,-4.046,0.013960096986491166
E,rsi_rsi40_60_10min,HINDUNILVR,10min,T1_SL2.9,sl_pts=2.9,74,0.835,13.798,22.973,74.324,-6.064,0.013902344542687345
E,base_5min,SBIN,5min,T2_TR1.05,tr_pts=1.05;hard_sl=1.05,52,0.369,5.153,19.231,53.846,-2.207,0.013771082864350864
E,cpr_5min,SBIN,5min,T2_TR0.52,tr_pts=0.52;hard_sl=1.05,37,0.374,5.267,18.919,54.054,-2.259,0.013434034554775012
E,base_5min,RELIANCE,5min,T3_RSI,rsi_cross_50,64,0.289,8.743,40.625,57.812,-4.083,0.013428600022875442
F,priceCPR,KOTAKBANK,5min,T1_SL3.0,sl_pts=3.0,205,0.359,8.521,31.707,64.878,-3.902,0.013358541251026874
E,rsi_rsi40_60_10min,KOTAKBANK,10min,T1_SL1.0,sl_pts=1.0,43,0.905,11.181,16.279,83.721,-4.686,0.013176366156873266
B,rsi35_65_from1100,NIFTY50,5min,T1_SL30.0,sl_pts=30.0,402,2.45,68.515,36.816,54.975,-31.807,0.013164883602130922
E,cpr_5min,BHARTIARTL,5min,T4_LVL,level_for_T4_cross,65,0.743,12.297,21.538,72.308,-5.405,0.013013526876473938
C,rng0.008_norsi,NIFTY50,5min,T2_TR30.0,tr_pts=30.0;hard_sl=50.0,227,1.978,62.448,40.969,25.991,-29.246,0.012976665705867281
E,cpr_5min,KOTAKBANK,5min,T1_SL1.0,sl_pts=1.0,45,0.849,11.638,17.778,82.222,-4.97,0.012969171678982643
E,cpr_rsi_rsi40_60_5min,KOTAKBANK,5min,T2_TR2.0,tr_pts=2.0;hard_sl=2.0,43,0.731,11.833,20.93,46.512,-5.185,0.012929798022479505
E,rsi_rsi40_60_15min,RELIANCE,15min,T4_LVL,level_for_T4_cross,38,0.357,7.348,26.316,68.421,-3.317,0.012785536200326618
E,cpr_rsi_rsi40_60_5min,ITC,5min,T4_LVL,level_for_T4_cross,52,0.077,2.214,36.538,57.692,-1.03,0.012707434507678408
C,rngoff_rsi40_60,NIFTY50,5min,T3_RSI,rsi_cross_50,315,2.12,65.16,39.048,57.778,-30.46,0.012704383057090238
E,base_15min,ITC,15min,T4_LVL,level_for_T4_cross,56,0.181,3.324,23.214,75.0,-1.481,0.012640595667870036
E,rsi_rsi40_60_10min,BHARTIARTL,10min,T1_SL2.2,sl_pts=2.2,62,0.553,9.915,22.581,74.194,-4.404,0.012594344931921332
C,rng0.010_rsi40_60,NIFTY50,5min,T3_RSI,rsi_cross_50,266,1.953,60.059,38.722,57.895,-28.077,0.012591629231255935
D,priceCPR_rsi40_60,NIFTY50,5min,T1_SL30.0,sl_pts=30.0,413,2.335,66.935,35.835,53.753,-31.133,0.01250089265705535
E,cpr_5min,TCS,5min,T1_SL2.05,sl_pts=2.05,52,2.267,24.467,13.462,86.538,-9.966,0.012473271753790819
E,rsi_rsi40_60_15min,ITC,15min,T1_SL0.45,sl_pts=0.45,45,0.209,3.367,20.0,77.778,-1.475,0.012414612414612414
B,rsi35_65_from1100,NIFTY50,5min,T1_SL50.0,sl_pts=50.0,402,2.19,77.826,43.781,39.552,-36.723,0.012319840413229512
D,cprDelta_rsi30_70,NIFTY50,5min,T4_LVL,level_for_T4_cross,145,2.338,61.584,32.414,62.069,-28.454,0.012305782670823592
E,cpr_5min,TCS,5min,T2_TR1.02,tr_pts=1.02;hard_sl=4.1,52,2.231,24.507,13.462,63.462,-10.023,0.012255160566368791
E,rsi_rsi40_60_10min,TCS,10min,T0,time_only,51,0.792,29.257,45.098,0.0,-13.836,0.012208229141743855
E,cpr_5min,KOTAKBANK,5min,T1_SL2.0,sl_pts=2.0,45,0.556,12.179,26.667,73.333,-5.534,0.012174112817144268
E,base_15min,TCS,15min,T4_LVL,level_for_T4_cross,56,0.813,17.951,26.786,69.643,-8.162,0.012131367611832209
