symbol,timeframe,variant,exit_policy,n_signals,mean_net,std_net,win_rate,sharpe_score,atr_proxy
HINDUNILVR,5min,rngoff_rsi40_60,T1_SL_1xATR,260,-0.932,11.978,43.1,-0.0335,47.58
HINDUNILVR,5min,rngoff_norsi,T0,260,-0.938,12.019,43.1,-0.0336,47.58
HINDUNILVR,5min,rngoff_rsi40_60,T0,260,-0.943,12.021,43.1,-0.0338,47.58
HDFCBANK,15min,rng0.010_rsi40_60,T0,66,-0.246,3.013,42.4,-0.0347,14.52
HDFCBANK,15min,rng0.010_rsi40_60,T1_SL_1xATR,66,-0.246,3.013,42.4,-0.0347,14.52
HDFCBANK,15min,rngoff_norsi,T1_SL_1xATR,213,-0.315,3.771,42.7,-0.0357,14.52
HINDUNILVR,5min,rng0.006_norsi,T0,8,-0.706,9.647,50.0,-0.0366,47.58
HINDUNILVR,5min,rng0.006_norsi,T1_SL_1xATR,8,-0.706,9.647,50.0,-0.0366,47.58
HINDUNILVR,5min,rng0.006_rsi40_60,T0,8,-0.706,9.647,50.0,-0.0366,47.58
HINDUNILVR,5min,rng0.006_rsi40_60,T1_SL_1xATR,8,-0.706,9.647,50.0,-0.0366,47.58
HDFCBANK,15min,rngoff_norsi,T0,213,-0.332,3.84,42.7,-0.0369,14.52
TCS,15min,rng0.008_norsi,T0,35,-1.211,14.672,45.7,-0.0377,66.88
TCS,15min,rng0.008_norsi,T1_SL_1xATR,35,-1.211,14.672,45.7,-0.0377,66.88
SBIN,10min,rng0.008_norsi,T0,37,-0.38,4.311,43.2,-0.0381,26.4
SBIN,10min,rng0.008_norsi,T1_SL_1xATR,37,-0.38,4.311,43.2,-0.0381,26.4
ICICIBANK,10min,rngoff_rsi40_60,T1_SL_1xATR,222,-0.598,6.984,45.0,-0.0386,22.21
ICICIBANK,10min,rngoff_rsi40_60,T0,222,-0.603,6.998,45.0,-0.0388,22.21
ICICIBANK,15min,rng0.006_rsi40_60,T0,5,-0.9,4.516,20.0,-0.0399,22.21
ICICIBANK,15min,rng0.006_rsi40_60,T1_SL_1xATR,5,-0.9,4.516,20.0,-0.0399,22.21
KOTAKBANK,15min,rng0.010_norsi,T1_SL_1xATR,63,-0.463,5.529,47.6,-0.0399,7.9
KOTAKBANK,5min,rngoff_norsi,T0,255,-0.777,8.697,45.1,-0.0403,7.9
HDFCBANK,5min,rng0.010_rsi40_60,T0,90,-0.267,3.203,48.9,-0.0407,14.52
HDFCBANK,5min,rng0.010_rsi40_60,T1_SL_1xATR,90,-0.267,3.203,48.9,-0.0407,14.52
KOTAKBANK,5min,rngoff_rsi40_60,T0,254,-0.799,8.711,44.9,-0.0411,7.9
TCS,15min,rngoff_rsi40_60,T0,203,-1.858,20.567,45.8,-0.0414,66.88
ICICIBANK,10min,rngoff_norsi,T1_SL_1xATR,231,-0.635,7.035,45.9,-0.0414,22.21
HINDUNILVR,15min,rngoff_rsi40_60,T0,226,-1.113,10.793,40.3,-0.0415,47.58
HINDUNILVR,15min,rngoff_rsi40_60,T1_SL_1xATR,226,-1.113,10.793,40.3,-0.0415,47.58
ICICIBANK,10min,rngoff_norsi,T0,231,-0.639,7.049,45.9,-0.0416,22.21
HINDUNILVR,15min,rng0.008_norsi,T0,34,-0.859,8.376,41.2,-0.0422,47.58
HINDUNILVR,15min,rng0.008_norsi,T1_SL_1xATR,34,-0.859,8.376,41.2,-0.0422,47.58
TCS,15min,rngoff_rsi40_60,T1_SL_1xATR,203,-1.889,20.357,45.8,-0.0425,66.88
HDFCBANK,5min,rng0.010_norsi,T0,93,-0.285,3.157,47.3,-0.0428,14.52
HDFCBANK,5min,rng0.010_norsi,T1_SL_1xATR,93,-0.285,3.157,47.3,-0.0428,14.52
KOTAKBANK,15min,rngoff_norsi,T0,242,-0.849,8.439,45.0,-0.0453,7.9
KOTAKBANK,10min,rng0.008_norsi,T0,22,-0.568,5.005,40.9,-0.0464,7.9
TCS,5min,rng0.008_rsi40_60,T0,35,-1.3,14.301,51.4,-0.0468,66.88
TCS,5min,rng0.008_rsi40_60,T1_SL_1xATR,35,-1.3,14.301,51.4,-0.0468,66.88
HDFCBANK,15min,rngoff_rsi40_60,T1_SL_1xATR,195,-0.421,3.748,42.1,-0.0473,14.52
ICICIBANK,15min,rngoff_norsi,T1_SL_1xATR,224,-0.663,6.482,46.4,-0.0475,22.21
ICICIBANK,15min,rngoff_norsi,T0,224,-0.674,6.522,46.4,-0.048,22.21
HDFCBANK,15min,rngoff_rsi40_60,T0,195,-0.439,3.823,42.1,-0.0483,14.52
SBIN,15min,rng0.008_norsi,T0,37,-0.499,3.998,40.5,-0.0506,26.4
