symbol,timeframe,variant,exit_policy,n_signals,mean_net,std_net,win_rate,sharpe_score,atr_proxy
ITC,15min,rng0.006_rsi40_60,T0,7,0.093,0.761,28.6,0.0349,5.55
ITC,15min,rng0.006_rsi40_60,T1_SL_1xATR,7,0.093,0.761,28.6,0.0349,5.55
SBIN,10min,rngoff_norsi,T0,245,0.392,5.661,49.8,0.0345,26.4
ITC,5min,rngoff_rsi40_60,T1_SL_1xATR,249,0.177,2.462,45.8,0.033,5.55
ITC,10min,rngoff_norsi,T0,228,0.172,2.495,47.4,0.0326,5.55
HINDUNILVR,10min,rng0.006_norsi,T0,8,0.644,10.227,50.0,0.0315,47.58
HINDUNILVR,10min,rng0.006_norsi,T1_SL_1xATR,8,0.644,10.227,50.0,0.0315,47.58
ITC,10min,rngoff_rsi40_60,T0,217,0.159,2.517,48.8,0.0309,5.55
RELIANCE,10min,rngoff_norsi,T0,264,0.505,8.022,45.8,0.0288,29.87
RELIANCE,10min,rngoff_norsi,T1_SL_1xATR,264,0.484,8.094,45.8,0.0274,29.87
ITC,5min,rngoff_norsi,T0,249,0.149,2.616,46.2,0.0263,5.55
SBIN,5min,rngoff_norsi,T1_SL_1xATR,255,0.297,5.792,49.8,0.0255,26.4
RELIANCE,10min,rngoff_rsi40_60,T0,253,0.444,8.084,46.2,0.0254,29.87
SBIN,5min,rngoff_rsi40_60,T1_SL_1xATR,255,0.291,5.789,49.8,0.025,26.4
HDFCBANK,10min,rng0.008_norsi,T0,45,0.141,2.79,48.9,0.0247,14.52
HDFCBANK,10min,rng0.008_norsi,T1_SL_1xATR,45,0.141,2.79,48.9,0.0247,14.52
SBIN,5min,rngoff_norsi,T0,255,0.291,5.925,49.8,0.0245,26.4
ITC,15min,rngoff_norsi,T1_SL_1xATR,235,0.132,2.408,44.7,0.0245,5.55
ITC,5min,rngoff_rsi40_60,T0,249,0.138,2.612,45.8,0.0241,5.55
RELIANCE,10min,rngoff_rsi40_60,T1_SL_1xATR,253,0.423,8.159,46.2,0.024,29.87
SBIN,5min,rngoff_rsi40_60,T0,255,0.285,5.923,49.8,0.0239,26.4
INFY,15min,rng0.008_norsi,T0,15,0.223,5.006,53.3,0.0238,39.03
INFY,15min,rng0.008_norsi,T1_SL_1xATR,15,0.223,5.006,53.3,0.0238,39.03
HDFCBANK,5min,rng0.008_rsi40_60,T0,43,0.124,3.105,51.2,0.0205,14.52
HDFCBANK,5min,rng0.008_rsi40_60,T1_SL_1xATR,43,0.124,3.105,51.2,0.0205,14.52
ICICIBANK,10min,rng0.010_rsi40_60,T0,80,0.198,5.145,48.8,0.0188,22.21
ICICIBANK,10min,rng0.010_rsi40_60,T1_SL_1xATR,80,0.198,5.145,48.8,0.0188,22.21
ITC,15min,rngoff_rsi40_60,T1_SL_1xATR,216,0.1,2.408,44.9,0.0186,5.55
SBIN,15min,rngoff_rsi40_60,T1_SL_1xATR,211,0.191,5.568,48.3,0.0166,26.4
KOTAKBANK,10min,rngoff_norsi,T1_SL_1xATR,239,0.241,6.938,46.9,0.0163,7.9
ITC,5min,rng0.006_norsi,T0,12,0.075,1.604,33.3,0.0156,5.55
ITC,5min,rng0.006_norsi,T1_SL_1xATR,12,0.075,1.604,33.3,0.0156,5.55
ITC,5min,rng0.006_rsi40_60,T0,12,0.075,1.604,33.3,0.0156,5.55
ITC,5min,rng0.006_rsi40_60,T1_SL_1xATR,12,0.075,1.604,33.3,0.0156,5.55
ITC,15min,rng0.010_norsi,T0,87,0.055,1.8,50.6,0.0153,5.55
ITC,15min,rng0.010_norsi,T1_SL_1xATR,87,0.055,1.8,50.6,0.0153,5.55
RELIANCE,5min,rng0.010_norsi,T0,99,0.234,6.909,44.4,0.015,29.87
