path,variant,symbol,timeframe,exit_policy,exit_params,n_signals,mean_net,std_net,median_net,p25_net,p75_net,win_rate,pct_sl_first,composite_score
E,cpr_10min,ITC,10min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,42,0.369,1.978,-0.35,-0.6,-0.0,23.81,45.238,-0.62
E,cpr_10min,ITC,10min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,42,0.369,1.978,-0.35,-0.6,-0.0,23.81,45.238,-0.62
E,cpr_rsi_rsi40_60_10min,ITC,10min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,39,0.324,1.902,-0.2,-0.6,0.125,25.641,43.59,-0.627
E,cpr_rsi_rsi40_60_10min,ITC,10min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,39,0.297,1.92,-0.2,-0.65,0.125,25.641,46.154,-0.663
E,cpr_rsi_rsi40_60_10min,ITC,10min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,39,0.282,1.926,-0.4,-0.7,0.125,25.641,48.718,-0.681
E,cpr_10min,ITC,10min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,42,0.319,2.002,-0.475,-0.7,-0.0,23.81,52.381,-0.682
E,cpr_15min,ITC,15min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,41,-0.165,1.068,-0.55,-0.7,0.0,14.634,53.659,-0.699
E,cpr_15min,ITC,15min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,41,-0.18,1.07,-0.55,-0.7,0.0,14.634,58.537,-0.715
F,priceCPR,ITC,5min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,216,-0.031,1.375,-0.275,-0.65,0.0,14.352,42.593,-0.718
E,cpr_rsi_rsi40_60_15min,ITC,15min,T1_SL0.22,sl_pts=0.22,37,-0.4,0.678,-0.5,-0.6,-0.3,8.108,91.892,-0.739
F,priceCPR,ITC,5min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,216,-0.054,1.387,-0.35,-0.65,-0.038,15.741,48.611,-0.747
F,priceCPR,ITC,5min,T1_SL0.22,sl_pts=0.22,216,-0.036,1.433,-0.35,-0.55,-0.25,18.056,81.019,-0.752
F,priceCPR,ITC,5min,T3_RSI,rsi_cross_50,216,-0.008,1.493,-0.35,-0.85,0.475,35.185,59.722,-0.755
E,cpr_10min,ITC,10min,T1_SL0.22,sl_pts=0.22,42,0.305,2.125,-0.35,-0.55,-0.25,23.81,76.19,-0.758
E,cpr_rsi_rsi40_60_15min,ITC,15min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,37,-0.261,1.027,-0.55,-0.75,-0.1,13.514,62.162,-0.774
F,priceCPR,ITC,5min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,216,-0.054,1.443,-0.5,-0.7,0.0,17.593,56.481,-0.776
