date,baseline,vwap,htf,rsi50,cpr,bb,confluence,fast_pair
2024-03-18,994.91,994.91,-729.67,-6926.56,0.00,548.15,-3370.51,-8191.18
2024-03-19,-9575.18,-9575.18,-11941.49,-9575.18,-8592.11,-9575.18,-7974.22,643.25
2024-03-20,-7336.33,-7336.33,-4172.79,-7336.33,-3463.81,-7336.33,-4172.79,-6253.87
2024-03-21,-3150.57,-3150.57,-3190.45,-3150.57,-3190.45,-3150.57,-3190.45,-12352.06
2024-03-22,1591.18,1591.18,1591.18,1591.18,1591.18,1591.18,1591.18,-496.91
2024-03-26,-4853.64,-4687.60,-52.63,-4853.64,-2119.49,-4853.64,-326.77,2541.18
2024-03-27,-47.41,-47.41,-300.96,-47.41,-996.65,-47.41,-300.96,-9763.75
2024-03-28,-438.27,-438.27,573.60,-438.27,-438.27,-438.27,573.60,-3133.07
2024-04-01,-1141.61,-1141.61,-2653.67,-1141.61,-2751.87,-1141.61,-2653.67,-2145.45
2024-04-02,-7808.07,-7808.07,-51.90,-7808.07,-1909.78,-7808.07,-51.90,1371.88
2024-04-03,-4339.67,-2083.81,779.60,-4339.67,-2113.01,-4339.67,779.60,639.77
2024-04-04,1694.88,1694.88,200.60,1694.88,-97.34,1694.88,200.60,7665.76
2024-04-05,-1590.56,-1590.56,-849.95,-1590.56,441.46,-1590.56,-849.95,-2625.65
2024-04-09,-3298.98,-3298.98,-2076.53,-3298.98,-4228.09,-3298.98,-2076.53,3588.77
2024-04-10,-1425.71,-1425.71,728.24,-1425.71,1432.02,-1425.71,-553.87,-4095.66
2024-04-12,-4014.35,-4014.35,-1792.78,-4014.35,-6638.30,-4014.35,-1792.78,-8705.92
2024-04-15,-5611.36,-5611.36,-153.82,-5611.36,-4395.61,-5611.36,1697.98,-547.82
2024-04-18,-5255.54,-5255.54,7578.49,-5255.54,428.55,-5255.54,6564.98,-2804.83
2024-04-19,3372.94,3372.94,2317.18,3372.94,5929.73,3372.94,2317.18,5357.43
2024-04-22,-1842.89,-1842.89,-67.96,-1842.89,33.30,-1842.89,-67.96,-6396.43
2024-04-23,-4982.57,-4982.57,1008.49,-4982.57,-1192.77,-4982.57,983.84,-11154.23
2024-04-25,2500.68,2500.68,2931.54,2500.68,4341.04,2500.68,2931.54,-1769.46
2024-04-26,149.54,149.54,-2062.85,149.54,288.27,149.54,-2592.46,-4497.33
2024-04-29,-827.57,-827.57,691.40,-827.57,-869.01,-827.57,691.40,2180.23
