variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
baseline,INDUSINDBK,2024-03-20,LONG,2024-03-20T12:10:00,1450.20,1442.65,1461.52,206,7.55,2024-03-20T13:10:00,1461.52,TARGET,2332.92,1883.06
baseline,INDUSINDBK,2024-04-01,SHORT,2024-04-01T13:10:00,1552.65,1557.31,1545.66,193,4.66,2024-04-01T14:20:00,1545.66,TARGET,1348.64,900.16
baseline,INDUSINDBK,2024-04-02,SHORT,2024-04-02T14:10:00,1556.15,1559.97,1550.42,192,3.82,2024-04-02T14:20:00,1559.97,STOP,-733.15,-1181.87
baseline,INDUSINDBK,2024-04-04,LONG,2024-04-04T13:40:00,1539.50,1534.51,1546.99,194,4.99,2024-04-04T14:50:00,1546.99,TARGET,1453.16,1004.07
baseline,INDUSINDBK,2024-04-05,SHORT,2024-04-05T12:50:00,1534.85,1538.95,1528.70,195,4.10,2024-04-05T13:20:00,1536.20,REVERSE,-263.25,-712.39
baseline,INDUSINDBK,2024-04-09,SHORT,2024-04-09T14:00:00,1548.25,1552.98,1541.16,193,4.73,2024-04-09T14:20:00,1552.98,STOP,-912.37,-1361.27
baseline,INDUSINDBK,2024-04-10,SHORT,2024-04-10T14:10:00,1554.55,1557.90,1549.52,192,3.35,2024-04-10T14:40:00,1557.90,STOP,-643.23,-1091.42
baseline,INDUSINDBK,2024-04-12,LONG,2024-04-12T11:00:00,1559.55,1554.75,1566.75,192,4.80,2024-04-12T12:20:00,1554.75,STOP,-921.56,-1370.02
baseline,INDUSINDBK,2024-04-19,LONG,2024-04-19T13:10:00,1484.90,1478.25,1494.88,202,6.65,2024-04-19T13:40:00,1478.25,STOP,-1343.51,-1792.43
baseline,INDUSINDBK,2024-04-22,SHORT,2024-04-22T13:00:00,1479.75,1485.17,1471.62,202,5.42,2024-04-22T14:00:00,1471.62,TARGET,1642.58,1195.45
baseline,INDUSINDBK,2024-04-23,LONG,2024-04-23T13:00:00,1481.95,1478.35,1487.35,202,3.60,2024-04-23T13:10:00,1478.35,STOP,-727.75,-1176.24
baseline,INDUSINDBK,2024-04-25,LONG,2024-04-25T10:10:00,1483.50,1479.48,1489.53,202,4.02,2024-04-25T10:20:00,1489.53,TARGET,1219.04,768.63
baseline,INDUSINDBK,2024-04-26,SHORT,2024-04-26T10:30:00,1478.00,1485.27,1467.10,202,7.27,2024-04-26T11:10:00,1467.10,TARGET,2202.04,1755.86
baseline,INDUSINDBK,2024-04-29,LONG,2024-04-29T10:20:00,1476.00,1469.64,1485.54,203,6.36,2024-04-29T12:10:00,1485.54,TARGET,1936.13,1485.24
baseline,INDUSINDBK,2024-05-03,SHORT,2024-05-03T11:10:00,1504.00,1510.16,1494.77,199,6.16,2024-05-03T11:30:00,1494.77,TARGET,1837.32,1389.76
baseline,INDUSINDBK,2024-05-06,SHORT,2024-05-06T13:10:00,1493.00,1497.96,1485.55,200,4.96,2024-05-06T14:20:00,1497.96,STOP,-992.86,-1441.51
baseline,INDUSINDBK,2024-05-09,SHORT,2024-05-09T10:40:00,1433.80,1439.28,1425.58,209,5.48,2024-05-09T11:10:00,1425.58,TARGET,1717.03,1268.82
baseline,INDUSINDBK,2024-05-15,SHORT,2024-05-15T11:40:00,1414.15,1418.76,1407.24,212,4.61,2024-05-15T13:30:00,1414.60,TIME_STOP,-95.40,-545.17
baseline,INDUSINDBK,2024-05-17,LONG,2024-05-17T11:10:00,1407.40,1402.08,1415.39,213,5.32,2024-05-17T12:30:00,1406.40,EOD_FORCED,-213.00,-662.50
baseline,INDUSINDBK,2024-05-24,SHORT,2024-05-24T10:40:00,1428.15,1433.88,1419.55,210,5.73,2024-05-24T11:00:00,1433.88,STOP,-1203.62,-1654.39
baseline,INDUSINDBK,2024-05-28,SHORT,2024-05-28T10:10:00,1459.55,1465.82,1450.14,205,6.27,2024-05-28T10:20:00,1465.82,STOP,-1286.01,-1735.79
baseline,INDUSINDBK,2024-05-29,LONG,2024-05-29T13:00:00,1454.85,1450.42,1461.49,206,4.43,2024-05-29T14:30:00,1450.42,STOP,-912.08,-1360.95
baseline,INDUSINDBK,2024-05-30,SHORT,2024-05-30T11:50:00,1456.05,1461.00,1448.62,206,4.95,2024-05-30T12:30:00,1461.00,STOP,-1020.17,-1470.85
baseline,INDUSINDBK,2024-05-31,LONG,2024-05-31T13:40:00,1457.35,1452.97,1463.92,205,4.38,2024-05-31T14:30:00,1452.97,STOP,-897.23,-1344.69
baseline,INDUSINDBK,2024-06-04,SHORT,2024-06-04T11:10:00,1399.35,1415.55,1375.04,154,16.20,2024-06-04T11:20:00,1415.55,STOP,-2495.40,-2820.52
baseline,INDUSINDBK,2024-06-05,LONG,2024-06-05T11:30:00,1431.00,1416.20,1453.20,168,14.80,2024-06-05T12:40:00,1453.20,TARGET,3728.97,3365.56
baseline,INDUSINDBK,2024-06-06,SHORT,2024-06-06T13:10:00,1475.65,1483.05,1464.55,203,7.40,2024-06-06T13:30:00,1483.05,STOP,-1501.77,-1952.23
baseline,INDUSINDBK,2024-06-07,LONG,2024-06-07T11:30:00,1486.25,1480.14,1495.42,201,6.11,2024-06-07T11:50:00,1495.42,TARGET,1843.44,1393.96
baseline,INDUSINDBK,2024-06-14,SHORT,2024-06-14T14:10:00,1503.30,1506.93,1497.85,199,3.63,2024-06-14T14:10:00,1497.85,TARGET,1083.67,635.74
baseline,INDUSINDBK,2024-06-18,SHORT,2024-06-18T10:00:00,1503.60,1509.13,1495.30,199,5.53,2024-06-18T10:00:00,1508.25,REVERSE,-925.35,-1374.87
baseline,INDUSINDBK,2024-06-21,SHORT,2024-06-21T12:50:00,1523.80,1527.78,1517.82,196,3.98,2024-06-21T12:50:00,1527.78,STOP,-781.02,-1229.61
baseline,INDUSINDBK,2024-06-25,LONG,2024-06-25T13:50:00,1496.05,1491.71,1502.56,200,4.34,2024-06-25T14:20:00,1491.71,STOP,-868.15,-1316.31
baseline,INDUSINDBK,2024-06-26,LONG,2024-06-26T10:10:00,1497.30,1491.22,1506.42,200,6.08,2024-06-26T11:20:00,1506.42,TARGET,1823.44,1372.88
baseline,INDUSINDBK,2024-07-03,LONG,2024-07-03T10:00:00,1441.35,1435.99,1449.39,208,5.36,2024-07-03T10:00:00,1435.99,STOP,-1114.90,-1563.77
baseline,INDUSINDBK,2024-07-04,SHORT,2024-07-04T10:30:00,1439.70,1444.31,1432.79,208,4.61,2024-07-04T12:20:00,1442.45,TIME_STOP,-572.00,-1021.62
baseline,INDUSINDBK,2024-07-09,SHORT,2024-07-09T10:10:00,1432.65,1437.43,1425.48,209,4.78,2024-07-09T12:00:00,1432.00,TIME_STOP,135.85,-313.18
baseline,INDUSINDBK,2024-07-11,LONG,2024-07-11T14:10:00,1426.35,1423.23,1431.03,210,3.12,2024-07-11T14:10:00,1423.23,STOP,-655.46,-1104.27
