venue,dte,cell,scope,n_days,exc_p50,exc_p90,exc_p95,exc_p99,exc_max,term_p50,term_p90,term_p95,term_p99,term_max
NIFTY,0,DEP_0930_1100,dte_matched,358,33.3,68.7,81.1,120.9,306.0,20.1,54.5,64.6,106.6,282.9
NIFTY,0,DEP_0930_1100,dte_matched_ex2122,163,32.8,65.7,78.3,86.0,116.6,19.5,52.4,60.8,73.6,106.6
NIFTY,0,DEP_0930_1100,all_days,2754,32.5,70.3,86.2,137.2,1304.5,17.9,52.4,70.0,122.8,1054.4
NIFTY,0,DEP_0930_1100,dte_matched,358,33.3,68.7,81.1,120.9,306.0,20.1,54.5,64.6,106.6,282.9
NIFTY,0,DEP_0930_1100,dte_matched_ex2122,163,32.8,65.7,78.3,86.0,116.6,19.5,52.4,60.8,73.6,106.6
NIFTY,0,DEP_0930_1100,all_days,2754,32.5,70.3,86.2,137.2,1304.5,17.9,52.4,70.0,122.8,1054.4
NIFTY,0,DEP_0930_1100,dte_matched,358,33.3,68.7,81.1,120.9,306.0,20.1,54.5,64.6,106.6,282.9
NIFTY,0,DEP_0930_1100,dte_matched_ex2122,163,32.8,65.7,78.3,86.0,116.6,19.5,52.4,60.8,73.6,106.6
NIFTY,0,DEP_0930_1100,all_days,2754,32.5,70.3,86.2,137.2,1304.5,17.9,52.4,70.0,122.8,1054.4
NIFTY,0,DEP_1000_1200,dte_matched,358,31.5,69.6,86.3,140.8,545.6,17.8,54.1,65.7,113.7,219.3
NIFTY,0,DEP_1000_1200,dte_matched_ex2122,163,29.0,60.2,66.9,108.1,127.2,17.3,47.4,54.4,86.9,113.5
NIFTY,0,DEP_1000_1200,all_days,2754,30.5,68.5,87.6,154.4,1304.5,16.8,52.0,68.3,126.4,1133.5
NIFTY,0,DEP_1000_1200,dte_matched,358,31.5,69.6,86.3,140.8,545.6,17.8,54.1,65.7,113.7,219.3
NIFTY,0,DEP_1000_1200,dte_matched_ex2122,163,29.0,60.2,66.9,108.1,127.2,17.3,47.4,54.4,86.9,113.5
NIFTY,0,DEP_1000_1200,all_days,2754,30.5,68.5,87.6,154.4,1304.5,16.8,52.0,68.3,126.4,1133.5
NIFTY,0,DEP_1000_1200,dte_matched,358,31.5,69.6,86.3,140.8,545.6,17.8,54.1,65.7,113.7,219.3
NIFTY,0,DEP_1000_1200,dte_matched_ex2122,163,29.0,60.2,66.9,108.1,127.2,17.3,47.4,54.4,86.9,113.5
NIFTY,0,DEP_1000_1200,all_days,2754,30.5,68.5,87.6,154.4,1304.5,16.8,52.0,68.3,126.4,1133.5
NIFTY,0,DEP_1030_1200,dte_matched,358,26.4,58.9,70.6,139.4,496.5,15.2,46.6,56.7,92.7,171.8
NIFTY,0,DEP_1030_1200,dte_matched_ex2122,163,24.8,56.9,61.3,77.9,115.6,13.2,44.1,53.8,70.9,83.1
NIFTY,0,DEP_1030_1200,all_days,2754,24.9,57.1,71.9,134.1,572.6,13.9,43.0,56.7,106.8,479.7
NIFTY,0,DEP_1030_1200,dte_matched,358,26.4,58.9,70.6,139.4,496.5,15.2,46.6,56.7,92.7,171.8
NIFTY,0,DEP_1030_1200,dte_matched_ex2122,163,24.8,56.9,61.3,77.9,115.6,13.2,44.1,53.8,70.9,83.1
NIFTY,0,DEP_1030_1200,all_days,2754,24.9,57.1,71.9,134.1,572.6,13.9,43.0,56.7,106.8,479.7
NIFTY,0,DEP_1030_1200,dte_matched,358,26.4,58.9,70.6,139.4,496.5,15.2,46.6,56.7,92.7,171.8
NIFTY,0,DEP_1030_1200,dte_matched_ex2122,163,24.8,56.9,61.3,77.9,115.6,13.2,44.1,53.8,70.9,83.1
NIFTY,0,DEP_1030_1200,all_days,2754,24.9,57.1,71.9,134.1,572.6,13.9,43.0,56.7,106.8,479.7
NIFTY,0,DEP_1300_1400,dte_matched,357,24.1,54.9,71.9,122.2,276.7,12.6,44.6,61.6,105.9,248.0
NIFTY,0,DEP_1300_1400,dte_matched_ex2122,162,18.8,46.4,57.8,74.6,143.6,9.8,33.3,47.3,69.9,136.4
NIFTY,0,DEP_1300_1400,all_days,2753,23.6,53.8,71.1,117.4,276.7,13.0,41.8,56.7,99.9,248.0
NIFTY,0,DEP_1300_1400,dte_matched,357,24.1,54.9,71.9,122.2,276.7,12.6,44.6,61.6,105.9,248.0
NIFTY,0,DEP_1300_1400,dte_matched_ex2122,162,18.8,46.4,57.8,74.6,143.6,9.8,33.3,47.3,69.9,136.4
NIFTY,0,DEP_1300_1400,all_days,2753,23.6,53.8,71.1,117.4,276.7,13.0,41.8,56.7,99.9,248.0
NIFTY,0,DEP_1300_1400,dte_matched,357,24.1,54.9,71.9,122.2,276.7,12.6,44.6,61.6,105.9,248.0
NIFTY,0,DEP_1300_1400,dte_matched_ex2122,162,18.8,46.4,57.8,74.6,143.6,9.8,33.3,47.3,69.9,136.4
NIFTY,0,DEP_1300_1400,all_days,2753,23.6,53.8,71.1,117.4,276.7,13.0,41.8,56.7,99.9,248.0
NIFTY,0,DEP_1300_1520,dte_matched,357,42.4,94.8,133.2,181.4,323.4,24.1,75.9,110.5,135.8,181.3
NIFTY,0,DEP_1300_1520,dte_matched_ex2122,162,35.7,72.9,83.5,147.9,169.9,19.3,62.7,74.2,130.8,135.8
NIFTY,0,DEP_1300_1520,all_days,2753,41.5,97.7,121.4,191.6,406.2,25.0,76.1,99.4,164.0,381.8
NIFTY,0,DEP_1300_1520,dte_matched,357,42.4,94.8,133.2,181.4,323.4,24.1,75.9,110.5,135.8,181.3
NIFTY,0,DEP_1300_1520,dte_matched_ex2122,162,35.7,72.9,83.5,147.9,169.9,19.3,62.7,74.2,130.8,135.8
NIFTY,0,DEP_1300_1520,all_days,2753,41.5,97.7,121.4,191.6,406.2,25.0,76.1,99.4,164.0,381.8
NIFTY,0,DEP_1300_1520,dte_matched,357,42.4,94.8,133.2,181.4,323.4,24.1,75.9,110.5,135.8,181.3
NIFTY,0,DEP_1300_1520,dte_matched_ex2122,162,35.7,72.9,83.5,147.9,169.9,19.3,62.7,74.2,130.8,135.8
NIFTY,0,DEP_1300_1520,all_days,2753,41.5,97.7,121.4,191.6,406.2,25.0,76.1,99.4,164.0,381.8
NIFTY,0,G_09:20_120,dte_matched,358,40.8,81.9,95.2,144.0,661.6,24.6,61.2,77.3,126.6,460.9
NIFTY,0,G_09:20_120,dte_matched_ex2122,163,38.8,71.8,84.9,97.5,128.3,23.7,55.0,69.5,82.3,113.5
NIFTY,0,G_09:20_120,all_days,2753,37.5,80.0,98.9,168.8,1304.5,20.8,60.1,79.0,126.7,1100.8
NIFTY,0,G_09:20_120,dte_matched,358,40.8,81.9,95.2,144.0,661.6,24.6,61.2,77.3,126.6,460.9
NIFTY,0,G_09:20_120,dte_matched_ex2122,163,38.8,71.8,84.9,97.5,128.3,23.7,55.0,69.5,82.3,113.5
NIFTY,0,G_09:20_120,all_days,2753,37.5,80.0,98.9,168.8,1304.5,20.8,60.1,79.0,126.7,1100.8
NIFTY,0,G_09:20_120,dte_matched,358,40.8,81.9,95.2,144.0,661.6,24.6,61.2,77.3,126.6,460.9
NIFTY,0,G_09:20_120,dte_matched_ex2122,163,38.8,71.8,84.9,97.5,128.3,23.7,55.0,69.5,82.3,113.5
NIFTY,0,G_09:20_120,all_days,2753,37.5,80.0,98.9,168.8,1304.5,20.8,60.1,79.0,126.7,1100.8
NIFTY,0,G_09:20_60,dte_matched,358,32.3,59.3,77.0,111.4,418.6,19.2,47.9,61.6,98.5,372.8
NIFTY,0,G_09:20_60,dte_matched_ex2122,163,32.2,54.1,69.0,81.9,95.2,19.6,44.7,52.5,67.7,86.2
NIFTY,0,G_09:20_60,all_days,2753,30.5,63.1,77.6,129.5,626.3,17.1,47.1,60.0,98.4,569.8
NIFTY,0,G_09:20_60,dte_matched,358,32.3,59.3,77.0,111.4,418.6,19.2,47.9,61.6,98.5,372.8
NIFTY,0,G_09:20_60,dte_matched_ex2122,163,32.2,54.1,69.0,81.9,95.2,19.6,44.7,52.5,67.7,86.2
NIFTY,0,G_09:20_60,all_days,2753,30.5,63.1,77.6,129.5,626.3,17.1,47.1,60.0,98.4,569.8
NIFTY,0,G_09:20_60,dte_matched,358,32.3,59.3,77.0,111.4,418.6,19.2,47.9,61.6,98.5,372.8
NIFTY,0,G_09:20_60,dte_matched_ex2122,163,32.2,54.1,69.0,81.9,95.2,19.6,44.7,52.5,67.7,86.2
NIFTY,0,G_09:20_60,all_days,2753,30.5,63.1,77.6,129.5,626.3,17.1,47.1,60.0,98.4,569.8
NIFTY,0,G_09:20_90,dte_matched,358,36.6,73.0,87.4,141.0,418.6,21.5,53.2,68.8,107.3,274.3
NIFTY,0,G_09:20_90,dte_matched_ex2122,163,36.3,64.6,81.9,90.3,104.9,22.5,48.2,62.7,76.4,100.8
NIFTY,0,G_09:20_90,all_days,2753,34.8,72.2,89.4,149.0,1304.5,19.4,53.5,70.3,124.8,1167.5
NIFTY,0,G_09:20_90,dte_matched,358,36.6,73.0,87.4,141.0,418.6,21.5,53.2,68.8,107.3,274.3
NIFTY,0,G_09:20_90,dte_matched_ex2122,163,36.3,64.6,81.9,90.3,104.9,22.5,48.2,62.7,76.4,100.8
NIFTY,0,G_09:20_90,all_days,2753,34.8,72.2,89.4,149.0,1304.5,19.4,53.5,70.3,124.8,1167.5
