venue,dte,cell,b_frac_per_bp,source,sl20_fires_at_bp,sl25_fires_at_bp,sl50_fires_at_bp
NIFTY,1,G_09:20_60,0.000368,cell(n=10),543.2,679.0,1358.0
NIFTY,1,G_09:20_90,0.000582,cell(n=12),343.8,429.7,859.5
NIFTY,1,G_09:20_120,0.001268,cell(n=14),157.7,197.2,394.3
NIFTY,1,G_09:20_H,0.001314,cell(n=17),152.2,190.2,380.4
NIFTY,1,G_09:50_60,0.000454,cell(n=11),441.0,551.2,1102.5
NIFTY,1,G_09:50_90,0.000772,cell(n=14),259.0,323.7,647.4
NIFTY,1,G_09:50_120,0.000931,cell(n=16),214.8,268.5,537.1
NIFTY,1,G_09:50_H,0.001412,cell(n=18),141.7,177.1,354.2
NIFTY,1,G_10:20_60,0.001743,cell(n=8),114.7,143.4,286.9
NIFTY,1,G_10:20_90,0.002347,cell(n=8),85.2,106.5,213.0
NIFTY,1,G_10:20_120,0.002338,cell(n=11),85.6,107.0,213.9
NIFTY,1,G_10:20_H,0.00199,cell(n=16),100.5,125.7,251.3
NIFTY,1,G_10:50_60,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_10:50_90,0.002095,cell(n=11),95.5,119.3,238.6
NIFTY,1,G_10:50_120,0.002521,cell(n=13),79.3,99.2,198.4
NIFTY,1,G_10:50_H,0.001837,cell(n=16),108.9,136.1,272.2
NIFTY,1,G_11:20_60,0.0025,cell(n=8),80.0,100.0,200.0
NIFTY,1,G_11:20_90,0.001901,cell(n=10),105.2,131.5,263.1
NIFTY,1,G_11:20_120,0.002396,cell(n=11),83.5,104.3,208.7
NIFTY,1,G_11:20_H,0.001968,cell(n=17),101.6,127.0,254.1
NIFTY,1,G_11:50_60,0.002434,cell(n=9),82.2,102.7,205.5
NIFTY,1,G_11:50_90,0.002313,cell(n=9),86.5,108.1,216.2
NIFTY,1,G_11:50_120,0.00203,cell(n=11),98.5,123.1,246.3
NIFTY,1,G_11:50_H,0.001495,cell(n=15),133.8,167.2,334.5
NIFTY,1,G_12:20_60,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_12:20_90,0.002098,cell(n=9),95.3,119.1,238.3
NIFTY,1,G_12:20_120,0.002098,cell(n=9),95.3,119.1,238.3
NIFTY,1,G_12:20_H,0.001352,cell(n=14),148.0,185.0,369.9
NIFTY,1,G_12:50_60,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_12:50_90,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_12:50_120,0.001229,cell(n=10),162.8,203.5,407.0
NIFTY,1,G_12:50_H,0.000872,cell(n=12),229.2,286.5,573.1
NIFTY,1,G_13:20_60,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_13:20_90,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_13:20_120,0.000509,cell(n=8),393.0,491.2,982.5
NIFTY,1,G_13:20_H,0.000509,cell(n=8),393.0,491.2,982.5
NIFTY,1,G_13:50_60,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_13:50_90,0.000165,cell(n=10),1210.3,1512.8,3025.6
NIFTY,1,G_13:50_120,0.000165,cell(n=10),1210.3,1512.8,3025.6
NIFTY,1,G_13:50_H,0.000165,cell(n=10),1210.3,1512.8,3025.6
NIFTY,1,G_14:20_60,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_14:20_90,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_14:20_120,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_14:20_H,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_14:30_60,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_14:30_90,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_14:30_120,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,G_14:30_H,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,DEP_0930_1100,0.000831,cell(n=14),240.7,300.9,601.7
NIFTY,1,DEP_1000_1200,0.002239,cell(n=11),89.3,111.7,223.3
NIFTY,1,DEP_1030_1200,0.00199,cell(n=9),100.5,125.6,251.3
NIFTY,1,DEP_1300_1400,0.001341,pooled(n=526),149.1,186.4,372.8
NIFTY,1,DEP_1300_1520,0.000658,cell(n=12),304.0,380.0,759.9
NIFTY,0,G_09:20_60,0.004779,cell(n=10),41.9,52.3,104.6
NIFTY,0,G_09:20_90,0.004685,cell(n=11),42.7,53.4,106.7
NIFTY,0,G_09:20_120,0.004039,cell(n=12),49.5,61.9,123.8
NIFTY,0,G_09:20_H,0.005002,cell(n=17),40.0,50.0,100.0
NIFTY,0,G_09:50_60,0.008927,pooled(n=576),22.4,28.0,56.0
NIFTY,0,G_09:50_90,0.001795,cell(n=10),111.4,139.3,278.5
NIFTY,0,G_09:50_120,0.004198,cell(n=13),47.6,59.6,119.1
NIFTY,0,G_09:50_H,0.006226,cell(n=17),32.1,40.2,80.3
NIFTY,0,G_10:20_60,0.008927,pooled(n=576),22.4,28.0,56.0
NIFTY,0,G_10:20_90,0.005645,cell(n=11),35.4,44.3,88.6
NIFTY,0,G_10:20_120,0.005894,cell(n=12),33.9,42.4,84.8
NIFTY,0,G_10:20_H,0.008159,cell(n=15),24.5,30.6,61.3
NIFTY,0,G_10:50_60,0.007662,cell(n=9),26.1,32.6,65.3
NIFTY,0,G_10:50_90,0.007176,cell(n=11),27.9,34.8,69.7
NIFTY,0,G_10:50_120,0.006956,cell(n=12),28.8,35.9,71.9
NIFTY,0,G_10:50_H,0.011447,cell(n=15),17.5,21.8,43.7
NIFTY,0,G_11:20_60,0.006519,cell(n=9),30.7,38.4,76.7
NIFTY,0,G_11:20_90,0.00642,cell(n=12),31.2,38.9,77.9
NIFTY,0,G_11:20_120,0.009408,cell(n=13),21.3,26.6,53.1
NIFTY,0,G_11:20_H,0.011708,cell(n=15),17.1,21.4,42.7
NIFTY,0,G_11:50_60,0.006843,cell(n=8),29.2,36.5,73.1
NIFTY,0,G_11:50_90,0.01237,cell(n=10),16.2,20.2,40.4
NIFTY,0,G_11:50_120,0.010851,cell(n=12),18.4,23.0,46.1
NIFTY,0,G_11:50_H,0.012569,cell(n=15),15.9,19.9,39.8
NIFTY,0,G_12:20_60,0.008927,pooled(n=576),22.4,28.0,56.0
NIFTY,0,G_12:20_90,0.008282,cell(n=11),24.1,30.2,60.4
NIFTY,0,G_12:20_120,0.008311,cell(n=12),24.1,30.1,60.2
NIFTY,0,G_12:20_H,0.010813,cell(n=15),18.5,23.1,46.2
NIFTY,0,G_12:50_60,0.008927,pooled(n=576),22.4,28.0,56.0
NIFTY,0,G_12:50_90,0.005188,cell(n=10),38.5,48.2,96.4
NIFTY,0,G_12:50_120,0.009604,cell(n=13),20.8,26.0,52.1
NIFTY,0,G_12:50_H,0.009701,cell(n=15),20.6,25.8,51.5
NIFTY,0,G_13:20_60,0.009585,cell(n=9),20.9,26.1,52.2
NIFTY,0,G_13:20_90,0.011138,cell(n=12),18.0,22.4,44.9
NIFTY,0,G_13:20_120,0.015619,cell(n=12),12.8,16.0,32.0
NIFTY,0,G_13:20_H,0.015619,cell(n=12),12.8,16.0,32.0
NIFTY,0,G_13:50_60,0.009136,cell(n=8),21.9,27.4,54.7
NIFTY,0,G_13:50_90,0.013644,cell(n=9),14.7,18.3,36.6
NIFTY,0,G_13:50_120,0.013644,cell(n=9),14.7,18.3,36.6
NIFTY,0,G_13:50_H,0.013644,cell(n=9),14.7,18.3,36.6
NIFTY,0,G_14:20_60,0.015479,cell(n=9),12.9,16.2,32.3
NIFTY,0,G_14:20_90,0.015479,cell(n=9),12.9,16.2,32.3
NIFTY,0,G_14:20_120,0.015479,cell(n=9),12.9,16.2,32.3
NIFTY,0,G_14:20_H,0.015479,cell(n=9),12.9,16.2,32.3
NIFTY,0,G_14:30_60,0.022086,cell(n=9),9.1,11.3,22.6
NIFTY,0,G_14:30_90,0.022086,cell(n=9),9.1,11.3,22.6
NIFTY,0,G_14:30_120,0.022086,cell(n=9),9.1,11.3,22.6
NIFTY,0,G_14:30_H,0.022086,cell(n=9),9.1,11.3,22.6
NIFTY,0,DEP_0930_1100,0.002005,cell(n=9),99.7,124.7,249.4
NIFTY,0,DEP_1000_1200,0.007789,cell(n=15),25.7,32.1,64.2
NIFTY,0,DEP_1030_1200,0.005201,cell(n=12),38.5,48.1,96.1
NIFTY,0,DEP_1300_1400,0.008927,pooled(n=576),22.4,28.0,56.0
NIFTY,0,DEP_1300_1520,0.011399,cell(n=13),17.5,21.9,43.9
NIFTY,4,G_09:20_60,0.001073,cell(n=16),186.4,233.0,466.0
NIFTY,4,G_09:20_90,0.001178,cell(n=17),169.8,212.2,424.4
NIFTY,4,G_09:20_120,0.001097,cell(n=17),182.2,227.8,455.6
NIFTY,4,G_09:20_H,0.001049,cell(n=17),190.7,238.4,476.7
NIFTY,4,G_09:50_60,0.000789,cell(n=11),253.3,316.7,633.3
NIFTY,4,G_09:50_90,0.00058,cell(n=12),345.0,431.2,862.5
NIFTY,4,G_09:50_120,0.000588,cell(n=12),339.9,424.9,849.7
NIFTY,4,G_09:50_H,0.000947,cell(n=17),211.1,263.9,527.8
NIFTY,4,G_10:20_60,0.000454,cell(n=9),440.7,550.9,1101.9
NIFTY,4,G_10:20_90,0.000454,cell(n=9),440.7,550.9,1101.9
NIFTY,4,G_10:20_120,0.000605,cell(n=9),330.6,413.2,826.4
NIFTY,4,G_10:20_H,0.000715,cell(n=16),279.8,349.8,699.5
NIFTY,4,G_10:50_60,0.001057,cell(n=8),189.3,236.6,473.2
NIFTY,4,G_10:50_90,0.001008,cell(n=10),198.5,248.1,496.2
NIFTY,4,G_10:50_120,0.000887,cell(n=13),225.4,281.7,563.4
NIFTY,4,G_10:50_H,0.000995,cell(n=16),201.0,251.3,502.6
NIFTY,4,G_11:20_60,0.000887,pooled(n=570),225.4,281.7,563.4
NIFTY,4,G_11:20_90,0.001379,cell(n=10),145.0,181.3,362.6
NIFTY,4,G_11:20_120,0.001219,cell(n=13),164.0,205.1,410.1
NIFTY,4,G_11:20_H,0.001791,cell(n=15),111.6,139.6,279.1
NIFTY,4,G_11:50_60,0.001347,cell(n=9),148.5,185.6,371.3
NIFTY,4,G_11:50_90,0.001275,cell(n=12),156.9,196.1,392.2
NIFTY,4,G_11:50_120,0.001326,cell(n=13),150.8,188.5,377.0
NIFTY,4,G_11:50_H,0.001326,cell(n=15),150.8,188.5,377.0
NIFTY,4,G_12:20_60,0.000887,pooled(n=570),225.4,281.7,563.4
NIFTY,4,G_12:20_90,0.00196,cell(n=8),102.1,127.6,255.1
NIFTY,4,G_12:20_120,0.001361,cell(n=11),146.9,183.7,367.3
NIFTY,4,G_12:20_H,0.001361,cell(n=13),146.9,183.7,367.3
NIFTY,4,G_12:50_60,0.001386,cell(n=8),144.3,180.3,360.7
NIFTY,4,G_12:50_90,0.001386,cell(n=10),144.3,180.3,360.7
NIFTY,4,G_12:50_120,0.001407,cell(n=12),142.1,177.6,355.2
NIFTY,4,G_12:50_H,0.001552,cell(n=13),128.9,161.1,322.2
NIFTY,4,G_13:20_60,0.000887,pooled(n=570),225.4,281.7,563.4
NIFTY,4,G_13:20_90,0.000887,pooled(n=570),225.4,281.7,563.4
NIFTY,4,G_13:20_120,0.000841,cell(n=9),237.7,297.1,594.3
NIFTY,4,G_13:20_H,0.000841,cell(n=9),237.7,297.1,594.3
NIFTY,4,G_13:50_60,0.000887,pooled(n=570),225.4,281.7,563.4
NIFTY,4,G_13:50_90,0.000447,cell(n=9),447.6,559.5,1119.0
NIFTY,4,G_13:50_120,0.000447,cell(n=9),447.6,559.5,1119.0
NIFTY,4,G_13:50_H,0.000447,cell(n=9),447.6,559.5,1119.0
NIFTY,4,G_14:20_60,0.000586,cell(n=8),341.3,426.6,853.2
NIFTY,4,G_14:20_90,0.000586,cell(n=8),341.3,426.6,853.2
