stock,train_v1_trades,train_v1_PF,is_v2_trades,is_v2_PF,is_v2_net,oos_v2_trades,oos_v2_PF,oos_v2_net
INDUSINDBK,9,0.17,0,0,0,0,0,0
PNB,27,0.58,0,0,0,0,0,0
BANKBARODA,17,0.46,0,0,0,0,0,0
WIPRO,10,0.18,0,0,0,0,0,0
HCLTECH,6,0.52,0,0,0,0,0,0
MARUTI,8,1.4,8,2.21,7059.0,1,0.0,-1904.0
HEROMOTOCO,9,1.17,9,1.18,1277.0,3,2.39,2788.0
EICHERMOT,7,0.91,7,1.29,2660.0,1,0.0,-92.0
TITAN,11,1.9,11,2.1,6368.0,4,0.0,-6518.0
ASIANPAINT,5,11.49,5,14.07,13324.0,1,0,5912.0
JSWSTEEL,6,0.75,0,0,0,0,0,0
HINDALCO,9,1.59,9,2.27,6862.0,5,0.48,-2640.0
JINDALSTEL,27,0.76,0,0,0,0,0,0
LT,4,3.23,4,2.51,3835.0,2,0.09,-1160.0
ADANIPORTS,23,0.75,0,0,0,0,0,0
