variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,gross_pnl,costs,days_traded,cagr_pct,sharpe,max_dd,max_dd_pct,calmar
baseline,3261,1289,1972,39.53,640.0,-1148.0,0.36,-1439030.0,20519.0,1459549.0,427,0.0,-17.4,1439030.0,479.68,0.0
vwap,3233,1290,1943,39.9,634.0,-1148.0,0.37,-1412522.0,34502.0,1447025.0,427,0.0,-17.32,1412522.0,470.84,0.0
htf,1765,693,1072,39.26,596.0,-1104.0,0.35,-770281.0,19857.0,790139.0,417,0.0,-13.83,770281.0,256.76,0.0
rsi50,3261,1289,1972,39.53,640.0,-1148.0,0.36,-1438472.0,21075.0,1459547.0,427,0.0,-17.4,1438472.0,479.49,0.0
cpr,2314,898,1416,38.81,678.0,-1162.0,0.37,-1036088.0,-371.0,1035717.0,423,0.0,-14.67,1036088.0,345.36,0.0
bb,3256,1286,1970,39.5,638.0,-1147.0,0.36,-1438855.0,18604.0,1457459.0,427,0.0,-17.39,1438855.0,479.62,0.0
confluence,1607,643,964,40.01,596.0,-1109.0,0.36,-685918.0,33385.0,719304.0,410,0.0,-12.93,685918.0,228.64,0.0
fast_pair,5386,2135,3251,39.64,665.0,-1134.0,0.39,-2266234.0,144489.0,2410722.0,427,0.0,-20.8,2269933.0,756.64,0.0
