date,strategy_%,nifty50_%,excess_pp
2014,101.0,35.9,65.1
2015,9.5,-4.3,13.8
2016,27.7,4.0,23.7
2017,64.5,29.9,34.6
2018,-11.8,4.8,-16.6
2019,10.2,13.6,-3.4
2020,85.7,15.4,70.3
2021,108.0,26.0,82.0
2022,16.0,5.5,10.5
2023,40.0,21.0,19.0
2024,45.3,10.4,34.9
2025,-1.3,11.7,-13.0
2026,0.2,-9.5,9.7
