venue,cell,weekday,n,exc_p50,exc_p90,exc_p95,exc_max,mon_cur_era_n,mon_cur_p50,mon_cur_p95
NIFTY,W_0916_0946,Fri,542,21.8,48.5,60.8,288.8,,,
NIFTY,W_0916_0946,Mon,547,24.2,52.2,65.7,248.1,39,20.6,47.0
NIFTY,W_0916_0946,Thu,554,20.1,44.2,52.7,166.1,,,
NIFTY,W_0916_0946,Tue,553,22.2,48.4,58.6,280.6,,,
NIFTY,W_0916_0946,Wed,557,20.8,43.9,55.7,291.4,,,
NIFTY,W_0916_1001,Fri,542,25.4,55.1,69.4,288.8,,,
NIFTY,W_0916_1001,Mon,547,28.6,60.1,73.1,279.7,39,25.4,53.0
NIFTY,W_0916_1001,Thu,554,25.4,51.1,59.8,307.3,,,
NIFTY,W_0916_1001,Tue,553,27.4,56.1,70.6,361.7,,,
NIFTY,W_0916_1001,Wed,557,25.5,54.3,64.2,321.4,,,
NIFTY,W_0916_1016,Fri,542,29.2,62.1,76.0,288.8,,,
NIFTY,W_0916_1016,Mon,547,32.5,64.0,78.9,279.7,39,27.3,62.4
NIFTY,W_0916_1016,Thu,554,28.7,55.2,69.5,388.1,,,
NIFTY,W_0916_1016,Tue,553,30.2,64.6,79.5,404.2,,,
NIFTY,W_0916_1016,Wed,557,28.2,58.5,73.3,376.6,,,
NIFTY,W_0916_1031,Fri,542,31.6,69.7,82.5,948.7,,,
NIFTY,W_0916_1031,Mon,547,34.3,66.9,84.4,279.7,39,31.2,62.4
NIFTY,W_0916_1031,Thu,554,31.2,59.8,76.0,418.6,,,
NIFTY,W_0916_1031,Tue,553,32.0,68.7,85.8,456.4,,,
NIFTY,W_0916_1031,Wed,557,30.6,64.9,79.0,494.3,,,
NIFTY,W_0916_1046,Fri,542,34.8,74.1,93.7,1252.0,,,
NIFTY,W_0916_1046,Mon,547,35.5,71.6,89.8,289.8,39,31.8,65.8
NIFTY,W_0916_1046,Thu,554,33.7,66.6,81.9,418.6,,,
NIFTY,W_0916_1046,Tue,553,34.7,73.5,88.9,456.4,,,
NIFTY,W_0916_1046,Wed,557,32.1,71.1,85.4,494.3,,,
NIFTY,W_0916_1101,Fri,542,36.1,78.0,96.6,1304.5,,,
NIFTY,W_0916_1101,Mon,547,36.5,73.4,93.7,375.4,39,32.2,79.7
NIFTY,W_0916_1101,Thu,554,35.1,72.6,84.9,418.6,,,
NIFTY,W_0916_1101,Tue,553,36.2,81.2,94.5,456.4,,,
NIFTY,W_0916_1101,Wed,557,33.7,74.3,91.8,494.3,,,
NIFTY,W_0916_1116,Fri,542,37.8,81.2,101.0,1304.5,,,
NIFTY,W_0916_1116,Mon,547,38.3,78.9,101.5,426.2,39,34.4,79.7
NIFTY,W_0916_1116,Thu,554,36.8,73.4,87.6,661.6,,,
NIFTY,W_0916_1116,Tue,553,37.2,82.4,98.2,456.4,,,
NIFTY,W_0916_1116,Wed,557,35.8,76.3,97.9,494.3,,,
NIFTY,W_0930_1000,Fri,542,22.1,43.3,54.0,176.8,,,
NIFTY,W_0930_1000,Mon,548,22.4,48.0,58.1,219.2,39,20.6,41.9
NIFTY,W_0930_1000,Thu,554,20.4,43.7,50.4,195.9,,,
NIFTY,W_0930_1000,Tue,553,21.9,47.0,60.5,203.5,,,
NIFTY,W_0930_1000,Wed,557,20.6,44.1,53.9,221.2,,,
NIFTY,W_0930_1015,Fri,542,26.4,54.0,70.0,278.7,,,
NIFTY,W_0930_1015,Mon,548,27.0,52.9,72.0,235.6,39,25.5,52.5
NIFTY,W_0930_1015,Thu,554,23.6,49.6,59.9,275.8,,,
NIFTY,W_0930_1015,Tue,553,25.7,56.2,68.7,203.5,,,
NIFTY,W_0930_1015,Wed,557,24.5,51.7,63.8,275.8,,,
NIFTY,W_0930_1030,Fri,542,29.3,64.9,83.4,948.7,,,
NIFTY,W_0930_1030,Mon,548,29.5,58.7,79.5,235.6,39,28.9,72.5
NIFTY,W_0930_1030,Thu,554,27.0,54.5,66.1,306.0,,,
NIFTY,W_0930_1030,Tue,553,27.8,63.3,75.0,236.9,,,
NIFTY,W_0930_1030,Wed,557,27.2,58.6,72.5,392.3,,,
NIFTY,W_0930_1045,Fri,542,31.6,68.0,89.8,1252.0,,,
NIFTY,W_0930_1045,Mon,548,31.8,67.5,84.6,395.1,39,30.4,76.8
NIFTY,W_0930_1045,Thu,554,29.3,59.3,71.3,306.0,,,
NIFTY,W_0930_1045,Tue,553,30.8,69.3,80.6,236.9,,,
NIFTY,W_0930_1045,Wed,557,29.2,62.4,80.1,392.3,,,
NIFTY,W_0930_1100,Fri,542,33.1,75.5,98.3,1304.5,,,
NIFTY,W_0930_1100,Mon,548,33.6,72.3,91.2,395.1,39,32.7,90.5
NIFTY,W_0930_1100,Thu,554,31.3,64.2,78.3,306.0,,,
NIFTY,W_0930_1100,Tue,553,32.6,73.5,86.1,236.9,,,
NIFTY,W_0930_1100,Wed,557,31.5,68.0,81.9,392.3,,,
NIFTY,W_0930_1115,Fri,542,35.4,79.6,99.8,1304.5,,,
NIFTY,W_0930_1115,Mon,548,35.7,75.1,100.3,395.1,39,35.3,92.0
NIFTY,W_0930_1115,Thu,554,33.2,67.3,82.9,559.6,,,
NIFTY,W_0930_1115,Tue,553,33.9,75.0,94.4,236.9,,,
NIFTY,W_0930_1115,Wed,557,33.0,69.6,85.7,392.3,,,
NIFTY,W_0930_1130,Fri,542,35.9,82.4,105.4,1304.5,,,
NIFTY,W_0930_1130,Mon,548,37.0,80.4,101.2,395.1,39,36.2,92.0
NIFTY,W_0930_1130,Thu,554,35.0,70.2,84.8,559.6,,,
NIFTY,W_0930_1130,Tue,553,35.0,77.4,96.8,236.9,,,
NIFTY,W_0930_1130,Wed,557,34.1,72.8,89.6,392.3,,,
NIFTY,W_0945_1015,Fri,542,19.2,43.1,53.7,238.2,,,
NIFTY,W_0945_1015,Mon,548,19.4,41.5,53.3,238.7,39,16.7,42.1
NIFTY,W_0945_1015,Thu,554,18.2,38.3,45.8,280.0,,,
NIFTY,W_0945_1015,Tue,553,19.6,42.7,51.8,150.5,,,
NIFTY,W_0945_1015,Wed,557,18.9,37.8,48.4,143.7,,,
NIFTY,W_0945_1030,Fri,542,22.9,50.1,64.4,948.7,,,
NIFTY,W_0945_1030,Mon,548,21.9,48.4,60.6,238.7,39,20.7,59.1
NIFTY,W_0945_1030,Thu,554,21.8,45.4,56.1,310.2,,,
NIFTY,W_0945_1030,Tue,553,22.2,48.3,61.5,204.1,,,
NIFTY,W_0945_1030,Wed,557,22.4,46.5,62.6,201.0,,,
NIFTY,W_0945_1045,Fri,542,26.7,56.4,72.5,1252.0,,,
NIFTY,W_0945_1045,Mon,548,25.0,55.6,75.7,551.7,39,24.3,59.1
NIFTY,W_0945_1045,Thu,554,25.0,52.5,65.8,310.2,,,
NIFTY,W_0945_1045,Tue,553,25.2,54.9,70.1,204.1,,,
NIFTY,W_0945_1045,Wed,557,25.1,55.7,72.5,201.0,,,
NIFTY,W_0945_1100,Fri,542,28.9,61.4,79.3,1304.5,,,
NIFTY,W_0945_1100,Mon,548,27.1,61.9,78.8,551.7,39,25.1,67.2
NIFTY,W_0945_1100,Thu,554,26.8,55.7,75.0,310.2,,,
NIFTY,W_0945_1100,Tue,553,27.2,61.5,75.4,204.1,,,
NIFTY,W_0945_1100,Wed,557,27.0,60.9,76.9,210.4,,,
NIFTY,W_0945_1115,Fri,542,31.0,64.7,88.9,1304.5,,,
NIFTY,W_0945_1115,Mon,548,28.9,65.1,87.1,551.7,39,25.2,70.1
NIFTY,W_0945_1115,Thu,554,28.6,63.0,77.4,552.8,,,
NIFTY,W_0945_1115,Tue,553,29.1,65.2,78.5,204.1,,,
NIFTY,W_0945_1115,Wed,557,28.4,63.2,81.3,212.6,,,
NIFTY,W_0945_1130,Fri,542,32.3,70.2,93.8,1304.5,,,
NIFTY,W_0945_1130,Mon,548,30.8,69.0,90.6,551.7,39,26.5,78.0
NIFTY,W_0945_1130,Thu,554,31.7,66.8,82.1,552.8,,,
NIFTY,W_0945_1130,Tue,553,31.1,69.9,84.5,204.1,,,
NIFTY,W_0945_1130,Wed,557,30.4,69.5,87.7,249.8,,,
NIFTY,W_0945_1145,Fri,542,34.4,73.2,97.8,1304.5,,,
NIFTY,W_0945_1145,Mon,548,32.3,72.7,91.6,551.7,39,28.1,78.0
NIFTY,W_0945_1145,Thu,554,33.7,71.1,86.7,552.8,,,
NIFTY,W_0945_1145,Tue,553,32.2,70.8,87.7,227.5,,,
NIFTY,W_0945_1145,Wed,557,32.0,72.5,90.2,249.8,,,
NIFTY,W_1000_1030,Fri,542,19.1,40.4,53.9,948.7,,,
