venue,cell,scope,n,exc_p50,exc_p90,exc_p95,exc_p99,exc_max,term_p50,term_p95,term_max
NIFTY,W_0916_0946,dte_matched,353,21.6,47.1,59.0,104.4,291.4,12.9,44.9,287.5
NIFTY,W_0916_0946,monday_all_eras,547,24.2,52.2,65.7,124.7,248.1,14.1,50.4,248.1
NIFTY,W_0916_0946,monday_cur_era,39,20.6,37.1,47.0,82.0,82.0,15.5,40.7,44.9
NIFTY,W_0916_0946,dte_matched,353,21.6,47.1,59.0,104.4,291.4,12.9,44.9,287.5
NIFTY,W_0916_0946,monday_all_eras,547,24.2,52.2,65.7,124.7,248.1,14.1,50.4,248.1
NIFTY,W_0916_0946,monday_cur_era,39,20.6,37.1,47.0,82.0,82.0,15.5,40.7,44.9
NIFTY,W_0916_0946,dte_matched,353,21.6,47.1,59.0,104.4,291.4,12.9,44.9,287.5
NIFTY,W_0916_0946,monday_all_eras,547,24.2,52.2,65.7,124.7,248.1,14.1,50.4,248.1
NIFTY,W_0916_0946,monday_cur_era,39,20.6,37.1,47.0,82.0,82.0,15.5,40.7,44.9
NIFTY,W_0916_0946,dte_matched,353,21.6,47.1,59.0,104.4,291.4,12.9,44.9,287.5
NIFTY,W_0916_0946,monday_all_eras,547,24.2,52.2,65.7,124.7,248.1,14.1,50.4,248.1
NIFTY,W_0916_0946,monday_cur_era,39,20.6,37.1,47.0,82.0,82.0,15.5,40.7,44.9
NIFTY,W_0916_0946,dte_matched,353,21.6,47.1,59.0,104.4,291.4,12.9,44.9,287.5
NIFTY,W_0916_0946,monday_all_eras,547,24.2,52.2,65.7,124.7,248.1,14.1,50.4,248.1
NIFTY,W_0916_0946,monday_cur_era,39,20.6,37.1,47.0,82.0,82.0,15.5,40.7,44.9
NIFTY,W_0916_0946,dte_matched,353,21.6,47.1,59.0,104.4,291.4,12.9,44.9,287.5
NIFTY,W_0916_0946,monday_all_eras,547,24.2,52.2,65.7,124.7,248.1,14.1,50.4,248.1
