assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone
SECT9,MOMSKIP252,3m,half1,58,-0.0017,-0.03,51.7,11.21,13.69,15.84,-4.63,False
SECT9,MOMSKIP252,3m,half2,67,-0.0266,-0.55,44.8,18.89,21.97,15.71,3.18,False
SECT9,RISKADJ63,1m,full,136,0.0314,0.99,48.5,16.83,13.92,10.83,6.01,True
SECT9,RISKADJ63,1m,half1,67,0.0341,0.74,46.3,10.32,9.24,4.57,5.75,True
SECT9,RISKADJ63,1m,half2,69,0.0287,0.66,50.7,23.16,18.46,16.9,6.26,True
SECT9,RISKADJ63,3m,full,134,0.0576,1.87,56.0,15.28,15.9,10.84,4.44,False
SECT9,RISKADJ63,3m,half1,67,0.0689,1.44,53.7,9.76,10.79,6.92,2.84,False
SECT9,RISKADJ63,3m,half2,67,0.0463,1.18,58.2,20.8,21.0,14.76,6.05,False
SECT9,RISKADJ126,1m,full,133,0.0336,1.03,49.6,16.7,13.84,11.95,4.76,True
SECT9,RISKADJ126,1m,half1,64,0.0362,0.75,53.1,12.36,9.17,3.7,8.66,True
SECT9,RISKADJ126,1m,half2,69,0.0312,0.7,46.4,20.74,18.18,19.6,1.13,False
SECT9,RISKADJ126,3m,full,131,0.0618,2.11,54.2,15.98,16.3,11.87,4.11,False
SECT9,RISKADJ126,3m,half1,64,0.0917,2.23,60.9,10.76,14.23,6.15,4.61,False
SECT9,RISKADJ126,3m,half2,67,0.0333,0.8,47.8,20.96,18.27,17.33,3.63,True
SECT9,RISKADJ252,1m,full,127,0.0175,0.53,44.9,18.57,13.87,15.66,2.91,False
SECT9,RISKADJ252,1m,half1,58,0.0086,0.17,50.0,14.6,6.12,14.99,-0.39,False
SECT9,RISKADJ252,1m,half2,69,0.0249,0.57,40.6,21.91,20.38,16.22,5.69,True
SECT9,RISKADJ252,3m,full,125,0.0227,0.68,61.6,16.77,16.36,16.09,0.68,True
SECT9,RISKADJ252,3m,half1,58,0.0621,1.23,69.0,13.03,11.61,16.11,-3.08,False
SECT9,RISKADJ252,3m,half2,67,-0.0114,-0.26,55.2,20.01,20.47,16.08,3.93,False
SECT9,TSVOTE,1m,full,128,-0.0094,-0.3,49.2,11.09,11.08,8.24,2.85,True
SECT9,TSVOTE,1m,half1,66,0.0289,0.66,54.5,5.73,6.04,-3.94,9.67,False
SECT9,TSVOTE,1m,half2,62,-0.0502,-1.1,43.5,18.31,16.4,19.03,-0.71,False
SECT9,TSVOTE,3m,full,126,0.0045,0.15,51.6,8.45,16.07,8.5,-0.05,False
SECT9,TSVOTE,3m,half1,66,0.0633,1.59,65.2,5.61,12.72,-1.17,6.78,False
SECT9,TSVOTE,3m,half2,60,-0.0601,-1.31,36.7,12.45,19.73,17.35,-4.9,False
SECT9,DISTHIGH126,1m,full,136,-0.0092,-0.28,48.5,12.41,15.04,14.23,-1.81,False
SECT9,DISTHIGH126,1m,half1,67,0.0169,0.35,56.7,8.65,14.38,1.11,7.55,False
SECT9,DISTHIGH126,1m,half2,69,-0.0344,-0.79,40.6,16.07,15.69,26.97,-10.9,False
SECT9,DISTHIGH126,3m,full,134,0.0247,0.84,53.7,12.78,16.36,12.83,-0.04,False
SECT9,DISTHIGH126,3m,half1,67,0.0725,1.75,64.2,7.22,16.48,3.76,3.45,False
SECT9,DISTHIGH126,3m,half2,67,-0.0232,-0.56,43.3,18.35,16.24,21.9,-3.54,False
SECT9,DISTHIGH252,1m,full,133,-0.0057,-0.16,48.9,12.14,15.8,14.56,-2.42,False
SECT9,DISTHIGH252,1m,half1,64,0.0025,0.05,53.1,6.4,14.84,3.99,2.41,False
SECT9,DISTHIGH252,1m,half2,69,-0.0133,-0.28,44.9,17.47,16.69,24.36,-6.89,False
SECT9,DISTHIGH252,3m,full,131,0.0091,0.28,55.0,14.3,15.2,14.6,-0.3,False
SECT9,DISTHIGH252,3m,half1,64,0.0278,0.58,60.9,7.68,14.91,8.56,-0.87,False
SECT9,DISTHIGH252,3m,half2,67,-0.0088,-0.2,49.3,20.63,15.48,20.38,0.25,False
SECT9,MADIST50,1m,full,138,0.0079,0.23,47.1,12.43,14.57,11.98,0.46,False
SECT9,MADIST50,1m,half1,69,0.0053,0.11,46.4,3.02,12.12,4.28,-1.26,False
SECT9,MADIST50,1m,half2,69,0.0104,0.22,47.8,21.84,17.01,19.67,2.17,False
SECT9,MADIST50,3m,full,136,0.0154,0.47,50.0,14.61,13.85,12.13,2.48,True
SECT9,MADIST50,3m,half1,69,0.028,0.56,53.6,5.94,13.52,5.6,0.35,False
SECT9,MADIST50,3m,half2,67,0.0025,0.06,46.3,23.53,14.18,18.85,4.68,False
SECT9,MADIST100,1m,full,137,0.0182,0.54,51.1,13.08,17.45,10.07,3.01,False
SECT9,MADIST100,1m,half1,68,0.014,0.28,50.0,5.76,12.06,4.6,1.16,False
SECT9,MADIST100,1m,half2,69,0.0225,0.49,52.2,20.3,22.76,15.46,4.84,False
SECT9,MADIST100,3m,full,135,0.0398,1.24,54.1,13.45,16.95,11.0,2.45,False
SECT9,MADIST100,3m,half1,68,0.0576,1.18,57.4,6.81,13.8,5.83,0.98,False
SECT9,MADIST100,3m,half2,67,0.0216,0.52,50.7,20.18,20.15,16.24,3.94,True
SECT9,MADIST200,1m,full,135,0.0427,1.27,50.4,13.84,19.32,8.19,5.65,False
