assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone
IND20,MADIST200,3m,half1,114,0.1855,5.56,74.6,30.84,20.21,19.16,11.69,True
IND20,MADIST200,3m,half2,115,0.1243,4.32,69.6,30.58,24.56,21.24,9.34,True
IND20,ACCEL,1m,full,223,0.0043,0.22,53.4,24.06,21.06,22.34,1.72,False
IND20,ACCEL,1m,half1,106,0.0267,0.88,55.7,24.13,18.31,18.09,6.04,True
IND20,ACCEL,1m,half2,117,-0.016,-0.62,51.3,23.99,23.55,26.18,-2.19,False
IND20,ACCEL,3m,full,221,0.0358,1.72,57.5,25.34,23.61,23.26,2.08,True
IND20,ACCEL,3m,half1,106,0.0571,1.83,57.5,24.87,22.66,20.14,4.73,True
IND20,ACCEL,3m,half2,115,0.0161,0.58,57.4,25.78,24.48,26.13,-0.35,False
IND20,REVERSAL21,1m,full,234,-0.0733,-3.65,40.6,16.62,25.74,28.45,-11.83,False
IND20,REVERSAL21,1m,half1,117,-0.1107,-3.72,37.6,12.22,25.52,30.16,-17.94,False
IND20,REVERSAL21,1m,half2,117,-0.0359,-1.34,43.6,21.02,25.95,26.74,-5.72,False
IND20,REVERSAL21,3m,full,232,-0.0986,-4.72,36.6,20.94,25.22,28.96,-8.01,False
IND20,REVERSAL21,3m,half1,117,-0.1363,-4.59,35.0,19.19,23.96,30.73,-11.54,False
IND20,REVERSAL21,3m,half2,115,-0.0603,-2.07,38.3,22.73,26.5,27.16,-4.43,False
IND20,REVERSAL63,1m,full,232,-0.0841,-4.18,39.7,17.95,22.26,30.07,-12.13,False
IND20,REVERSAL63,1m,half1,115,-0.118,-3.89,37.4,15.03,19.63,32.13,-17.1,False
IND20,REVERSAL63,1m,half2,117,-0.0507,-1.93,41.9,20.81,24.86,28.05,-7.24,False
IND20,REVERSAL63,3m,full,230,-0.1309,-6.38,32.6,19.26,24.09,30.56,-11.3,False
IND20,REVERSAL63,3m,half1,115,-0.1619,-5.64,30.4,17.39,22.49,31.54,-14.15,False
IND20,REVERSAL63,3m,half2,115,-0.0999,-3.42,34.8,21.12,25.69,29.57,-8.45,False
IND20,REVERSAL252,1m,full,223,-0.0854,-3.59,38.6,19.16,20.84,27.55,-8.38,False
IND20,REVERSAL252,1m,half1,106,-0.105,-2.88,35.8,18.41,17.67,24.65,-6.23,False
IND20,REVERSAL252,1m,half2,117,-0.0677,-2.18,41.0,19.85,23.7,30.17,-10.33,False
IND20,REVERSAL252,3m,full,221,-0.1085,-4.6,35.3,20.62,24.56,27.05,-6.42,False
IND20,REVERSAL252,3m,half1,106,-0.1165,-3.31,33.0,20.56,22.66,24.51,-3.95,False
IND20,REVERSAL252,3m,half2,115,-0.1011,-3.18,37.4,20.68,26.32,29.39,-8.71,False
IND20,VOLSCMOM126,1m,full,229,0.1092,5.64,68.1,29.06,23.09,16.13,12.93,True
IND20,VOLSCMOM126,1m,half1,112,0.159,5.59,73.2,30.11,22.86,9.64,20.46,True
IND20,VOLSCMOM126,1m,half2,117,0.0615,2.4,63.2,28.06,23.32,22.34,5.73,True
IND20,VOLSCMOM126,3m,full,227,0.1583,8.15,70.0,30.49,23.48,18.44,12.05,True
IND20,VOLSCMOM126,3m,half1,112,0.2214,7.43,72.3,32.72,22.05,13.57,19.15,True
IND20,VOLSCMOM126,3m,half2,115,0.0968,4.06,67.8,28.32,24.88,23.19,5.14,True
IND20,VOLSCMOM252,1m,full,223,0.1003,4.49,62.8,27.82,21.34,18.44,9.38,True
IND20,VOLSCMOM252,1m,half1,106,0.1209,3.59,65.1,25.88,20.32,14.63,11.26,True
IND20,VOLSCMOM252,1m,half2,117,0.0816,2.74,60.7,29.57,22.26,21.89,7.67,True
IND20,VOLSCMOM252,3m,full,221,0.127,5.93,67.9,28.21,23.57,20.66,7.55,True
IND20,VOLSCMOM252,3m,half1,106,0.1587,4.74,67.0,27.6,22.43,18.12,9.48,True
IND20,VOLSCMOM252,3m,half2,115,0.0977,3.61,68.7,28.77,24.61,23.0,5.77,True
IND20,LOWVOL63,1m,full,234,0.0402,1.72,56.4,24.33,22.21,24.36,-0.03,False
IND20,LOWVOL63,1m,half1,117,0.0608,1.8,59.0,23.76,22.2,22.12,1.64,True
IND20,LOWVOL63,1m,half2,117,0.0197,0.61,53.8,24.9,22.21,26.6,-1.7,False
IND20,LOWVOL63,3m,full,232,0.0522,2.17,56.0,25.12,24.44,25.4,-0.28,False
IND20,LOWVOL63,3m,half1,117,0.1087,3.45,65.0,25.76,24.63,23.18,2.58,True
IND20,LOWVOL63,3m,half2,115,-0.0053,-0.15,47.0,24.48,24.24,27.67,-3.19,False
IND20,LOWVOL252,1m,full,229,0.0589,2.45,56.8,24.22,21.58,22.94,1.28,False
IND20,LOWVOL252,1m,half1,112,0.098,2.81,58.9,24.23,19.86,19.45,4.78,True
IND20,LOWVOL252,1m,half2,117,0.0216,0.65,54.7,24.21,23.23,26.28,-2.07,False
IND20,LOWVOL252,3m,full,227,0.0824,3.39,57.7,25.67,22.85,24.42,1.24,False
IND20,LOWVOL252,3m,half1,112,0.1468,4.49,67.0,25.83,21.96,21.63,4.2,True
IND20,LOWVOL252,3m,half2,115,0.0197,0.56,48.7,25.51,23.73,27.15,-1.64,False
IND20,BREADTH50,1m,full,234,0.0725,3.68,60.3,28.54,25.1,16.63,11.91,True
IND20,BREADTH50,1m,half1,117,0.1134,3.89,66.7,30.65,24.49,14.06,16.59,True
IND20,BREADTH50,1m,half2,117,0.0316,1.21,53.8,26.45,25.71,19.21,7.25,True
IND20,BREADTH50,3m,full,232,0.0968,5.07,67.2,27.93,25.97,20.02,7.91,True
IND20,BREADTH50,3m,half1,117,0.1278,4.76,69.2,28.56,25.45,19.05,9.51,True
IND20,BREADTH50,3m,half2,115,0.0653,2.43,65.2,27.3,26.49,21.01,6.29,True
IND20,BREADTH200,1m,full,231,0.0893,4.5,64.9,29.73,23.02,17.76,11.98,True
IND20,BREADTH200,1m,half1,114,0.1169,3.84,64.9,31.02,22.67,15.33,15.68,True
IND20,BREADTH200,1m,half2,117,0.0625,2.45,65.0,28.55,23.35,20.04,8.51,True
IND20,BREADTH200,3m,full,229,0.1118,5.73,63.3,28.49,24.95,19.05,9.44,True
IND20,BREADTH200,3m,half1,114,0.1446,4.68,65.8,28.4,25.75,16.02,12.38,True
IND20,BREADTH200,3m,half2,115,0.0792,3.36,60.9,28.57,24.16,21.95,6.62,True
IND20,BREADTHCHG50,1m,full,233,0.0063,0.36,49.8,23.01,26.59,22.5,0.51,False
IND20,BREADTHCHG50,1m,half1,116,0.0106,0.42,53.4,23.02,26.1,21.42,1.6,False
IND20,BREADTHCHG50,1m,half2,117,0.0022,0.09,46.2,22.99,27.07,23.57,-0.58,False
IND20,BREADTHCHG50,3m,full,231,0.0133,0.74,50.6,25.53,25.07,24.08,1.45,True
IND20,BREADTHCHG50,3m,half1,116,0.0317,1.21,52.6,26.88,23.26,23.02,3.86,True
IND20,BREADTHCHG50,3m,half2,115,-0.0052,-0.21,48.7,24.17,26.9,25.16,-0.99,False
IND20_2015,ABSMOM21,1m,full,138,0.0475,1.94,58.0,26.0,24.18,19.03,6.97,True
IND20_2015,ABSMOM21,3m,full,136,0.073,2.7,60.3,26.69,24.51,21.11,5.58,True
IND20_2015,ABSMOM42,1m,full,137,0.0437,1.74,56.9,27.14,21.95,21.13,6.01,True
IND20_2015,ABSMOM42,3m,full,135,0.0935,3.5,65.2,28.4,23.58,20.75,7.66,True
IND20_2015,ABSMOM63,1m,full,136,0.0599,2.42,58.1,28.01,23.38,19.51,8.51,True
IND20_2015,ABSMOM63,3m,full,134,0.1036,3.83,63.4,29.06,24.19,19.88,9.17,True
IND20_2015,ABSMOM126,1m,full,133,0.0798,3.11,61.7,28.6,23.85,17.5,11.1,True
IND20_2015,ABSMOM126,3m,full,131,0.1289,5.01,69.5,29.9,23.86,19.89,10.0,True
IND20_2015,ABSMOM189,1m,full,130,0.0612,2.23,59.2,28.8,22.17,20.62,8.18,True
IND20_2015,ABSMOM189,3m,full,128,0.1111,3.84,67.2,29.51,22.55,21.62,7.89,True
IND20_2015,ABSMOM252,1m,full,127,0.0595,2.0,57.5,29.71,23.38,21.01,8.7,True
IND20_2015,ABSMOM252,3m,full,125,0.0861,2.88,59.2,29.33,26.61,22.07,7.26,True
IND20_2015,MOMSKIP126,1m,full,133,0.0598,2.29,57.1,27.44,23.25,19.27,8.17,True
IND20_2015,MOMSKIP126,3m,full,131,0.1058,4.11,64.1,28.79,24.39,20.47,8.32,True
IND20_2015,MOMSKIP189,1m,full,130,0.0505,1.82,56.2,27.88,22.41,21.29,6.59,True
IND20_2015,MOMSKIP189,3m,full,128,0.0886,3.01,61.7,28.79,22.68,22.21,6.57,True
IND20_2015,MOMSKIP252,1m,full,127,0.052,1.74,55.9,28.09,23.4,22.62,5.47,True
IND20_2015,MOMSKIP252,3m,full,125,0.0662,2.18,56.8,29.31,25.16,23.55,5.76,True
IND20_2015,RISKADJ63,1m,full,136,0.0641,2.63,58.8,29.31,20.84,20.76,8.55,True
IND20_2015,RISKADJ63,3m,full,134,0.0999,4.15,64.2,28.7,23.51,20.92,7.78,True
IND20_2015,RISKADJ126,1m,full,133,0.0632,2.56,62.4,28.56,20.6,20.79,7.78,False
IND20_2015,RISKADJ126,3m,full,131,0.1051,4.45,65.6,28.45,23.57,21.63,6.81,True
IND20_2015,RISKADJ252,1m,full,127,0.0702,2.45,58.3,29.92,22.32,21.85,8.07,True
IND20_2015,RISKADJ252,3m,full,125,0.0956,3.52,64.0,29.12,25.92,22.98,6.14,True
IND20_2015,TSVOTE,1m,full,116,0.0291,1.1,56.9,13.19,22.31,10.61,2.58,False
IND20_2015,TSVOTE,3m,full,114,0.064,2.61,63.2,17.55,24.9,13.04,4.51,False
IND20_2015,DISTHIGH126,1m,full,136,0.0516,2.08,58.1,25.33,21.54,22.21,3.11,False
IND20_2015,DISTHIGH126,3m,full,134,0.0822,3.3,64.2,25.8,23.74,22.2,3.6,True
IND20_2015,DISTHIGH252,1m,full,133,0.0574,2.17,57.9,25.22,22.59,21.33,3.89,True
IND20_2015,DISTHIGH252,3m,full,131,0.0801,3.2,63.4,26.47,23.64,22.85,3.62,True
IND20_2015,MADIST50,1m,full,138,0.0436,1.79,55.8,25.97,23.79,19.46,6.51,True
IND20_2015,MADIST50,3m,full,136,0.0896,3.37,64.0,27.17,24.77,20.37,6.8,True
IND20_2015,MADIST100,1m,full,137,0.0656,2.64,60.6,29.61,20.24,20.37,9.23,False
IND20_2015,MADIST100,3m,full,135,0.115,4.32,65.2,29.75,21.84,21.15,8.6,True
IND20_2015,MADIST200,1m,full,135,0.0752,2.83,63.7,30.2,21.83,18.4,11.79,True
IND20_2015,MADIST200,3m,full,133,0.1234,4.59,67.7,29.62,22.98,20.19,9.42,True
IND20_2015,ACCEL,1m,full,127,0.001,0.04,53.5,25.33,23.44,25.33,0.01,False
IND20_2015,ACCEL,3m,full,125,0.0351,1.29,58.4,27.35,24.8,25.88,1.47,False
IND20_2015,REVERSAL21,1m,full,138,-0.0475,-1.94,42.0,19.03,24.18,26.0,-6.97,False
IND20_2015,REVERSAL21,3m,full,136,-0.073,-2.7,39.7,21.11,24.51,26.69,-5.58,False
IND20_2015,REVERSAL63,1m,full,136,-0.0599,-2.42,41.9,19.51,23.38,28.01,-8.51,False
IND20_2015,REVERSAL63,3m,full,134,-0.1036,-3.83,36.6,19.88,24.19,29.06,-9.17,False
IND20_2015,REVERSAL252,1m,full,127,-0.0595,-2.0,42.5,21.01,23.38,29.71,-8.7,False
IND20_2015,REVERSAL252,3m,full,125,-0.0861,-2.88,40.8,22.07,26.61,29.33,-7.26,False
IND20_2015,VOLSCMOM126,1m,full,133,0.0671,2.75,64.7,27.17,22.35,20.44,6.72,True
IND20_2015,VOLSCMOM126,3m,full,131,0.0941,4.1,65.6,27.73,23.57,22.35,5.37,True
IND20_2015,VOLSCMOM252,1m,full,127,0.0695,2.42,59.1,28.93,22.26,22.91,6.03,False
IND20_2015,VOLSCMOM252,3m,full,125,0.0788,3.04,64.8,28.65,25.04,24.33,4.31,True
IND20_2015,LOWVOL63,1m,full,138,0.0205,0.71,55.1,23.45,21.34,24.43,-0.98,False
IND20_2015,LOWVOL63,3m,full,136,0.0063,0.2,49.3,23.5,23.13,25.67,-2.17,False
IND20_2015,LOWVOL252,1m,full,133,0.0225,0.74,54.9,23.2,22.0,24.76,-1.56,False
IND20_2015,LOWVOL252,3m,full,131,0.0175,0.55,48.9,24.62,22.93,26.1,-1.48,False
IND20_2015,BREADTH50,1m,full,139,0.0382,1.59,56.8,25.31,24.2,17.45,7.85,True
IND20_2015,BREADTH50,3m,full,137,0.0679,2.69,64.2,25.81,25.26,19.3,6.51,True
IND20_2015,BREADTH200,1m,full,139,0.0721,2.97,64.0,28.03,21.6,18.02,10.01,True
IND20_2015,BREADTH200,3m,full,137,0.0845,3.76,62.0,27.28,23.0,19.98,7.3,True
IND20_2015,BREADTHCHG50,1m,full,138,0.0092,0.42,48.6,22.12,25.68,21.37,0.75,False
IND20_2015,BREADTHCHG50,3m,full,136,0.0103,0.43,50.7,23.57,25.51,23.15,0.42,False
