kind,detail,cagr,maxdd,calmar,sharpe,vol,assets
EQUALWEIGHT_ALL,Moff0,14.023379390475931,-43.22692349116013,0.324413080041278,0.5710227187848672,17.289634554202653,SECT9
EQUALWEIGHT_ALL,Moff1,14.06300314287028,-43.262858631996416,0.3250594987837799,0.5736346649515192,17.26537281725086,SECT9
EQUALWEIGHT_ALL,Moff2,14.235388291629691,-43.417988947364485,0.32786843971256285,0.58262014371766,17.26254000638556,SECT9
EQUALWEIGHT_ALL,Moff3,14.394040394329988,-43.52016600063554,0.3307441518977613,0.5908228015579469,17.26194211918953,SECT9
EQUALWEIGHT_ALL,Qoff0,14.275342805319946,-42.64528438625983,0.3347461040714601,0.5911125571606206,16.998185717445768,SECT9
EQUALWEIGHT_ALL,Qoff1,14.27458043513079,-42.53336977905684,0.3356089703045232,0.5917718036836629,16.970093176232094,SECT9
EQUALWEIGHT_ALL,Qoff2,14.286249932891604,-42.45611541627389,0.33649451422528237,0.5922661954792544,16.974851137291942,SECT9
EQUALWEIGHT_ALL,Qoff3,14.475355993775917,-42.5734695610983,0.34000883984806446,0.6021979618560883,16.974205286591125,SECT9
EQUALWEIGHT_ALL,Foff0,14.022478023738906,-43.999601888125696,0.31869556591427234,0.5700816902550656,17.328820503798973,SECT9
EQUALWEIGHT_ALL,Foff1,14.040857961828767,-44.04971809109328,0.31875023428737415,0.5710496055960411,17.32796938927894,SECT9
EQUALWEIGHT_ALL,Foff2,13.811847675448718,-43.953126519784945,0.3142403912775463,0.5598162121983393,17.301819837834355,SECT9
EQUALWEIGHT_ALL,Foff3,13.814024820651905,-43.88124791511409,0.31480473954100835,0.559905423133789,17.302875608743996,SECT9
BUYHOLD,NIFTY500,13.548959314773935,-38.30235109253165,0.3537370142642697,0.5743129111559333,16.108617657703657,SECT9
BUYHOLD,NIFTY50,11.941874395893537,-38.43985342533347,0.3106638899934864,0.48330924625465144,16.145418049285155,SECT9
BUYHOLD,NIFTYMIDCAP150,18.17175614679236,-44.22538039803725,0.41088976472882605,0.7729040946750911,17.54932643093397,SECT9
BUYHOLD,NIFTYSMLCAP250,15.811580437406715,-60.79106272214367,0.26009712167191984,0.6167756422613492,19.137491951298504,SECT9
BUYHOLD,NIFTYBEES,13.202651426993794,-36.33661102218157,0.3633429495924723,0.5954568192142052,14.619381608255445,SECT9
CASH,5pct,4.907763759993644,0.0,,-684598110886.9376,1.7603208827597377e-13,SECT9
EQUALWEIGHT_ALL,Moff0,19.137278960074177,-58.8238083564385,0.3253321995766282,0.7453152506491828,19.902425713887038,IND20
EQUALWEIGHT_ALL,Moff1,19.063140165391967,-58.80248018474925,0.32418938972468886,0.7427422158492221,19.87991498679087,IND20
EQUALWEIGHT_ALL,Moff2,18.856221025980634,-58.83827555687792,0.3204754192320382,0.7342790559295536,19.8632454903937,IND20
EQUALWEIGHT_ALL,Moff3,18.788473159628705,-58.84092360356546,0.3193096234555064,0.7314074876151161,19.861170190584062,IND20
EQUALWEIGHT_ALL,Qoff0,20.590032244448906,-56.32802244192323,0.36553799249171537,0.8181659153693881,19.556104058454025,IND20
EQUALWEIGHT_ALL,Qoff1,20.593362613179302,-56.30888408356965,0.36572137680114725,0.8198050182090006,19.50920359412805,IND20
EQUALWEIGHT_ALL,Qoff2,20.56184257348095,-56.28227788327963,0.36533422858475795,0.8187540819952855,19.499412019019076,IND20
EQUALWEIGHT_ALL,Qoff3,20.55936326355521,-56.32380407484581,0.3650208575442619,0.818580752433262,19.501419562839473,IND20
EQUALWEIGHT_ALL,Foff0,17.544533444369925,-63.88215759391951,0.2746390244971918,0.6664671335012107,20.332995816184095,IND20
EQUALWEIGHT_ALL,Foff1,17.76283403803425,-62.37138254949287,0.28479141093175386,0.6763207544750534,20.30899115307466,IND20
EQUALWEIGHT_ALL,Foff2,18.47146724611011,-59.044582712093366,0.3128393223842164,0.7103703644366572,20.14638657686517,IND20
EQUALWEIGHT_ALL,Foff3,18.98034572820393,-59.047707210808184,0.3214408590064567,0.7345730901703242,20.049244507800495,IND20
BUYHOLD,NIFTY500,11.257621454228506,-38.30235109253165,0.2939146327344789,0.4448395592634756,16.141978908937855,IND20
BUYHOLD,NIFTY50,9.624791606465122,-38.43985342533347,0.2503857519946208,0.3509955016403704,16.17672392498006,IND20
BUYHOLD,NIFTYMIDCAP150,16.01120384523158,-44.22538039803725,0.362036543295446,0.6654120397877693,17.565599197572404,IND20
BUYHOLD,NIFTYSMLCAP250,13.544954975165124,-60.79106272214367,0.222811616850239,0.509008977402491,19.297991693074316,IND20
BUYHOLD,NIFTYBEES,10.755231916010178,-36.33661102218157,0.2959888556873033,0.4420846016869412,14.674518771041074,IND20
CASH,5pct,4.906978458761535,0.0,,-670093468127.2028,1.798424262006497e-13,IND20
