src,K,slots,stocksig,clock,cagr_med,cagr_min,dd_med,calmar_med
synth20,2,20,riskadj126,Q,23.2045,21.042,-46.8005,0.49950000000000006
synth20,2,15,momskip126,Q,23.582500000000003,20.731,-47.9935,0.497
synth20,2,15,mom126,Q,23.917,22.37,-48.6265,0.49650000000000005
synth20,2,15,riskadj126,Q,22.834000000000003,19.742,-48.25,0.49150000000000005
synth20,2,10,momskip126,Q,24.1685,22.422,-49.9795,0.487
synth20,3,10,riskadj126,M,19.735,17.546,-40.6335,0.486
real8,4,15,riskadj126,Q,19.957,16.889,-40.4405,0.48450000000000004
synth20,2,15,mom126,M,20.630499999999998,17.808,-43.332499999999996,0.482
synth20,5,10,mom126,M,21.0295,19.563,-44.814,0.481
synth20,2,10,momskip126,M,20.6785,19.492,-44.204,0.47650000000000003
synth20,2,20,mom126,M,20.8895,18.104,-43.4195,0.476
synth20,3,15,disthigh252,M,16.372500000000002,15.073,-34.6875,0.474
real8,4,15,momskip126,Q,20.217,18.505,-42.8865,0.466
real8,4,20,momskip126,Q,19.4105,18.392,-43.54,0.447
synth20,2,20,riskadj126,M,19.541,17.212,-43.486,0.4455
synth20,2,15,disthigh252,Q,21.38,18.499,-48.328500000000005,0.4435
real8,4,15,mom126,Q,19.6295,18.211,-43.834,0.4435
real8,4,10,mom126,Q,20.7575,18.834,-46.043499999999995,0.4395
synth20,2,20,momskip126,M,19.364,17.735,-43.929500000000004,0.4395
synth20,4,20,disthigh252,Q,18.058,16.115,-42.009,0.4375
synth20,2,10,disthigh252,Q,19.958,16.112,-47.424,0.4375
synth20,5,20,disthigh252,Q,17.927,17.612,-41.753,0.4355
synth20,2,10,mom126,M,19.23,16.382,-43.4565,0.4345
real8,4,20,riskadj126,Q,17.825499999999998,15.891,-40.923,0.434
synth20,3,15,disthigh252,Q,19.3875,17.066,-43.215,0.433
synth20,4,10,disthigh252,M,16.7105,16.142,-40.6635,0.4305
synth20,5,10,disthigh252,M,16.8955,15.378,-42.19,0.423
synth20,3,10,disthigh252,M,16.076,14.733,-39.377,0.4225
synth20,2,15,momskip126,M,18.197499999999998,15.949,-43.426,0.42100000000000004
real8,2,20,riskadj126,Q,19.0875,17.781,-45.7575,0.41400000000000003
synth20,5,10,disthigh252,Q,19.932000000000002,15.76,-49.4565,0.4135
synth20,2,15,riskadj126,M,18.0505,15.419,-43.4895,0.4125
real8,3,10,momskip126,Q,19.012999999999998,16.633,-46.2945,0.4115
real8,4,20,mom126,Q,17.798000000000002,17.242,-43.3695,0.40800000000000003
real8,3,10,mom126,Q,18.7675,16.523,-45.127,0.4075
real8,5,20,disthigh252,Q,16.375999999999998,13.368,-40.2845,0.40700000000000003
real8,2,15,mom126,Q,19.081,16.886,-45.704,0.404
synth20,2,10,riskadj126,M,16.799,13.287,-42.531,0.40349999999999997
synth20,5,15,disthigh252,Q,17.7035,17.115,-46.1935,0.3975
real8,2,20,mom126,Q,19.7305,17.746,-48.249,0.3965
synth20,4,15,disthigh252,Q,17.932000000000002,15.771,-45.230999999999995,0.3955
real8,3,10,riskadj126,Q,17.8295,16.116,-44.965,0.395
synth20,2,20,disthigh252,M,17.0195,14.817,-43.5205,0.391
real8,2,10,momskip126,Q,18.7645,16.122,-48.783,0.391
real8,2,20,riskadj126,M,19.351,17.211,-50.557,0.39049999999999996
real8,2,20,mom126,M,20.0385,18.136,-53.635999999999996,0.38749999999999996
real8,2,20,disthigh252,Q,19.5465,19.099,-50.7735,0.385
real8,2,15,riskadj126,Q,18.132,16.651,-46.816500000000005,0.381
synth20,4,10,disthigh252,Q,17.951999999999998,17.232,-49.598,0.3705
synth20,3,10,disthigh252,Q,17.311500000000002,16.287,-50.0375,0.368
real8,3,15,riskadj126,Q,16.1705,14.08,-44.315,0.363
real8,5,15,disthigh252,Q,15.3505,13.838,-45.1015,0.36250000000000004
real8,2,10,riskadj126,Q,17.5695,15.665,-48.6415,0.361
real8,2,20,momskip126,Q,17.936500000000002,16.378,-48.4935,0.36
real8,2,15,momskip126,Q,17.177500000000002,15.008,-47.798,0.35950000000000004
real8,3,15,mom126,Q,16.6455,15.909,-45.7945,0.358
real8,2,20,momskip126,M,18.2835,17.513,-52.574,0.3535
real8,2,20,disthigh252,M,18.0305,16.064,-51.518,0.34550000000000003
real8,2,10,mom126,Q,17.053,15.259,-49.2885,0.34450000000000003
synth20,2,15,disthigh252,M,15.535499999999999,12.642,-45.7655,0.344
real8,3,15,momskip126,Q,15.8265,15.148,-46.587,0.3425
real8,2,15,momskip126,M,17.244,15.964,-51.823,0.33999999999999997
real8,2,15,riskadj126,M,17.3235,16.197,-51.7145,0.3385
real8,3,20,riskadj126,Q,14.965,12.892,-44.037499999999994,0.3385
real8,3,20,disthigh252,Q,15.804,13.114,-47.555499999999995,0.33799999999999997
real8,2,15,mom126,M,17.9305,15.634,-53.6215,0.33799999999999997
real8,4,20,momskip126,M,15.2575,12.984,-45.230999999999995,0.33799999999999997
real8,3,20,mom126,Q,15.068,14.313,-44.3985,0.3345
real8,3,20,riskadj126,M,14.623000000000001,12.636,-45.6345,0.324
real8,5,20,momskip126,M,15.048,12.785,-46.375,0.3235
real8,3,20,momskip126,Q,14.811499999999999,13.807,-46.336,0.319
real8,4,20,riskadj126,M,14.286000000000001,13.121,-44.3405,0.3175
real8,4,20,disthigh252,Q,14.469999999999999,14.182,-47.346000000000004,0.3115
real8,3,15,mom126,M,15.637999999999998,13.001,-50.874,0.311
real8,2,10,mom126,M,16.931,15.049,-55.6345,0.31
real8,2,15,disthigh252,Q,17.158,15.837,-53.4625,0.3085
real8,3,20,mom126,M,15.1995,14.109,-50.245000000000005,0.3065
real8,3,15,momskip126,M,14.271,12.62,-46.6665,0.3055
real8,3,20,disthigh252,M,14.0675,11.674,-46.661500000000004,0.3025
real8,4,20,mom126,M,14.6075,14.212,-48.2625,0.3025
real8,5,20,mom126,M,15.042000000000002,13.841,-48.900999999999996,0.3015
real8,2,10,momskip126,M,16.019000000000002,14.183,-52.8475,0.2995
real8,4,10,mom126,M,13.814499999999999,12.178,-50.649,0.2935
real8,3,15,riskadj126,M,13.9855,11.835,-48.4195,0.2935
real8,5,10,disthigh252,Q,14.4245,13.08,-51.316,0.2855
real8,2,15,disthigh252,M,15.1275,13.742,-52.968,0.28500000000000003
real8,4,15,mom126,M,14.344,13.22,-51.9795,0.2815
real8,4,15,momskip126,M,13.4215,11.646,-47.7325,0.2815
real8,5,20,riskadj126,M,13.096,10.881,-46.5655,0.281
real8,3,20,momskip126,M,13.4235,12.136,-48.8735,0.28
real8,5,15,momskip126,M,13.397,11.415,-48.2445,0.278
synth20,2,10,disthigh252,M,12.8895,11.945,-45.633,0.277
real8,3,10,mom126,M,13.877500000000001,10.525,-50.3755,0.27549999999999997
real8,3,10,momskip126,M,14.117,12.456,-51.9105,0.272
real8,2,10,disthigh252,Q,14.135,10.882,-55.0265,0.271
real8,2,10,riskadj126,M,14.7455,12.893,-55.4405,0.269
real8,5,20,disthigh252,M,12.2905,9.566,-45.8245,0.2655
real8,5,10,mom126,M,14.085,10.641,-53.763999999999996,0.265
real8,4,15,disthigh252,Q,12.864,12.023,-49.233000000000004,0.262
real8,4,15,riskadj126,M,12.404,11.252,-48.5295,0.255
real8,4,10,momskip126,M,12.868,12.305,-50.661,0.2505
real8,3,15,disthigh252,M,11.925,11.385,-48.9825,0.2445
real8,5,15,mom126,M,12.9025,11.733,-53.166,0.2395
real8,4,10,disthigh252,Q,12.493500000000001,10.625,-51.533500000000004,0.2385
real8,5,10,momskip126,M,12.153,10.286,-50.985,0.237
real8,3,15,disthigh252,Q,11.967,10.654,-51.3185,0.2355
real8,4,20,disthigh252,M,10.7255,9.924,-45.847,0.23349999999999999
real8,5,15,disthigh252,M,10.7615,8.781,-48.712,0.23
real8,3,10,riskadj126,M,10.849499999999999,9.375,-51.5965,0.21500000000000002
real8,3,10,disthigh252,Q,10.6625,7.246,-49.7385,0.2105
real8,5,15,riskadj126,M,10.3695,9.793,-50.1925,0.207
real8,2,10,disthigh252,M,11.527999999999999,8.715,-56.5105,0.20650000000000002
real8,4,10,riskadj126,M,10.625499999999999,8.321,-49.941,0.2005
real8,3,10,disthigh252,M,9.765,8.062,-53.016,0.1865
real8,4,15,disthigh252,M,9.1735,8.734,-49.3915,0.186
real8,5,10,riskadj126,M,8.897,6.805,-52.58,0.1615
real8,5,10,disthigh252,M,8.328,7.141,-53.8725,0.155
real8,4,10,disthigh252,M,6.687,5.659,-53.372,0.1245
