assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone
REAL8,ABSMOM63,1m,full,136,0.0504,1.44,54.4,17.24,12.66,10.52,6.72,True
REAL8,ABSMOM63,3m,full,134,0.0416,1.14,54.5,14.92,14.62,11.65,3.27,True
REAL8,ABSMOM126,1m,full,133,0.034,0.92,52.6,14.28,15.61,11.69,2.59,False
REAL8,ABSMOM126,3m,full,131,0.0282,0.82,49.6,14.6,16.44,12.19,2.41,False
REAL8,ABSMOM252,1m,full,127,0.0242,0.67,49.6,18.05,15.85,12.01,6.04,True
REAL8,ABSMOM252,3m,full,125,0.009,0.24,54.4,15.71,16.9,15.61,0.1,False
REAL8,MOMSKIP126,1m,full,133,0.0118,0.33,45.9,12.6,18.35,10.1,2.5,False
REAL8,MOMSKIP126,3m,full,131,0.0269,0.76,48.9,15.76,15.6,11.72,4.04,True
REAL8,RISKADJ63,1m,full,136,0.0285,0.84,50.0,15.62,14.03,10.89,4.73,True
REAL8,RISKADJ63,3m,full,134,0.0474,1.38,56.7,14.98,15.0,11.0,3.98,False
REAL8,RISKADJ126,1m,full,133,0.0405,1.14,50.4,15.3,16.11,9.41,5.89,False
REAL8,RISKADJ126,3m,full,131,0.0596,1.88,52.7,15.39,16.4,11.07,4.32,False
REAL8,MADIST200,1m,full,135,0.0467,1.3,48.1,14.02,17.18,8.22,5.8,False
REAL8,MADIST200,3m,full,133,0.0313,0.9,51.1,13.51,16.52,11.29,2.22,False
REAL8,ACCEL,1m,full,127,0.0557,1.44,56.7,21.02,13.11,11.68,9.34,True
REAL8,ACCEL,3m,full,125,0.0796,1.96,57.6,20.28,14.53,12.31,7.97,True
SYNTH8,ABSMOM63,1m,full,136,0.0966,2.74,61.0,32.51,18.3,16.98,15.53,True
SYNTH8,ABSMOM63,3m,full,134,0.1169,3.21,64.2,30.45,20.84,19.35,11.1,True
SYNTH8,ABSMOM126,1m,full,133,0.0906,2.56,60.2,30.49,20.48,16.2,14.29,True
SYNTH8,ABSMOM126,3m,full,131,0.1065,3.04,62.6,30.9,21.19,19.27,11.63,True
SYNTH8,ABSMOM252,1m,full,127,0.0622,1.62,58.3,28.82,22.14,21.84,6.99,True
SYNTH8,ABSMOM252,3m,full,125,0.0457,1.26,56.0,27.4,26.16,23.06,4.34,True
SYNTH8,MOMSKIP126,1m,full,133,0.0521,1.47,52.6,26.19,22.73,19.29,6.9,True
SYNTH8,MOMSKIP126,3m,full,131,0.0731,2.1,55.7,26.57,25.02,20.02,6.55,True
SYNTH8,RISKADJ63,1m,full,136,0.098,2.89,60.3,30.62,19.46,18.09,12.53,True
SYNTH8,RISKADJ63,3m,full,134,0.1157,3.51,61.2,29.54,20.38,21.42,8.12,False
SYNTH8,RISKADJ126,1m,full,133,0.0675,1.92,57.9,27.58,21.5,19.04,8.54,True
SYNTH8,RISKADJ126,3m,full,131,0.0785,2.35,58.8,27.26,22.19,23.22,4.04,False
SYNTH8,MADIST200,1m,full,135,0.0968,2.61,57.8,30.63,21.34,14.65,15.98,True
SYNTH8,MADIST200,3m,full,133,0.1126,3.11,65.4,28.85,23.05,18.25,10.6,True
SYNTH8,ACCEL,1m,full,127,0.0375,1.02,53.5,27.88,23.65,20.98,6.91,True
SYNTH8,ACCEL,3m,full,125,0.1061,2.86,59.2,30.79,22.72,23.13,7.66,False
