series,year,ret,dd
R147_SECROT_off2,2020,-5.78,-59.65
R147_SECROT_off2,2021,19.5,-30.51
R147_SECROT_off2,2022,2.56,-34.43
R147_SECROT_off2,2023,18.47,-29.77
R147_SECROT_off2,2024,29.09,-12.35
R147_SECROT_off2,2025,8.71,-16.39
R147_SECROT_off2,2026,-1.63,-15.44
R147_SECROT_off3,2016,27.53,-13.1
R147_SECROT_off3,2017,21.13,-11.28
R147_SECROT_off3,2018,-8.84,-20.23
R147_SECROT_off3,2019,-5.05,-26.59
R147_SECROT_off3,2020,-6.39,-55.98
R147_SECROT_off3,2021,18.44,-31.31
R147_SECROT_off3,2022,2.57,-30.29
R147_SECROT_off3,2023,21.55,-25.03
R147_SECROT_off3,2024,33.66,-11.04
R147_SECROT_off3,2025,1.55,-16.88
R147_SECROT_off3,2026,3.28,-15.5
EW_ALL_off0,2016,14.89,-11.6
EW_ALL_off0,2017,34.41,-7.71
EW_ALL_off0,2018,-7.06,-17.05
EW_ALL_off0,2019,1.83,-20.26
EW_ALL_off0,2020,15.05,-43.23
EW_ALL_off0,2021,35.75,-11.62
EW_ALL_off0,2022,8.36,-19.33
EW_ALL_off0,2023,32.49,-12.35
EW_ALL_off0,2024,16.19,-11.16
EW_ALL_off0,2025,4.93,-21.79
EW_ALL_off0,2026,0.79,-16.04
EW_ALL_off1,2016,15.52,-11.6
EW_ALL_off1,2017,34.57,-7.71
EW_ALL_off1,2018,-7.17,-17.15
EW_ALL_off1,2019,1.92,-20.36
EW_ALL_off1,2020,14.58,-43.26
EW_ALL_off1,2021,35.45,-11.65
EW_ALL_off1,2022,8.45,-19.3
EW_ALL_off1,2023,32.43,-12.34
EW_ALL_off1,2024,16.38,-11.17
EW_ALL_off1,2025,4.95,-21.71
EW_ALL_off1,2026,0.91,-15.98
EW_ALL_off2,2016,17.72,-11.57
EW_ALL_off2,2017,34.42,-7.66
EW_ALL_off2,2018,-7.28,-17.25
EW_ALL_off2,2019,1.78,-20.55
EW_ALL_off2,2020,14.77,-43.42
EW_ALL_off2,2021,35.47,-11.58
EW_ALL_off2,2022,8.39,-19.31
EW_ALL_off2,2023,32.46,-12.29
EW_ALL_off2,2024,16.36,-11.17
EW_ALL_off2,2025,5.01,-21.65
EW_ALL_off2,2026,0.79,-16.02
EW_ALL_off3,2016,19.76,-11.55
EW_ALL_off3,2017,34.49,-7.64
EW_ALL_off3,2018,-7.29,-17.29
EW_ALL_off3,2019,1.71,-20.61
EW_ALL_off3,2020,14.84,-43.52
EW_ALL_off3,2021,35.25,-11.57
EW_ALL_off3,2022,8.3,-19.36
EW_ALL_off3,2023,32.57,-12.31
EW_ALL_off3,2024,16.47,-11.16
EW_ALL_off3,2025,4.96,-21.67
EW_ALL_off3,2026,0.59,-16.01
BRANCHB_off0,2016,6.7,-19.91
BRANCHB_off0,2017,56.0,-13.97
BRANCHB_off0,2018,-9.23,-23.79
BRANCHB_off0,2019,11.76,-24.57
BRANCHB_off0,2020,53.98,-29.86
BRANCHB_off0,2021,227.17,-9.93
BRANCHB_off0,2022,-8.81,-41.98
BRANCHB_off0,2023,129.45,-29.99
BRANCHB_off0,2024,-3.08,-26.28
BRANCHB_off0,2025,13.44,-29.87
BRANCHB_off0,2026,-4.11,-16.0
NOSECT_off0,2016,19.35,-21.66
NOSECT_off0,2017,90.27,-16.1
NOSECT_off0,2018,-7.19,-26.8
NOSECT_off0,2019,22.72,-26.15
NOSECT_off0,2020,66.9,-31.8
NOSECT_off0,2021,77.99,-19.37
NOSECT_off0,2022,-11.45,-40.11
NOSECT_off0,2023,100.24,-32.07
NOSECT_off0,2024,14.44,-24.64
NOSECT_off0,2025,-17.57,-34.35
NOSECT_off0,2026,-8.09,-33.2
BRANCHB_off1,2016,11.56,-18.0
BRANCHB_off1,2017,60.9,-13.94
BRANCHB_off1,2018,-10.36,-24.3
BRANCHB_off1,2019,10.02,-22.12
BRANCHB_off1,2020,74.07,-28.9
BRANCHB_off1,2021,240.43,-9.56
BRANCHB_off1,2022,-4.44,-40.28
BRANCHB_off1,2023,112.18,-22.43
BRANCHB_off1,2024,-10.06,-30.2
BRANCHB_off1,2025,6.7,-33.54
BRANCHB_off1,2026,2.42,-24.65
NOSECT_off1,2016,19.68,-21.71
NOSECT_off1,2017,108.97,-14.79
NOSECT_off1,2018,-7.47,-24.85
NOSECT_off1,2019,29.93,-21.4
NOSECT_off1,2020,51.96,-31.82
NOSECT_off1,2021,170.53,-15.88
NOSECT_off1,2022,-4.74,-40.48
NOSECT_off1,2023,99.71,-27.36
NOSECT_off1,2024,14.84,-24.22
NOSECT_off1,2025,-17.92,-35.19
NOSECT_off1,2026,-1.8,-30.42
BRANCHB_off2,2016,11.37,-19.11
BRANCHB_off2,2017,57.01,-14.22
BRANCHB_off2,2018,-10.89,-24.84
BRANCHB_off2,2019,15.85,-22.73
BRANCHB_off2,2020,50.1,-31.62
BRANCHB_off2,2021,244.65,-9.6
BRANCHB_off2,2022,-3.38,-38.22
BRANCHB_off2,2023,110.51,-23.6
BRANCHB_off2,2024,-7.49,-30.56
BRANCHB_off2,2025,6.85,-35.9
BRANCHB_off2,2026,-0.7,-24.18
NOSECT_off2,2016,32.11,-18.71
NOSECT_off2,2017,99.11,-11.22
NOSECT_off2,2018,-7.65,-25.69
NOSECT_off2,2019,42.86,-22.98
NOSECT_off2,2020,43.11,-32.4
NOSECT_off2,2021,79.74,-21.32
NOSECT_off2,2022,-6.11,-42.65
NOSECT_off2,2023,104.01,-31.61
NOSECT_off2,2024,11.24,-24.45
NOSECT_off2,2025,-6.0,-32.74
NOSECT_off2,2026,1.4,-22.88
BRANCHB_off3,2016,12.14,-18.26
BRANCHB_off3,2017,58.79,-11.69
BRANCHB_off3,2018,-10.84,-27.0
BRANCHB_off3,2019,20.46,-25.14
BRANCHB_off3,2020,47.64,-31.47
BRANCHB_off3,2021,217.07,-9.68
BRANCHB_off3,2022,2.1,-38.45
BRANCHB_off3,2023,103.8,-32.18
BRANCHB_off3,2024,-9.42,-26.8
BRANCHB_off3,2025,0.12,-37.83
BRANCHB_off3,2026,7.17,-26.3
NOSECT_off3,2016,21.76,-21.54
NOSECT_off3,2017,89.4,-14.79
NOSECT_off3,2018,-6.78,-25.54
NOSECT_off3,2019,43.51,-25.05
NOSECT_off3,2020,39.34,-33.11
NOSECT_off3,2021,134.66,-15.81
NOSECT_off3,2022,3.57,-38.44
NOSECT_off3,2023,78.88,-25.22
NOSECT_off3,2024,16.94,-21.72
NOSECT_off3,2025,-9.88,-30.67
NOSECT_off3,2026,3.58,-25.24
