src,K,slots,stocksig,clock,offset,cagr,maxdd,calmar,sharpe,vol,turnover_yr,exposure
synth20,2,10,mom126,M,0,21.265,-41.5,0.512,0.642,29.689,48.27,1.006
synth20,2,10,mom126,M,1,18.388,-49.147,0.374,0.558,29.824,44.32,1.003
synth20,2,10,mom126,M,2,16.382,-45.413,0.361,0.501,29.724,34.71,1.003
synth20,2,10,mom126,M,3,20.072,-40.575,0.495,0.606,29.854,37.11,1.003
synth20,2,10,mom126,Q,0,29.004,-44.48,0.652,0.829,31.126,42.1,1.016
synth20,2,10,mom126,Q,1,24.203,-49.717,0.487,0.718,30.106,31.48,1.004
synth20,2,10,mom126,Q,2,22.355,-48.593,0.46,0.666,30.217,26.73,1.004
synth20,2,10,mom126,Q,3,29.807,-43.964,0.678,0.826,32.401,33.83,1.004
synth20,2,10,momskip126,M,0,22.808,-41.125,0.555,0.689,29.388,51.78,1.006
synth20,2,10,momskip126,M,1,20.588,-47.283,0.435,0.625,29.436,45.67,1.003
synth20,2,10,momskip126,M,2,19.492,-47.829,0.408,0.595,29.266,44.66,1.003
synth20,2,10,momskip126,M,3,20.769,-40.131,0.518,0.632,29.285,42.52,1.003
synth20,2,10,momskip126,Q,0,28.39,-45.428,0.625,0.834,29.901,40.33,1.015
synth20,2,10,momskip126,Q,1,22.422,-53.704,0.418,0.687,28.771,28.37,1.004
synth20,2,10,momskip126,Q,2,22.746,-53.101,0.428,0.662,31.307,29.38,1.004
synth20,2,10,momskip126,Q,3,25.591,-46.858,0.546,0.733,31.557,30.28,1.004
synth20,2,10,riskadj126,M,0,18.653,-39.918,0.467,0.593,27.28,43.2,1.006
synth20,2,10,riskadj126,M,1,16.437,-45.144,0.364,0.525,26.953,42.73,1.003
synth20,2,10,riskadj126,M,2,13.287,-48.528,0.274,0.423,26.754,34.54,1.003
synth20,2,10,riskadj126,M,3,17.161,-38.773,0.443,0.535,28.301,36.56,1.003
synth20,2,10,riskadj126,Q,0,26.624,-40.542,0.657,0.753,31.974,36.81,1.015
synth20,2,10,riskadj126,Q,1,22.045,-49.623,0.444,0.68,28.427,28.62,1.004
synth20,2,10,riskadj126,Q,2,21.258,-49.395,0.43,0.655,28.599,25.98,1.004
synth20,2,10,riskadj126,Q,3,26.135,-44.114,0.592,0.749,31.358,28.36,1.004
synth20,2,10,disthigh252,M,0,12.421,-46.989,0.264,0.384,28.898,34.97,1.006
synth20,2,10,disthigh252,M,1,13.358,-46.38,0.288,0.425,26.66,41.03,1.003
synth20,2,10,disthigh252,M,2,11.945,-44.886,0.266,0.379,26.358,33.37,1.003
synth20,2,10,disthigh252,M,3,17.606,-42.774,0.412,0.576,25.785,39.98,1.004
synth20,2,10,disthigh252,Q,0,19.984,-41.143,0.486,0.585,31.738,25.4,1.014
synth20,2,10,disthigh252,Q,1,19.932,-50.131,0.398,0.602,29.806,26.03,1.004
synth20,2,10,disthigh252,Q,2,16.112,-50.662,0.318,0.486,30.558,18.99,1.004
synth20,2,10,disthigh252,Q,3,21.341,-44.717,0.477,0.639,30.014,23.38,1.005
synth20,2,15,mom126,M,0,21.768,-41.593,0.523,0.683,27.702,42.87,1.006
synth20,2,15,mom126,M,1,19.493,-43.557,0.448,0.63,26.468,41.22,1.002
synth20,2,15,mom126,M,2,17.808,-43.108,0.413,0.563,27.533,35.21,1.003
synth20,2,15,mom126,M,3,22.621,-43.799,0.516,0.708,27.695,41.13,1.003
synth20,2,15,mom126,Q,0,24.948,-46.46,0.537,0.762,28.604,29.72,1.015
synth20,2,15,mom126,Q,1,22.37,-50.27,0.445,0.671,29.729,24.67,1.004
synth20,2,15,mom126,Q,2,22.886,-50.22,0.456,0.685,29.778,24.54,1.004
synth20,2,15,mom126,Q,3,28.86,-47.033,0.614,0.843,30.013,29.94,1.004
synth20,2,15,momskip126,M,0,20.788,-40.439,0.514,0.625,29.806,42.94,1.006
synth20,2,15,momskip126,M,1,17.772,-45.947,0.387,0.538,29.88,36.68,1.002
synth20,2,15,momskip126,M,2,15.949,-46.869,0.34,0.504,27.522,31.84,1.003
synth20,2,15,momskip126,M,3,18.623,-40.905,0.455,0.589,27.454,33.49,1.003
synth20,2,15,momskip126,Q,0,26.277,-42.203,0.623,0.804,28.346,33.58,1.015
synth20,2,15,momskip126,Q,1,20.888,-49.918,0.418,0.657,27.64,24.23,1.004
synth20,2,15,momskip126,Q,2,20.731,-49.975,0.415,0.629,29.382,23.75,1.004
synth20,2,15,momskip126,Q,3,26.542,-46.069,0.576,0.789,29.534,27.46,1.004
synth20,2,15,riskadj126,M,0,18.688,-41.87,0.446,0.61,25.985,37.44,1.005
synth20,2,15,riskadj126,M,1,17.458,-43.521,0.401,0.569,26.014,37.79,1.002
synth20,2,15,riskadj126,M,2,15.419,-43.458,0.355,0.502,25.824,31.73,1.003
synth20,2,15,riskadj126,M,3,18.643,-44.01,0.424,0.595,26.992,35.78,1.003
synth20,2,15,riskadj126,Q,0,24.327,-43.53,0.559,0.757,27.803,29.92,1.015
