symbol,timeframe,variant,direction,exit_policy,n_signals,mean_net_pts,std_net_pts,median_net_pts,p25_net_pts,p75_net_pts,mean_net_pct,std_net_pct,win_rate,avg_win_pct,avg_loss_pct,payoff_ratio,mean_mfe_pct,mean_mae_pct,capture_efficiency,sharpe_score,expectancy_pct
RELIANCE,15min,l_vm3.0_gap0.000_rsi40_60,long,T_NO,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,l_vm3.0_gap0.000_rsi40_60,long,T_ATR_SL_0.5,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,l_vm3.0_gap0.000_rsi40_60,long,T_ATR_SL_1.0,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,l_vm3.0_gap0.000_rsi40_60,long,T_CHANDELIER_1.0,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,l_vm3.0_gap0.000_rsi40_60,long,T_CHANDELIER_1.5,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,l_vm3.0_gap0.000_rsi40_60,long,T_CHANDELIER_2.0,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,l_vm3.0_gapoff_rsi40_60,long,T_NO,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,l_vm3.0_gapoff_rsi40_60,long,T_ATR_SL_0.5,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,l_vm3.0_gapoff_rsi40_60,long,T_ATR_SL_1.0,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,l_vm3.0_gapoff_rsi40_60,long,T_CHANDELIER_1.0,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,l_vm3.0_gapoff_rsi40_60,long,T_CHANDELIER_1.5,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,l_vm3.0_gapoff_rsi40_60,long,T_CHANDELIER_2.0,5,23.27,15.8016,16.6,12.65,35.5,0.016365,0.011158,100.0,1.6365,0.0,999.0,2.1531,0.3638,0.7601,1.46663,1.6365
RELIANCE,15min,s_vm3.0_gap0.003_norsi,short,T_HARD_SL,5,22.39,15.9861,29.85,14.8,32.5,0.015553,0.011151,80.0,2.0351,-0.3638,5.594,2.6654,0.6315,0.5835,1.11582,1.5553
RELIANCE,15min,s_vm3.0_gap0.005_norsi,short,T_HARD_SL,5,22.39,15.9861,29.85,14.8,32.5,0.015553,0.011151,80.0,2.0351,-0.3638,5.594,2.6654,0.6315,0.5835,1.11582,1.5553
RELIANCE,15min,s_vm3.0_gap0.000_norsi,short,T_HARD_SL,7,18.7071,14.7634,14.8,9.5,31.175,0.013028,0.010277,85.71,1.5806,-0.3638,4.345,2.1739,0.766,0.5993,1.08658,1.3028
RELIANCE,15min,s_vm3.0_gapoff_norsi,short,T_HARD_SL,7,18.7071,14.7634,14.8,9.5,31.175,0.013028,0.010277,85.71,1.5806,-0.3638,4.345,2.1739,0.766,0.5993,1.08658,1.3028
RELIANCE,5min,l_vm3.0_gap0.000_rsi40_60,long,T_NO,6,22.5167,17.036,16.95,12.8,34.6,0.015784,0.012118,83.33,1.9017,-0.0384,49.524,2.0628,0.504,0.7652,1.08546,1.5784
RELIANCE,5min,l_vm3.0_gap0.000_rsi40_60,long,T_ATR_SL_1.0,6,22.5167,17.036,16.95,12.8,34.6,0.015784,0.012118,83.33,1.9017,-0.0384,49.524,2.0628,0.504,0.7652,1.08546,1.5784
RELIANCE,5min,l_vm3.0_gap0.000_rsi40_60,long,T_CHANDELIER_1.0,6,22.5167,17.036,16.95,12.8,34.6,0.015784,0.012118,83.33,1.9017,-0.0384,49.524,2.0628,0.504,0.7652,1.08546,1.5784
RELIANCE,5min,l_vm3.0_gap0.000_rsi40_60,long,T_CHANDELIER_1.5,6,22.5167,17.036,16.95,12.8,34.6,0.015784,0.012118,83.33,1.9017,-0.0384,49.524,2.0628,0.504,0.7652,1.08546,1.5784
RELIANCE,5min,l_vm3.0_gap0.000_rsi40_60,long,T_CHANDELIER_2.0,6,22.5167,17.036,16.95,12.8,34.6,0.015784,0.012118,83.33,1.9017,-0.0384,49.524,2.0628,0.504,0.7652,1.08546,1.5784
RELIANCE,5min,l_vm3.0_gapoff_rsi40_60,long,T_NO,6,22.5167,17.036,16.95,12.8,34.6,0.015784,0.012118,83.33,1.9017,-0.0384,49.524,2.0628,0.504,0.7652,1.08546,1.5784
RELIANCE,5min,l_vm3.0_gapoff_rsi40_60,long,T_ATR_SL_1.0,6,22.5167,17.036,16.95,12.8,34.6,0.015784,0.012118,83.33,1.9017,-0.0384,49.524,2.0628,0.504,0.7652,1.08546,1.5784
