tn_leg,blend_cagr_med,blend_cagr_min,blend_cagr_max,blend_dd_med,blend_dd_worst,blend_calmar_med,corr_daily_med,corr_monthly_med
U200,27.15,26.68,28.05,-16.39,-16.69,1.65,0.409,0.546
UOA,30.4,29.94,31.32,-20.59,-21.9,1.47,0.41,0.514
overlap_UOA_vs_OA,20.0,,,50.0,,,,
