label,mode,offset,tax,rt,cash_y,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar,fills,donch_exits,gate_events,avg_inv,secs
U_top200_off0_tax0,top200,0,0,0.003,0.065,23.41,-20.86,1.34,1.12,25.26,-17.1,1.46,1.48,19.25,-16.39,1.21,1.17,32.87,-16.47,1.65,2.0,159,723,42,0.43,0.7
U_top200_off0_tax1,top200,0,1,0.003,0.065,19.48,-23.67,1.13,0.82,20.9,-23.67,1.22,0.88,15.28,-23.02,0.96,0.66,27.3,-18.37,1.41,1.49,159,723,42,0.43,0.1
U_top200_off1_tax0,top200,1,0,0.003,0.065,28.02,-20.71,1.54,1.35,29.57,-20.71,1.64,1.43,21.65,-14.35,1.31,1.51,37.74,-20.71,1.85,1.82,158,719,42,0.43,0.1
U_top200_off1_tax1,top200,1,1,0.003,0.065,23.35,-24.65,1.29,0.95,24.59,-24.65,1.37,1.0,17.52,-21.43,1.06,0.82,31.51,-24.65,1.56,1.28,158,719,42,0.44,0.1
U_top200_off2_tax0,top200,2,0,0.003,0.065,28.06,-21.23,1.54,1.32,30.09,-21.23,1.66,1.42,23.78,-14.74,1.39,1.61,36.21,-21.23,1.79,1.71,156,723,42,0.42,0.0
U_top200_off2_tax1,top200,2,1,0.003,0.065,23.44,-23.74,1.29,0.99,25.07,-23.74,1.39,1.06,19.17,-23.1,1.11,0.83,30.38,-22.72,1.53,1.34,156,723,42,0.42,0.1
U_top200_off3_tax0,top200,3,0,0.003,0.065,25.76,-18.78,1.44,1.37,27.97,-18.78,1.59,1.49,16.52,-17.86,1.02,0.92,37.92,-17.86,1.9,2.12,161,742,42,0.43,0.1
U_top200_off3_tax1,top200,3,1,0.003,0.065,21.41,-25.34,1.2,0.84,23.35,-25.34,1.33,0.92,13.02,-24.5,0.82,0.53,31.76,-18.18,1.61,1.75,161,742,42,0.43,0.1
U_top200_off4_tax0,top200,4,0,0.003,0.065,24.63,-19.09,1.39,1.29,26.32,-19.09,1.51,1.38,14.38,-19.09,0.92,0.75,39.94,-17.58,1.95,2.27,164,744,42,0.43,0.1
U_top200_off4_tax1,top200,4,1,0.003,0.065,20.46,-24.98,1.17,0.82,21.91,-24.98,1.27,0.88,11.15,-24.98,0.73,0.45,33.32,-18.17,1.64,1.83,164,744,42,0.43,0.1
U_top200_off5_tax0,top200,5,0,0.003,0.065,24.87,-20.79,1.39,1.2,26.85,-20.79,1.52,1.29,15.08,-17.99,0.97,0.84,37.94,-16.01,1.84,2.37,163,735,42,0.43,0.0
U_top200_off5_tax1,top200,5,1,0.003,0.065,20.66,-25.68,1.17,0.8,22.43,-25.68,1.28,0.87,11.91,-23.06,0.78,0.52,31.57,-19.14,1.55,1.65,163,735,42,0.43,0.1
U_top200_off6_tax0,top200,6,0,0.003,0.065,24.32,-16.98,1.36,1.43,24.42,-14.81,1.39,1.65,16.33,-12.8,1.06,1.28,32.63,-14.81,1.63,2.2,163,736,43,0.43,0.0
U_top200_off6_tax1,top200,6,1,0.003,0.065,20.35,-19.27,1.15,1.06,20.52,-18.15,1.18,1.13,13.54,-18.15,0.89,0.75,27.29,-17.7,1.38,1.54,163,736,43,0.43,0.1
U_top200_off7_tax0,top200,7,0,0.003,0.065,22.47,-18.8,1.27,1.2,22.81,-18.8,1.32,1.21,16.13,-18.8,1.05,0.86,32.54,-17.92,1.63,1.82,163,749,44,0.42,0.0
U_top200_off7_tax1,top200,7,1,0.003,0.065,18.85,-23.7,1.08,0.8,19.18,-23.7,1.12,0.81,13.1,-23.7,0.86,0.55,27.25,-21.94,1.38,1.24,163,749,44,0.43,0.1
U_top200_off8_tax0,top200,8,0,0.003,0.065,19.61,-23.04,1.14,0.85,19.95,-20.0,1.19,1.0,18.38,-16.73,1.18,1.1,23.46,-20.0,1.25,1.17,165,753,44,0.42,0.0
U_top200_off8_tax1,top200,8,1,0.003,0.065,16.27,-25.25,0.95,0.64,16.59,-25.25,1.0,0.66,15.1,-21.85,0.98,0.69,19.46,-25.25,1.06,0.77,165,753,44,0.42,0.1
U_top200_off9_tax0,top200,9,0,0.003,0.065,19.08,-23.31,1.11,0.82,19.42,-23.05,1.16,0.84,14.32,-23.05,0.94,0.62,26.17,-17.43,1.38,1.5,168,763,44,0.43,0.0
U_top200_off9_tax1,top200,9,1,0.003,0.065,15.76,-27.04,0.93,0.58,16.01,-27.04,0.97,0.59,11.73,-27.04,0.78,0.43,21.66,-23.03,1.16,0.94,168,763,44,0.43,0.1
U_top200_off10_tax0,top200,10,0,0.003,0.065,22.36,-24.4,1.25,0.92,22.53,-23.83,1.3,0.95,16.74,-23.83,1.07,0.7,26.32,-17.15,1.4,1.53,166,754,42,0.44,0.1
U_top200_off10_tax1,top200,10,1,0.003,0.065,18.53,-28.34,1.05,0.65,18.61,-28.34,1.09,0.66,13.71,-28.34,0.89,0.48,21.68,-20.52,1.17,1.06,166,754,42,0.44,0.1
U_top200_off11_tax0,top200,11,0,0.003,0.065,18.99,-22.66,1.1,0.84,18.15,-22.66,1.09,0.8,17.23,-21.99,1.12,0.78,21.02,-22.66,1.14,0.93,168,753,43,0.44,0.0
U_top200_off11_tax1,top200,11,1,0.003,0.065,15.75,-27.37,0.93,0.58,14.94,-27.37,0.91,0.55,14.24,-27.37,0.93,0.52,17.32,-26.99,0.95,0.64,168,753,43,0.44,0.1
