date,top200,top500,tvfloor
2006,8.3,14.3,12.3
2007,55.8,216.5,77.1
2008,-12.8,-19.2,-13.4
2009,53.8,33.5,71.2
2010,7.6,10.5,-1.0
2011,-4.1,2.2,-3.7
2012,20.7,56.1,27.1
2013,6.4,14.7,16.3
2014,47.3,65.4,57.5
2015,-6.1,1.5,-7.7
2016,27.0,45.5,9.3
2017,56.1,55.7,79.5
2018,-4.4,-8.2,-11.6
2019,-4.9,1.2,3.1
2020,64.0,134.3,120.6
2021,62.9,32.3,141.3
2022,7.4,10.3,-6.9
2023,34.7,26.7,42.3
2024,9.9,-3.3,7.8
2025,10.7,15.4,0.5
2026,7.4,8.3,20.5
