variant,today_narrow,yesterday_ctx,wide_thresh,narrow_thresh,period,n_sessions,mean_per_day,median_per_day,p10,p90,max_per_day,total_setup_events
t0.0030_ctxW_w0.0050,0.003,W,0.005,0.005,full,5907,74.0094802776367,60.0,7.0,154.0,659.0,437174.0
t0.0030_ctxW_w0.0050,0.003,W,0.005,0.005,recent,535,177.97196261682242,176.0,109.0,246.0,659.0,95215.0
t0.0030_ctxN_n0.0050,0.003,N,0.005,0.005,full,5597,27.412363766303375,18.0,1.0,76.0,806.0,153427.0
t0.0030_ctxN_n0.0050,0.003,N,0.005,0.005,recent,528,34.384469696969695,34.0,11.0,47.0,806.0,18155.0
t0.0030_ctxW_OR_N_w0.0050_n0.0050,0.003,W_OR_N,0.005,0.005,full,5918,95.33795201081446,76.0,8.0,199.0,880.0,564210.0
t0.0030_ctxW_OR_N_w0.0050_n0.0050,0.003,W_OR_N,0.005,0.005,recent,535,203.31028037383177,201.0,131.0,271.0,880.0,108771.0
t0.0030_ctxW_w0.0065,0.003,W,0.0065,0.007,full,5839,55.743106696352115,45.0,7.0,113.0,568.0,325484.0
t0.0030_ctxW_w0.0065,0.003,W,0.0065,0.007,recent,532,131.84774436090225,125.0,78.0,191.0,568.0,70143.0
t0.0030_ctxN_n0.0070,0.003,N,0.0065,0.007,full,5628,28.95646766169154,20.0,1.0,78.0,807.0,162967.0
t0.0030_ctxN_n0.0070,0.003,N,0.0065,0.007,recent,532,39.4078947368421,38.0,17.0,51.0,807.0,20965.0
t0.0030_ctxW_OR_N_w0.0065_n0.0070,0.003,W_OR_N,0.0065,0.007,full,5865,79.05251491901109,62.0,7.0,167.0,853.0,463643.0
t0.0030_ctxW_OR_N_w0.0065_n0.0070,0.003,W_OR_N,0.0065,0.007,recent,534,163.21161048689137,159.0,108.0,223.7,853.0,87155.0
t0.0030_ctxW_w0.0080,0.003,W,0.008,0.009,full,5762,41.96025685525859,34.0,7.0,83.0,487.0,241775.0
