year,QS baseline_ret,QS baseline_dd,QS best (W1 fit)_ret,QS best (W1 fit)_dd,Base Age_ret,Base Age_dd,Base Age + b7 overlay_ret,Base Age + b7 overlay_dd,True North_ret,True North_dd,TN+BA pair_ret,TN+BA pair_dd,NIFTYBEES_ret,NIFTYBEES_dd,NIFTY50_ret,NIFTY50_dd,NIFTYMIDCAP150_ret,NIFTYMIDCAP150_dd,NIFTYSMLCAP250_ret,NIFTYSMLCAP250_dd,best_ret,least_dd,best_overall
2018,-12.2,-18.7,-13.1,-22.7,-10.2,-16.3,-0.6,-2.0,-5.7,-9.6,-8.2,-12.4,-3.8,-14.1,-4.3,-14.6,-5.1,-19.4,-11.0,-21.6,Base Age + b7 overlay,Base Age + b7 overlay,Base Age + b7 overlay
2019,24.3,-16.2,26.3,-19.0,30.1,-16.6,16.0,-4.9,1.1,-11.6,14.9,-12.5,13.6,-10.5,12.0,-11.4,-0.3,-21.0,-8.3,-29.9,Base Age,Base Age + b7 overlay,Base Age
2020,39.8,-33.4,38.8,-30.0,48.8,-15.5,26.4,-12.7,58.4,-12.3,53.8,-11.4,15.4,-36.3,14.9,-38.4,24.4,-40.8,25.1,-51.8,True North,TN+BA pair,True North
2021,87.2,-14.0,89.1,-16.7,83.7,-10.9,18.3,-10.0,57.9,-12.4,70.1,-7.2,26.0,-9.5,24.1,-10.1,46.8,-10.5,61.9,-9.3,QS best (W1 fit),TN+BA pair,QS baseline
2022,-19.1,-33.2,4.1,-28.1,-2.5,-26.6,-10.6,-20.0,6.0,-16.2,2.4,-17.3,5.5,-16.1,4.3,-17.2,3.0,-21.6,-3.6,-26.9,True North,True North,True North
2023,59.4,-28.0,45.2,-23.0,51.3,-17.5,63.0,-17.6,47.9,-12.2,50.2,-10.6,21.0,-9.7,20.0,-9.9,43.7,-10.4,48.1,-18.7,Base Age + b7 overlay,TN+BA pair,Base Age + b7 overlay
2024,35.9,-14.0,17.7,-16.5,5.6,-24.8,4.2,-22.4,25.1,-18.6,15.0,-19.9,10.4,-10.5,8.8,-10.9,23.8,-11.0,26.4,-12.5,QS baseline,QS baseline,QS baseline
2025,-16.1,-34.9,-17.8,-40.3,1.9,-16.6,-0.1,-19.9,2.3,-19.7,3.4,-11.5,11.7,-15.2,10.5,-15.8,5.4,-21.1,-6.0,-26.1,TN+BA pair,TN+BA pair,TN+BA pair
2026,14.6,-34.4,20.3,-38.4,34.6,-20.0,34.8,-14.3,4.7,-14.9,18.1,-11.8,-9.5,-14.8,-10.1,-15.2,2.8,-14.0,10.5,-23.6,Base Age + b7 overlay,TN+BA pair,Base Age + b7 overlay
