cell,mask,missing,window,n,d_cagr_med,cagr_wins,d_maxdd_med,dd_wins,d_calmar_med,calmar_wins
b7_g10_qual_mc|fail|full18,b7_g10_qual_mc,fail,full18,30,-9.71,0,4.18,30,-0.248,0
b7_g10_qual_mc|fail|W1,b7_g10_qual_mc,fail,W1,30,-16.16,0,8.41,30,-0.407,0
b7_g10_qual_mc|fail|W2,b7_g10_qual_mc,fail,W2,30,-3.58,2,2.38,28,-0.037,9
b7_g10_qual_mc|fail|long,b7_g10_qual_mc,fail,long,30,-11.68,0,12.41,30,-0.189,0
b7_g10_qual_mc|pass|full18,b7_g10_qual_mc,pass,full18,30,-10.09,0,4.46,30,-0.245,0
b7_g10_qual_mc|pass|W1,b7_g10_qual_mc,pass,W1,30,-15.51,0,9.04,30,-0.347,0
b7_g10_qual_mc|pass|W2,b7_g10_qual_mc,pass,W2,30,-5.0,1,2.45,29,-0.089,6
b7_g10_qual_mc|pass|long,b7_g10_qual_mc,pass,long,30,-4.77,0,2.32,16,-0.109,0
b3_qual_mc|fail|full18,b3_qual_mc,fail,full18,30,-11.28,0,-3.12,3,-0.478,0
b3_qual_mc|fail|W1,b3_qual_mc,fail,W1,30,-16.02,0,-0.45,9,-0.61,0
b3_qual_mc|fail|W2,b3_qual_mc,fail,W2,30,-6.92,0,5.08,30,-0.08,5
b3_qual_mc|fail|long,b3_qual_mc,fail,long,30,-12.28,0,5.16,30,-0.316,0
b3_qual_mc|pass|full18,b3_qual_mc,pass,full18,30,-10.77,0,-3.24,1,-0.473,0
b3_qual_mc|pass|W1,b3_qual_mc,pass,W1,30,-16.54,0,-0.79,8,-0.634,0
b3_qual_mc|pass|W2,b3_qual_mc,pass,W2,30,-4.95,0,6.1,30,0.062,20
b3_qual_mc|pass|long,b3_qual_mc,pass,long,30,-5.01,0,2.32,16,-0.118,0
growth_only|fail|full18,growth_only,fail,full18,30,-5.8,0,6.07,30,0.014,19
growth_only|fail|W1,growth_only,fail,W1,30,-10.07,0,7.16,30,-0.134,0
growth_only|fail|W2,growth_only,fail,W2,30,-1.72,6,4.27,30,0.142,25
growth_only|fail|long,growth_only,fail,long,30,-10.36,0,14.3,30,-0.086,0
growth_only|pass|full18,growth_only,pass,full18,30,-4.84,0,5.62,30,0.039,22
growth_only|pass|W1,growth_only,pass,W1,30,-10.36,0,7.74,30,-0.121,0
growth_only|pass|W2,growth_only,pass,W2,30,0.41,16,3.82,30,0.208,28
growth_only|pass|long,growth_only,pass,long,30,-2.9,0,2.32,16,-0.051,1
arun_strict|fail|full18,arun_strict,fail,full18,30,-17.77,0,16.47,30,-0.127,0
arun_strict|fail|W1,arun_strict,fail,W1,30,-19.09,0,23.13,30,1.458,30
arun_strict|fail|W2,arun_strict,fail,W2,30,-16.54,0,14.67,30,-0.13,3
arun_strict|fail|long,arun_strict,fail,long,30,-14.56,0,24.7,30,0.045,27
arun_strict|pass|full18,arun_strict,pass,full18,30,-15.5,0,13.7,30,-0.139,0
arun_strict|pass|W1,arun_strict,pass,W1,30,-18.68,0,22.8,30,1.353,30
arun_strict|pass|W2,arun_strict,pass,W2,30,-12.49,0,11.9,30,-0.007,13
arun_strict|pass|long,arun_strict,pass,long,30,-6.79,0,2.32,16,-0.171,0
