cell,mask,missing,window,n_events,seeds,cagr_med,cagr_worst,cagr_best,maxdd_med,maxdd_worst,calmar_med,sharpe_med,trades,trades_per_yr,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,avg_pct_invested
control|-|full18,control,-,full18,3619,30,26.57,23.07,28.36,-26.57,-27.78,0.999,1.368,340.0,41.9,50.05,35.92,-11.58,12.12,9.0,86.97
control|-|W1,control,-,W1,3619,30,27.7,25.22,29.11,-26.57,-27.78,1.042,1.445,146.5,37.45,52.1,38.63,-11.37,14.62,9.0,81.24
control|-|W2,control,-,W2,3619,30,25.52,20.76,28.15,-24.77,-26.33,1.019,1.3,193.5,46.1,48.3,33.58,-11.68,10.23,8.0,92.31
control|-|long,control,-,long,3619,30,21.26,19.87,21.89,-34.8,-35.91,0.618,1.203,687.0,31.7,49.2,37.23,-11.56,12.43,14.0,72.88
b7_g10_qual_mc|fail|full18,b7_g10_qual_mc,fail,full18,468,30,16.79,16.78,16.99,-22.39,-22.39,0.75,1.183,243.0,30.0,48.1,32.37,-11.23,9.77,10.0,63.25
b7_g10_qual_mc|fail|W1,b7_g10_qual_mc,fail,W1,468,30,11.54,11.54,11.54,-18.16,-18.16,0.635,1.061,86.0,22.0,48.8,31.58,-11.89,9.34,5.0,47.91
b7_g10_qual_mc|fail|W2,b7_g10_qual_mc,fail,W2,468,30,21.93,21.91,22.32,-22.39,-22.39,0.98,1.297,157.0,37.4,47.8,32.82,-10.87,10.0,6.0,77.49
b7_g10_qual_mc|fail|long,b7_g10_qual_mc,fail,long,468,30,9.57,9.57,9.64,-22.39,-22.39,0.428,1.111,245.0,11.3,48.2,32.2,-11.26,9.67,10.0,23.76
b7_g10_qual_mc|pass|full18,b7_g10_qual_mc,pass,full18,1148,30,16.38,16.35,16.61,-21.72,-22.39,0.754,1.169,245.0,30.2,48.6,31.02,-10.94,9.38,10.0,63.57
b7_g10_qual_mc|pass|W1,b7_g10_qual_mc,pass,W1,1148,30,12.19,12.18,12.19,-17.53,-17.54,0.695,1.109,85.0,21.7,50.6,31.53,-12.1,9.97,5.0,47.95
b7_g10_qual_mc|pass|W2,b7_g10_qual_mc,pass,W2,1148,30,20.44,20.38,20.9,-21.72,-22.39,0.941,1.241,160.0,38.1,47.5,30.73,-10.36,9.07,6.0,78.09
b7_g10_qual_mc|pass|long,b7_g10_qual_mc,pass,long,1148,30,16.46,16.38,16.66,-32.48,-32.52,0.506,1.159,478.0,22.0,50.1,36.34,-11.04,12.63,14.0,53.29
b3_qual_mc|fail|full18,b3_qual_mc,fail,full18,771,30,15.02,14.59,15.76,-30.69,-30.69,0.491,1.005,288.0,35.5,44.9,30.46,-10.38,7.97,9.0,76.01
b3_qual_mc|fail|W1,b3_qual_mc,fail,W1,771,30,11.68,11.68,11.68,-27.02,-27.02,0.432,0.865,117.0,29.9,41.9,34.68,-10.42,8.46,9.0,66.23
b3_qual_mc|fail|W2,b3_qual_mc,fail,W2,771,30,18.2,17.34,19.66,-18.68,-20.64,0.985,1.121,171.0,40.7,47.1,27.89,-10.34,7.63,9.0,85.08
b3_qual_mc|fail|long,b3_qual_mc,fail,long,771,30,8.95,8.79,9.21,-30.69,-30.69,0.292,0.973,290.0,13.4,45.0,30.31,-10.4,7.9,9.0,28.53
b3_qual_mc|pass|full18,b3_qual_mc,pass,full18,1451,30,15.7,15.34,16.12,-31.02,-31.03,0.506,1.038,290.0,35.7,45.8,30.13,-10.26,8.22,9.0,76.49
b3_qual_mc|pass|W1,b3_qual_mc,pass,W1,1451,30,11.14,11.14,11.15,-27.36,-27.36,0.407,0.828,118.0,30.2,41.5,34.4,-10.64,8.07,9.0,66.17
b3_qual_mc|pass|W2,b3_qual_mc,pass,W2,1451,30,20.08,19.36,20.92,-18.45,-18.93,1.089,1.207,172.0,41.0,48.7,27.62,-9.98,8.33,9.0,86.07
b3_qual_mc|pass|long,b3_qual_mc,pass,long,1451,30,16.2,15.99,16.47,-32.48,-32.52,0.499,1.11,523.0,24.1,48.45,35.54,-10.63,11.72,14.0,58.07
growth_only|fail|full18,growth_only,fail,full18,388,30,20.77,20.77,20.77,-20.5,-20.5,1.013,1.371,199.0,24.5,49.2,41.36,-12.13,14.21,11.0,53.91
growth_only|fail|W1,growth_only,fail,W1,388,30,17.62,17.62,17.62,-19.41,-19.41,0.908,1.514,53.0,13.5,54.7,50.46,-12.09,22.14,7.0,35.52
growth_only|fail|W2,growth_only,fail,W2,388,30,23.8,23.8,23.8,-20.5,-20.5,1.161,1.332,146.0,34.8,47.3,37.54,-12.14,11.34,7.0,70.97
growth_only|fail|long,growth_only,fail,long,388,30,10.9,10.9,10.9,-20.5,-20.5,0.532,1.203,202.0,9.3,49.5,40.7,-12.17,14.0,11.0,20.3
growth_only|pass|full18,growth_only,pass,full18,1068,30,21.6,21.59,21.81,-20.95,-20.95,1.031,1.409,201.0,24.8,50.2,40.8,-11.72,14.67,11.0,54.42
growth_only|pass|W1,growth_only,pass,W1,1068,30,17.33,17.33,17.34,-18.83,-18.83,0.921,1.485,54.0,13.8,53.7,50.0,-12.04,21.28,7.0,35.29
growth_only|pass|W2,growth_only,pass,W2,1068,30,25.72,25.7,26.15,-20.95,-20.95,1.228,1.412,147.0,35.0,49.0,37.09,-11.61,12.24,9.0,72.17
growth_only|pass|long,growth_only,pass,long,1068,30,18.35,18.24,18.52,-32.48,-32.52,0.565,1.248,435.0,20.1,51.0,41.08,-11.44,15.38,14.0,49.86
arun_strict|fail|full18,arun_strict,fail,full18,76,30,8.8,8.8,8.8,-10.1,-10.1,0.872,1.305,75.0,9.2,48.0,30.31,-11.2,8.73,7.0,18.8
arun_strict|fail|W1,arun_strict,fail,W1,76,30,8.61,8.61,8.61,-3.44,-3.44,2.5,2.496,6.0,1.5,66.7,74.46,-13.73,45.06,1.0,6.91
arun_strict|fail|W2,arun_strict,fail,W2,76,30,8.98,8.98,8.98,-10.1,-10.1,0.889,1.038,69.0,16.4,46.4,24.79,-11.06,5.57,7.0,29.84
arun_strict|fail|long,arun_strict,fail,long,76,30,6.7,6.7,6.7,-10.1,-10.1,0.663,1.605,76.0,3.5,48.7,29.81,-11.2,8.77,7.0,7.05
arun_strict|pass|full18,arun_strict,pass,full18,756,30,11.08,11.07,11.08,-12.87,-12.87,0.861,1.346,97.0,12.0,52.6,29.3,-10.39,10.48,7.0,24.89
arun_strict|pass|W1,arun_strict,pass,W1,756,30,9.01,9.01,9.02,-3.77,-3.77,2.392,2.396,8.0,2.0,75.0,55.47,-13.73,38.17,1.0,8.11
arun_strict|pass|W2,arun_strict,pass,W2,756,30,13.03,13.03,13.04,-12.87,-12.87,1.013,1.206,89.0,21.2,50.6,25.81,-10.24,7.99,7.0,40.46
arun_strict|pass|long,arun_strict,pass,long,756,30,14.43,14.35,14.55,-32.48,-32.52,0.444,1.168,329.0,15.2,52.1,37.85,-10.91,14.5,14.0,38.69
