label,start,end,entry,cadence,rank,slots,buffer,state,k,tv_floor,mask,mask_missing,exits,weights,index_gate,gate_action,fill,cost_bps,tax,cash_yield,max_position_pct,n_paths,path_kind,cagr_gross,cagr_net,cagr_net_tax,cagr_net_tax_min,cagr_net_tax_max,cagr_net_tax_worstpath,maxdd,maxdd_worst,calmar,sharpe,trades_per_yr,win_rate,avg_win_pct,avg_loss_pct,expectancy_net_pct,max_losing_streak,turnover_x_nav_yr,avg_pct_invested,capacity_ratio,n_trades,final_x,yearly
A0_QSbase_b7_noexit,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,26.8,24.59,21.19,17.44,23.26,17.44,-37.07,-43.08,0.58,0.77,61.4,46.3,27.87,-10.77,7.264,17,4.22,91.2,0.0069,498,4.75,"{""2018"": [-12.23, -18.73], ""2019"": [24.26, -16.2], ""2020"": [39.84, -33.38], ""2021"": [87.22, -13.98], ""2022"": [-19.06, -33.19], ""2023"": [59.36, -28.02], ""2024"": [35.95, -14.04], ""2025"": [-16.09, -34.91], ""2026"": [14.57, -34.42]}"
A0_QSbase_full,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,26.8,24.59,21.19,17.44,23.26,17.44,-37.07,-43.08,0.58,0.77,61.4,46.3,27.87,-10.77,7.264,17,4.22,91.2,0.0069,498,4.75,"{""2018"": [-12.23, -18.73], ""2019"": [24.26, -16.2], ""2020"": [39.84, -33.38], ""2021"": [87.22, -13.98], ""2022"": [-19.06, -33.19], ""2023"": [59.36, -28.02], ""2024"": [35.95, -14.04], ""2025"": [-16.09, -34.91], ""2026"": [14.57, -34.42]}"
A0_ctrl_full,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,29.17,24.85,21.24,15.0,29.57,15.0,-49.49,-53.34,0.43,0.7,89.5,43.2,29.24,-12.46,5.722,22,5.79,98.7,0.0111,725,4.77,"{""2018"": [-20.7, -28.01], ""2019"": [8.29, -29.59], ""2020"": [63.24, -38.76], ""2021"": [132.21, -18.92], ""2022"": [-25.62, -48.0], ""2023"": [54.84, -44.95], ""2024"": [57.62, -19.09], ""2025"": [-22.19, -38.32], ""2026"": [12.68, -46.91]}"
A0_QSbase_W1,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,20.11,20.11,20.11,13.4,25.18,13.4,-34.43,-38.14,0.61,0.75,49.2,42.3,37.44,-10.6,10.112,17,3.37,85.1,0.0032,192,2.05,"{""2018"": [-12.23, -18.73], ""2019"": [24.26, -16.2], ""2020"": [39.84, -33.38], ""2021"": [87.22, -13.98], ""2022"": [-26.56, -33.19]}"
A0_ctrl_W1,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,19.79,19.79,19.79,8.57,32.77,8.57,-48.3,-51.92,0.4,0.64,83.3,40.7,33.26,-12.57,6.161,18,5.37,97.8,0.0054,326,2.03,"{""2018"": [-20.7, -28.01], ""2019"": [8.29, -29.59], ""2020"": [63.24, -38.76], ""2021"": [132.21, -18.92], ""2022"": [-36.32, -48.0]}"
A0_QSbase_W2,2022-07-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,20.95,20.95,20.95,17.27,24.2,17.27,-35.54,-43.48,0.59,0.76,73.1,48.7,22.51,-10.6,5.408,16,4.53,97.3,0.0045,306,2.22,"{""2022"": [6.21, -13.21], ""2023"": [59.2, -12.04], ""2024"": [34.7, -13.98], ""2025"": [-16.86, -35.22], ""2026"": [15.59, -33.76]}"
A0_ctrl_W2,2022-07-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.05,21.05,21.05,13.97,27.19,13.97,-46.93,-52.11,0.42,0.69,95.8,43.8,26.47,-11.97,4.664,16,5.88,99.0,0.0072,402,2.23,"{""2022"": [7.29, -21.89], ""2023"": [59.05, -21.73], ""2024"": [55.55, -18.97], ""2025"": [-22.16, -38.33], ""2026"": [12.68, -46.92]}"
A1_st7_3,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,st_trail:7_3,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,17.47,17.47,17.47,13.05,21.28,13.05,-29.96,-32.02,0.6,0.8,72.6,37.7,25.12,-7.11,5.219,14,4.86,64.6,0.0022,284,1.88,"{""2018"": [-5.6, -10.05], ""2019"": [12.05, -11.62], ""2020"": [37.98, -15.16], ""2021"": [70.09, -12.25], ""2022"": [-22.81, -29.96]}"
A1_st7_3_ff,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,"st_trail:7_3,fund_fail",equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,17.47,17.47,17.47,13.05,21.28,13.05,-29.96,-32.02,0.6,0.8,72.6,37.7,25.12,-7.11,5.219,14,4.86,64.6,0.0022,284,1.88,"{""2018"": [-5.6, -10.05], ""2019"": [12.05, -11.62], ""2020"": [37.98, -15.16], ""2021"": [70.09, -12.25], ""2022"": [-22.81, -29.96]}"
A1_st10_3,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,st_trail:10_3,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,19.28,19.28,19.28,15.21,22.82,15.21,-29.06,-31.81,0.65,0.89,70.2,38.1,27.11,-7.14,5.762,15,4.72,65.1,0.0024,274,1.99,"{""2018"": [-5.53, -10.11], ""2019"": [14.78, -10.99], ""2020"": [40.81, -13.55], ""2021"": [73.09, -11.62], ""2022"": [-23.33, -29.06]}"
A1_st10_3_ff,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,"st_trail:10_3,fund_fail",equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,19.28,19.28,19.28,15.21,22.82,15.21,-29.06,-31.81,0.65,0.89,70.2,38.1,27.11,-7.14,5.762,15,4.72,65.1,0.0024,274,1.99,"{""2018"": [-5.53, -10.11], ""2019"": [14.78, -10.99], ""2020"": [40.81, -13.55], ""2021"": [73.09, -11.62], ""2022"": [-23.33, -29.06]}"
A1_st14_4,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,st_trail:14_4,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,18.47,18.47,18.47,14.85,20.06,14.85,-33.79,-38.48,0.56,0.81,59.3,39.6,31.07,-8.8,6.88,17,4.1,72.3,0.003,232,1.94,"{""2018"": [-9.05, -12.62], ""2019"": [19.87, -14.07], ""2020"": [41.54, -17.93], ""2021"": [72.98, -12.62], ""2022"": [-26.71, -33.78]}"
A1_st14_4_ff,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,"st_trail:14_4,fund_fail",equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,18.47,18.47,18.47,14.85,20.06,14.85,-33.79,-38.48,0.56,0.81,59.3,39.6,31.07,-8.8,6.88,17,4.1,72.3,0.003,232,1.94,"{""2018"": [-9.05, -12.62], ""2019"": [19.87, -14.07], ""2020"": [41.54, -17.93], ""2021"": [72.98, -12.62], ""2022"": [-26.71, -33.78]}"
A1_st20_3,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,st_trail:20_3,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,19.14,19.14,19.14,14.35,24.21,14.35,-28.15,-31.95,0.67,0.93,72.6,38.1,25.86,-6.79,5.551,16,4.85,63.6,0.0026,284,1.98,"{""2018"": [-5.44, -9.52], ""2019"": [14.18, -10.54], ""2020"": [41.25, -13.22], ""2021"": [74.34, -10.53], ""2022"": [-23.62, -28.16]}"
A1_st20_3_ff,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,"st_trail:20_3,fund_fail",equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,19.14,19.14,19.14,14.35,24.21,14.35,-28.15,-31.95,0.67,0.93,72.6,38.1,25.86,-6.79,5.551,15,4.85,63.6,0.0026,284,1.98,"{""2018"": [-5.44, -9.52], ""2019"": [14.18, -10.54], ""2020"": [41.25, -13.22], ""2021"": [74.34, -10.53], ""2022"": [-23.62, -28.16]}"
A1_ch22_2,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,chand:22_2,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,4.74,4.74,4.74,2.46,8.78,2.46,-13.78,-19.87,0.32,0.02,129.8,35.4,8.31,-4.02,0.295,17,8.72,34.0,0.0021,508,1.2,"{""2018"": [-2.46, -4.94], ""2019"": [9.34, -6.64], ""2020"": [8.41, -8.58], ""2021"": [10.57, -9.34], ""2022"": [-7.05, -13.14]}"
A1_ch22_2_ff,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,"chand:22_2,fund_fail",equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,4.74,4.74,4.74,2.46,8.78,2.46,-13.78,-19.87,0.32,0.02,129.8,35.4,8.31,-4.02,0.295,17,8.72,34.0,0.0021,508,1.2,"{""2018"": [-2.46, -4.94], ""2019"": [9.34, -6.64], ""2020"": [8.41, -8.58], ""2021"": [10.57, -9.34], ""2022"": [-7.05, -13.14]}"
A1_ch22_3,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,chand:22_3,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,14.46,14.46,14.46,10.33,17.59,10.33,-26.91,-30.71,0.52,0.68,90.1,35.9,18.01,-6.01,2.742,20,6.06,57.0,0.0026,352,1.7,"{""2018"": [-5.83, -9.07], ""2019"": [15.84, -9.37], ""2020"": [23.94, -12.67], ""2021"": [52.28, -11.79], ""2022"": [-19.49, -26.91]}"
A1_ch22_3_ff,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,"chand:22_3,fund_fail",equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,14.46,14.46,14.46,10.33,17.59,10.33,-26.91,-30.71,0.52,0.68,90.1,35.9,18.01,-6.01,2.742,20,6.06,57.0,0.0026,352,1.7,"{""2018"": [-5.83, -9.07], ""2019"": [15.84, -9.37], ""2020"": [23.94, -12.67], ""2021"": [52.28, -11.79], ""2022"": [-19.49, -26.91]}"
A1_ff_only,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,fund_fail,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,20.11,20.11,20.11,13.4,25.18,13.4,-34.43,-38.14,0.61,0.75,49.2,42.3,37.44,-10.6,10.112,16,3.37,85.1,0.0032,192,2.05,"{""2018"": [-12.23, -18.73], ""2019"": [24.26, -16.2], ""2020"": [39.84, -33.38], ""2021"": [87.22, -13.98], ""2022"": [-26.56, -33.19]}"
A2_rs_N8,2018-08-01,2022-06-30,rebalance,monthly,rs,8,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.8,21.8,21.8,17.19,29.01,17.19,-36.1,-43.75,0.6,0.72,31.3,44.5,35.85,-10.71,10.241,12,3.73,92.8,0.0056,122,2.16,"{""2018"": [-13.72, -22.79], ""2019"": [21.61, -19.05], ""2020"": [41.45, -33.09], ""2021"": [91.64, -16.41], ""2022"": [-24.59, -35.95]}"
A2_rs_N10,2018-08-01,2022-06-30,rebalance,monthly,rs,10,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.78,21.78,21.78,17.75,28.84,17.75,-35.16,-41.44,0.68,0.77,37.3,42.6,35.84,-10.38,10.529,12,3.68,91.1,0.0047,146,2.16,"{""2018"": [-12.55, -20.88], ""2019"": [23.19, -18.29], ""2020"": [38.99, -31.26], ""2021"": [94.03, -15.53], ""2022"": [-24.0, -34.7]}"
A2_rs_N15,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,20.11,20.11,20.11,13.4,25.18,13.4,-34.43,-38.14,0.61,0.75,49.2,42.3,37.44,-10.6,10.112,17,3.37,85.1,0.0032,192,2.05,"{""2018"": [-12.23, -18.73], ""2019"": [24.26, -16.2], ""2020"": [39.84, -33.38], ""2021"": [87.22, -13.98], ""2022"": [-26.56, -33.19]}"
