symbol,entry_date,exit_date,entry_px,exit_px,qty,reason,held_days,ret_net_pct
VAIBHAVGBL,2020-09-02,2021-06-02,349.6,834.9,3541,rebalance_out,273,137.62
AARTIDRUGS,2020-10-05,2020-11-03,821.0,661.45,1113,rebalance_out,29,-19.84
APLAPOLLO,2020-10-05,2021-10-04,298.8,859.0,5826,rebalance_out,364,186.05
MPHASIS,2020-11-03,2020-12-02,1279.4,1243.0,1018,rebalance_out,29,-3.33
THYROCARE,2020-11-03,2021-01-04,386.7,316.3,2274,rebalance_out,62,-18.61
TATAELXSI,2020-11-03,2021-08-03,1490.0,4220.05,1051,rebalance_out,273,181.81
IOLCP,2020-12-02,2021-02-02,147.26,130.21,10032,rebalance_out,62,-12.02
ALKYLAMINE,2020-12-02,2021-10-04,1597.95,3805.0,315,rebalance_out,306,136.93
ASTEC,2021-01-04,2021-02-02,1289.95,1052.45,794,rebalance_out,29,-18.82
ADFFOODS,2021-01-04,2021-08-03,123.97,172.07,9251,rebalance_out,211,38.11
KNRCON,2021-02-02,2021-03-02,206.95,209.8,3,rebalance_out,28,0.87
CHOLAFIN,2021-02-02,2021-07-02,447.05,509.9,3615,rebalance_out,150,13.49
DEEPAKNTR,2021-02-02,2021-08-03,981.35,2080.0,1630,rebalance_out,182,110.9
FILATEX,2021-02-02,2021-09-02,30.93,44.17,41809,rebalance_out,212,42.09
POLYMED,2021-04-05,2021-08-03,835.0,964.0,3123,rebalance_out,120,14.87
SONATSOFTW,2021-04-05,2021-08-03,196.3,298.3,5906,rebalance_out,120,51.2
DIXON,2021-06-02,2021-08-03,4110.0,4369.85,715,rebalance_out,62,5.79
NEWGEN,2021-07-02,2021-08-03,306.38,295.73,5996,rebalance_out,32,-3.96
RAJRATAN,2021-08-03,2021-09-02,517.84,396.79,4076,rebalance_out,30,-23.76
GPIL,2021-08-03,2021-09-02,83.65,56.4,22705,rebalance_out,30,-32.91
CDSL,2021-08-03,2021-09-02,714.4,597.5,3200,rebalance_out,30,-16.78
BALAMINES,2021-08-03,2021-11-02,3500.0,3344.0,985,rebalance_out,91,-4.93
MASTEK,2021-08-03,2021-11-02,2644.2,2805.0,1263,rebalance_out,91,5.55
PRINCEPIPE,2021-08-03,2022-01-04,687.96,700.4,5284,rebalance_out,154,1.3
LUXIND,2021-08-03,2022-01-04,4241.35,3720.0,536,rebalance_out,154,-12.73
PUNJABCHEM,2021-09-02,2021-10-04,1874.0,1600.0,822,rebalance_out,32,-15.05
HGINFRA,2021-09-02,2021-12-02,581.32,609.85,1,rebalance_out,91,4.38
PERSISTENT,2021-09-02,2022-03-03,1675.5,1983.5,1233,rebalance_out,182,17.79
TATAELXSI,2021-09-02,2022-05-04,4874.0,7748.0,619,rebalance_out,244,58.17
FILATEX,2021-10-04,2021-11-02,52.77,50.0,40996,rebalance_out,29,-5.72
MANALIPETC,2021-10-04,2021-12-02,130.0,110.0,20636,rebalance_out,59,-15.81
SHAREINDIA,2021-10-04,2022-03-03,141.0,219.0,18078,rebalance_out,150,54.54
MPHASIS,2021-11-02,2021-12-02,3202.0,2899.1,846,rebalance_out,30,-9.91
CDSL,2021-11-02,2022-03-03,700.0,712.5,3870,rebalance_out,121,1.28
TRIVENI,2021-11-02,2022-06-02,196.0,294.75,13528,rebalance_out,212,49.63
APLAPOLLO,2021-12-02,2022-01-04,927.8,950.0,1040,rebalance_out,33,1.88
RSYSTEMS,2021-12-02,2022-02-02,313.95,306.0,5693,rebalance_out,62,-3.02
POLYPLEX,2021-12-02,2022-07-04,1853.0,2248.0,1516,rebalance_out,214,20.71
KOPRAN,2022-01-04,2022-03-03,331.8,273.2,7566,rebalance_out,58,-18.07
