label,start,end,entry,cadence,rank,slots,buffer,state,k,tv_floor,mask,mask_missing,exits,weights,index_gate,gate_action,fill,cost_bps,tax,cash_yield,max_position_pct,n_paths,path_kind,cagr_gross,cagr_net,cagr_net_tax,cagr_net_tax_min,cagr_net_tax_max,cagr_net_tax_worstpath,maxdd,maxdd_worst,calmar,sharpe,trades_per_yr,win_rate,avg_win_pct,avg_loss_pct,expectancy_net_pct,max_losing_streak,turnover_x_nav_yr,avg_pct_invested,capacity_ratio,n_trades,final_x,yearly,name,window
QS_base|full,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,26.8,24.59,21.19,17.44,23.26,17.44,-37.07,-43.08,0.58,0.77,61.4,46.3,27.87,-10.77,7.264,17,4.22,91.2,0.0069,498,4.75,"{""2018"": [-12.23, -18.73], ""2019"": [24.26, -16.2], ""2020"": [39.84, -33.38], ""2021"": [87.22, -13.98], ""2022"": [-19.06, -33.19], ""2023"": [59.36, -28.02], ""2024"": [35.95, -14.04], ""2025"": [-16.09, -34.91], ""2026"": [14.57, -34.42]}",QS_base,full
QS_base|W1,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,24.94,23.1,20.11,13.4,25.18,13.4,-34.43,-38.14,0.61,0.75,49.2,42.3,37.44,-10.6,10.112,17,3.37,85.1,0.0032,192,2.05,"{""2018"": [-12.23, -18.73], ""2019"": [24.26, -16.2], ""2020"": [39.84, -33.38], ""2021"": [87.22, -13.98], ""2022"": [-26.56, -33.19]}",QS_base,W1
QS_base|W2,2022-07-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,28.01,24.75,20.95,17.27,24.2,17.27,-35.54,-43.48,0.59,0.76,73.1,48.7,22.51,-10.6,5.408,16,4.53,97.3,0.0045,306,2.22,"{""2022"": [6.21, -13.21], ""2023"": [59.2, -12.04], ""2024"": [34.7, -13.98], ""2025"": [-16.86, -35.22], ""2026"": [15.59, -33.76]}",QS_base,W2
QS_v2|full,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,invvol,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,26.41,24.38,21.43,17.95,25.66,17.95,-40.93,-46.31,0.53,0.74,38.3,45.9,33.64,-12.27,8.995,17,3.6,96.9,0.0123,310,4.83,"{""2018"": [-13.06, -22.7], ""2019"": [26.31, -18.98], ""2020"": [38.84, -29.97], ""2021"": [89.08, -16.73], ""2022"": [4.06, -28.05], ""2023"": [45.16, -23.04], ""2024"": [17.68, -16.46], ""2025"": [-17.84, -40.34], ""2026"": [20.25, -38.35]}",QS_v2,full
QS_v2|W1,2018-08-01,2022-06-30,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,invvol,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,29.97,28.19,25.59,21.24,32.56,21.24,-30.91,-33.02,0.83,0.88,32.6,43.4,45.97,-11.53,13.893,10,2.67,95.5,0.0054,127,2.44,"{""2018"": [-13.06, -22.7], ""2019"": [26.31, -18.98], ""2020"": [38.84, -29.97], ""2021"": [89.08, -16.73], ""2022"": [-13.62, -28.05]}",QS_v2,W1
QS_v2|W2,2022-07-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,invvol,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.09,18.67,16.37,9.6,25.26,9.6,-40.92,-46.16,0.41,0.56,45.4,47.8,24.05,-12.59,4.849,17,3.84,97.1,0.0057,190,1.89,"{""2022"": [15.58, -15.21], ""2023"": [47.99, -19.84], ""2024"": [17.9, -16.54], ""2025"": [-17.84, -40.33], ""2026"": [20.27, -38.23]}",QS_v2,W2
QS_v2_eq|full,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,25.6,23.13,20.91,16.48,22.64,16.48,-41.72,-48.22,0.5,0.71,38.5,45.6,33.34,-12.14,8.938,17,3.61,98.0,0.0129,312,4.66,"{""2018"": [-14.23, -23.86], ""2019"": [26.13, -20.3], ""2020"": [35.3, -31.68], ""2021"": [87.17, -17.93], ""2022"": [0.85, -28.29], ""2023"": [50.31, -23.34], ""2024"": [14.73, -17.24], ""2025"": [-18.49, -41.38], ""2026"": [19.57, -40.53]}",QS_v2_eq,full
QS_v2_eq|W1,2018-08-01,2022-06-30,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,28.42,26.79,24.48,19.14,31.39,19.14,-32.03,-37.35,0.8,0.83,32.2,44.1,45.3,-11.38,13.753,10,2.77,96.6,0.0052,126,2.36,"{""2018"": [-14.23, -23.86], ""2019"": [26.13, -20.3], ""2020"": [35.3, -31.68], ""2021"": [87.17, -17.93], ""2022"": [-14.9, -28.29]}",QS_v2_eq,W1
QS_v2_eq|W2,2022-07-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,19.53,16.8,14.78,11.06,23.61,11.06,-42.15,-48.24,0.35,0.49,45.3,47.6,24.22,-12.42,4.851,17,3.96,98.6,0.0063,190,1.78,"{""2022"": [14.88, -18.48], ""2023"": [50.35, -22.27], ""2024"": [16.15, -16.6], ""2025"": [-19.12, -41.84], ""2026"": [19.52, -39.7]}",QS_v2_eq,W2
QS_v2_nbr|full,2018-08-01,2026-09-10,rebalance,monthly,rs,12,1.5,near,0.825,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,25.34,23.78,21.24,17.9,26.61,17.9,-41.8,-47.12,0.52,0.73,40.8,47.1,36.62,-12.92,9.989,16,3.23,98.6,0.0108,330,4.77,"{""2018"": [-12.65, -22.77], ""2019"": [25.97, -19.23], ""2020"": [40.44, -32.77], ""2021"": [87.69, -16.8], ""2022"": [2.97, -27.15], ""2023"": [56.23, -22.23], ""2024"": [16.21, -16.17], ""2025"": [-20.55, -40.7], ""2026"": [20.34, -38.76]}",QS_v2_nbr,full
QS_v2_nbr|W1,2018-08-01,2022-06-30,rebalance,monthly,rs,12,1.5,near,0.825,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,27.4,26.15,24.09,21.67,31.69,21.67,-32.77,-34.8,0.74,0.83,34.5,44.0,48.85,-11.92,14.88,12,2.36,97.8,0.0042,135,2.33,"{""2018"": [-12.65, -22.77], ""2019"": [25.97, -19.23], ""2020"": [40.44, -32.77], ""2021"": [87.69, -16.8], ""2022"": [-14.12, -27.15]}",QS_v2_nbr,W1
QS_v2_nbr|W2,2022-07-01,2026-09-10,rebalance,monthly,rs,12,1.5,near,0.825,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,20.76,19.08,16.67,12.01,25.05,12.01,-42.0,-47.36,0.43,0.56,49.0,48.8,25.45,-13.32,5.465,16,3.56,98.7,0.0059,205,1.91,"{""2022"": [15.93, -14.48], ""2023"": [57.75, -18.04], ""2024"": [16.39, -15.98], ""2025"": [-20.41, -40.59], ""2026"": [20.3, -38.67]}",QS_v2_nbr,W2
CTRL_hasdata|full,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/162_quality_summit_optimisation/results/masks162/has_data.npz,fail,none,invvol,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,24.3,21.12,17.46,11.65,23.94,11.65,-58.5,-65.32,0.3,0.55,56.4,42.4,32.09,-13.8,5.794,16,5.13,98.0,0.0137,457,3.69,"{""2018"": [-24.25, -31.21], ""2019"": [3.7, -31.64], ""2020"": [68.23, -47.27], ""2021"": [142.88, -20.27], ""2022"": [-41.94, -54.62], ""2023"": [53.05, -54.39], ""2024"": [71.91, -27.21], ""2025"": [-29.41, -45.05], ""2026"": [14.79, -55.78]}",CTRL_hasdata,full
CTRL_hasdata|W1,2018-08-01,2022-06-30,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/162_quality_summit_optimisation/results/masks162/has_data.npz,fail,none,invvol,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,20.46,17.27,13.29,5.96,23.09,5.96,-54.61,-62.42,0.24,0.42,54.4,40.0,37.2,-13.65,7.065,16,4.95,97.3,0.0086,213,1.63,"{""2018"": [-24.25, -31.21], ""2019"": [3.7, -31.64], ""2020"": [68.23, -47.27], ""2021"": [142.88, -20.27], ""2022"": [-45.25, -54.62]}",CTRL_hasdata,W1
