,offset0,offset1,offset2,offset3,offset4,offset5,offset6,offset7,offset8,offset9,offset10,offset11
2018-09-19,9883183.0,9887187.0,9776904.0,9876734.0,9733774.0,9504575.0,9336388.0,9587153.0,9420218.0,9600555.0,9711226.0,9502755.0
2018-09-21,9717974.0,9702636.0,9587699.0,9759744.0,9576250.0,9419567.0,9256726.0,9492103.0,9314651.0,9497421.0,9600372.0,9326606.0
2018-09-24,9489023.0,9457187.0,9361592.0,9500205.0,9306376.0,9186366.0,9032029.0,9253064.0,9050078.0,9305386.0,9403209.0,9161828.0
2018-09-25,9450020.0,9421160.0,9319655.0,9504243.0,9309990.0,9210057.0,9048093.0,9255108.0,9075515.0,9328184.0,9427183.0,9180198.0
2018-09-26,9434011.0,9385316.0,9292599.0,9406334.0,9274199.0,9205288.0,8959868.0,9223495.0,8985905.0,9303168.0,9402235.0,9147104.0
2018-09-27,9276255.0,9201938.0,9115695.0,9299620.0,9091081.0,9105839.0,8878246.0,9111598.0,8877666.0,9221386.0,9316336.0,9055558.0
2018-09-28,9221686.0,9120304.0,9021347.0,9261339.0,9015545.0,9053432.0,8863300.0,9093687.0,8857403.0,9178564.0,9272573.0,9006744.0
2018-10-01,9173200.0,9051089.0,8948221.0,9183824.0,8986482.0,8969006.0,8815753.0,9038618.0,8829983.0,9116453.0,9206914.0,8924571.0
2018-10-03,9166518.0,8974088.0,8868138.0,9097750.0,8914267.0,8873466.0,8705180.0,8937569.0,8732800.0,9023328.0,9111032.0,8848800.0
2018-10-04,9039760.0,8729289.0,8566340.0,8851376.0,8647299.0,8652892.0,8461829.0,8715410.0,8476751.0,8829266.0,8908628.0,8710652.0
2018-10-05,8969052.0,8655999.0,8433099.0,8710691.0,8435089.0,8504925.0,8313703.0,8571049.0,8318284.0,8695103.0,8769960.0,8594732.0
2018-10-08,8911805.0,8597662.0,8394909.0,8633396.0,8216864.5,8318521.5,8196761.5,8407427.0,8137952.0,8561295.0,8636460.0,8482350.0
2018-10-09,8899923.0,8584875.0,8378819.0,8636186.0,8206207.5,8275680.0,8179945.0,8377979.5,8129523.5,8551090.0,8626220.0,8469403.0
2018-10-10,8925508.0,8609500.0,8371763.0,8640987.0,8495419.0,8476460.0,8366686.0,8580681.0,8345793.0,8706234.0,8787650.0,8599166.0
2018-10-11,8835142.0,8517825.0,8336699.0,8638746.0,8270680.0,8274918.0,8223703.0,8420201.0,8167588.5,8533062.0,8609965.0,8477526.0
2018-10-12,8915898.0,8600226.0,8384704.0,8638720.0,8473801.0,8468073.0,8449115.0,8634338.0,8371186.0,8715893.0,8794128.0,8623461.0
2018-10-15,8979602.0,8666698.0,8452031.0,8641007.0,8605700.0,8578482.0,8553755.0,8758199.0,8494802.0,8808233.0,8891940.0,8718528.0
2018-10-16,9013189.0,8701648.0,8493832.0,8666433.0,8752634.0,8676275.0,8659653.0,8873037.0,8638013.0,8830204.0,8977717.0,8809409.0
2018-10-17,8955221.0,8641609.0,8450198.0,8669828.0,8567025.0,8548962.0,8567933.0,8756082.0,8507869.0,8782248.0,8929094.0,8707644.0
2018-10-19,8948226.0,8634309.0,8425407.0,8642036.0,8322783.5,8367068.0,8386062.5,8594672.0,8324179.0,8786300.0,8915331.0,8650992.0
2018-10-22,8906210.0,8590018.0,8381565.0,8629537.0,8222621.0,8264247.0,8253312.0,8473524.0,8209226.0,8769491.0,8865463.0,8620260.0
2018-10-23,8889022.0,8572815.0,8374567.0,8622973.0,8084396.5,8151225.0,8121694.0,8337203.0,8052829.0,8766827.0,8825969.0,8586472.0
2018-10-24,8859487.0,8541732.0,8347251.0,8623652.0,8100150.5,8112112.5,8058200.5,8277171.5,7989542.5,8744792.0,8782037.0,8566869.0
2018-10-25,8857333.0,8539920.0,8339814.0,8609444.0,8049491.5,8096958.0,8064228.0,8285051.0,7979257.5,8746382.0,8777513.0,8562834.0
2018-10-26,8924519.0,8609604.0,8392575.0,8612941.0,8150171.0,8173465.0,8099428.5,8345329.5,8022538.5,8791341.0,8812526.0,8555115.0
2018-10-29,8979777.0,8667887.0,8453955.0,8625291.0,8377323.5,8305681.0,8265134.5,8487422.0,8229690.0,8826991.0,8881094.0,8589158.0
2018-10-30,8987910.0,8676832.0,8482908.0,8647500.0,8440217.0,8366350.5,8312127.5,8545883.0,8283779.5,8829426.0,8908375.0,8615141.0
2018-10-31,9069112.0,8759725.0,8558033.0,8707234.0,8718219.0,8593937.0,8536828.0,8774596.0,8531937.0,8841587.0,8973402.0,8668292.0
2018-11-01,9050356.0,8741538.0,8557422.0,8685884.0,8810149.0,8670181.0,8611317.0,8871667.0,8626056.0,8864020.0,8996654.0,8670692.0
2018-11-02,8984254.0,8701638.0,8492122.0,8657995.0,8849637.0,8699084.0,8640472.0,8851119.0,8624526.0,8844499.0,8937056.0,8633013.0
2018-11-05,8992171.0,8700724.0,8495398.0,8665015.0,8804213.0,8684508.0,8606936.0,8828318.0,8597488.0,8844384.0,8937235.0,8634948.0
2018-11-06,8992379.0,8702742.0,8486131.0,8664792.0,8786664.0,8669856.0,8594100.0,8814548.0,8583206.0,8841387.0,8938688.0,8641036.0
2018-11-07,8993761.0,8704197.0,8487547.0,8666380.0,8786664.0,8670049.0,8607348.0,8814767.0,8592407.0,8842876.0,8939938.0,8642504.0
2018-11-09,9008501.0,8706210.0,8489541.0,8675787.0,8902883.0,8714753.0,8665180.0,8861965.0,8662484.0,8845334.0,8963041.0,8664236.0
2018-11-12,9010208.0,8690470.0,8474235.0,8677508.0,8823596.0,8689644.0,8645643.0,8825445.0,8612219.0,8836525.0,8974000.0,8685398.0
2018-11-13,8980647.0,8656539.0,8440717.0,8679229.0,8759091.0,8643289.0,8607588.0,8785661.0,8550057.0,8817507.0,8966099.0,8697736.0
2018-11-14,8946854.0,8649915.0,8433766.0,8680951.0,8802209.0,8618520.0,8558535.0,8768809.0,8555249.0,8810156.0,8923520.0,8664871.0
2018-11-15,8961152.0,8649165.0,8432968.0,8682673.0,8852118.0,8628524.0,8560789.0,8771690.0,8540552.0,8814509.0,8934370.0,8672736.0
2018-11-16,8953070.0,8627044.0,8411033.0,8684395.0,8812176.0,8618965.0,8547863.0,8759908.0,8535390.0,8795219.0,8934552.0,8681043.0
2018-11-19,8978855.0,8648527.0,8432142.0,8686118.0,8845883.0,8652375.0,8560318.0,8772170.0,8533263.0,8790047.0,8937959.0,8683658.0
2018-11-20,8937009.0,8629395.0,8413197.0,8687841.0,8769702.0,8602421.0,8534091.0,8745869.0,8542609.0,8769732.0,8923144.0,8659031.0
2018-11-21,8911582.0,8623719.0,8407732.0,8689564.0,8753656.0,8597488.0,8515652.0,8726979.0,8540209.0,8757124.0,8909368.0,8641585.0
2018-11-22,8906226.0,8618526.0,8402719.0,8691288.0,8728649.0,8582142.0,8505988.0,8717463.0,8530496.0,8758272.0,8904937.0,8622519.0
2018-11-26,8919718.0,8628730.0,8412831.0,8693012.0,8763306.0,8599936.0,8507548.0,8718981.0,8521117.0,8773429.0,8928660.0,8643004.0
