day,arm,kind,level,thresh_comb,dwell,fired,fire_hm,touch_comb,exit_comb,overshoot_pts,gross_lot,net_lot,net_6L,hold_net_lot,hold_net_6L,delta_lot,delta_6L,recovered
2026-04-30,FRAC25,frac,0.25,296.88,1,1,13:42,305.25,305.25,8.38,-1355,-1636,-9815,2526,15154,-4162,-24969,1
2026-04-30,FRAC25,frac,0.25,296.88,2,1,13:43,305.25,312.05,8.38,-1491,-1772,-10632,2526,15154,-4298,-25786,1
2026-04-30,FRAC30,frac,0.3,308.75,1,1,13:43,312.05,312.05,3.3,-1491,-1772,-10632,2526,15154,-4298,-25786,1
2026-04-30,FRAC30,frac,0.3,308.75,2,1,13:44,312.05,322.05,3.3,-1691,-1972,-11832,2526,15154,-4498,-26986,1
2026-04-30,FRAC35,frac,0.35,320.62,1,1,13:44,322.05,322.05,1.43,-1691,-1972,-11832,2526,15154,-4498,-26986,1
2026-04-30,FRAC35,frac,0.35,320.62,2,1,13:45,322.05,406.0,1.43,-3370,-3652,-21911,2526,15154,-6177,-37065,1
2026-04-30,FRAC40,frac,0.4,332.5,1,1,13:45,406.0,406.0,73.5,-3370,-3652,-21911,2526,15154,-6177,-37065,1
2026-04-30,FRAC40,frac,0.4,332.5,2,1,13:46,406.0,386.4,73.5,-2978,-3260,-19558,2526,15154,-5785,-34712,1
2026-04-30,FRAC50,frac,0.5,356.25,1,1,13:45,406.0,406.0,49.75,-3370,-3652,-21911,2526,15154,-6177,-37065,1
2026-04-30,FRAC50,frac,0.5,356.25,2,1,13:46,406.0,386.4,49.75,-2978,-3260,-19558,2526,15154,-5785,-34712,1
2026-04-30,FRAC60,frac,0.6,380.0,1,1,13:45,406.0,406.0,26.0,-3370,-3652,-21911,2526,15154,-6177,-37065,1
2026-04-30,FRAC60,frac,0.6,380.0,2,1,13:46,406.0,386.4,26.0,-2978,-3260,-19558,2526,15154,-5785,-34712,1
2026-04-30,FRAC75,frac,0.75,415.62,1,1,13:59,429.4,429.4,13.77,-3838,-4120,-24720,2526,15154,-6646,-39874,1
2026-04-30,FRAC75,frac,0.75,415.62,2,1,14:00,429.4,429.55,13.77,-3841,-4123,-24738,2526,15154,-6649,-39892,1
2026-04-30,FRAC100,frac,1.0,475.0,1,1,14:43,476.75,476.75,1.75,-4785,-5067,-30404,2526,15154,-7593,-45559,1
2026-04-30,FRAC100,frac,1.0,475.0,2,1,14:44,476.75,488.6,1.75,-5022,-5305,-31827,2526,15154,-7830,-46981,1
2026-04-30,RS1000,rs,1000,287.5,1,1,13:42,305.25,305.25,17.75,-1355,-1636,-9815,2526,15154,-4162,-24969,1
2026-04-30,RS1000,rs,1000,287.5,2,1,13:43,305.25,312.05,17.75,-1491,-1772,-10632,2526,15154,-4298,-25786,1
2026-04-30,RS1500,rs,1500,312.5,1,1,13:44,322.05,322.05,9.55,-1691,-1972,-11832,2526,15154,-4498,-26986,1
2026-04-30,RS1500,rs,1500,312.5,2,1,13:45,322.05,406.0,9.55,-3370,-3652,-21911,2526,15154,-6177,-37065,1
2026-04-30,RS2000,rs,2000,337.5,1,1,13:45,406.0,406.0,68.5,-3370,-3652,-21911,2526,15154,-6177,-37065,1
2026-04-30,RS2000,rs,2000,337.5,2,1,13:46,406.0,386.4,68.5,-2978,-3260,-19558,2526,15154,-5785,-34712,1
2026-04-30,RS2500,rs,2500,362.5,1,1,13:45,406.0,406.0,43.5,-3370,-3652,-21911,2526,15154,-6177,-37065,1
2026-04-30,RS2500,rs,2500,362.5,2,1,13:46,406.0,386.4,43.5,-2978,-3260,-19558,2526,15154,-5785,-34712,1
2026-04-30,RS3000,rs,3000,387.5,1,1,13:45,406.0,406.0,18.5,-3370,-3652,-21911,2526,15154,-6177,-37065,1
2026-04-30,RS3000,rs,3000,387.5,2,1,13:46,406.0,386.4,18.5,-2978,-3260,-19558,2526,15154,-5785,-34712,1
2026-04-30,RS4000,rs,4000,437.5,1,1,14:43,476.75,476.75,39.25,-4785,-5067,-30404,2526,15154,-7593,-45559,1
2026-04-30,RS4000,rs,4000,437.5,2,1,14:44,476.75,488.6,39.25,-5022,-5305,-31827,2526,15154,-7830,-46981,1
2026-04-30,RS5000,rs,5000,487.5,1,1,14:44,488.6,488.6,1.1,-5022,-5305,-31827,2526,15154,-7830,-46981,1
2026-04-30,RS5000,rs,5000,487.5,2,1,14:45,488.6,455.7,1.1,-4364,-4646,-27877,2526,15154,-7172,-43031,1
2026-05-07,FRAC25,frac,0.25,412.62,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC25,frac,0.25,412.62,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC30,frac,0.3,429.13,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC30,frac,0.3,429.13,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC35,frac,0.35,445.64,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC35,frac,0.35,445.64,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC40,frac,0.4,462.14,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC40,frac,0.4,462.14,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC50,frac,0.5,495.15,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC50,frac,0.5,495.15,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC60,frac,0.6,528.16,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC60,frac,0.6,528.16,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC75,frac,0.75,577.68,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC75,frac,0.75,577.68,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC100,frac,1.0,660.2,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,FRAC100,frac,1.0,660.2,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS1000,rs,1000,380.1,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS1000,rs,1000,380.1,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS1500,rs,1500,405.1,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS1500,rs,1500,405.1,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS2000,rs,2000,430.1,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS2000,rs,2000,430.1,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS2500,rs,2500,455.1,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS2500,rs,2500,455.1,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS3000,rs,3000,480.1,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS3000,rs,3000,480.1,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS4000,rs,4000,530.1,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS4000,rs,4000,530.1,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS5000,rs,5000,580.1,1,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-07,RS5000,rs,5000,580.1,2,0,,,257.95,,1443,1415,8488,1415,8488,0,0,
2026-05-14,FRAC25,frac,0.25,401.56,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC25,frac,0.25,401.56,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC30,frac,0.3,417.62,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC30,frac,0.3,417.62,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC35,frac,0.35,433.69,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC35,frac,0.35,433.69,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC40,frac,0.4,449.75,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC40,frac,0.4,449.75,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC50,frac,0.5,481.88,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC50,frac,0.5,481.88,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC60,frac,0.6,514.0,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC60,frac,0.6,514.0,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC75,frac,0.75,562.19,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC75,frac,0.75,562.19,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC100,frac,1.0,642.5,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,FRAC100,frac,1.0,642.5,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS1000,rs,1000,371.25,1,1,13:05,382.4,382.4,11.15,-1223,-1507,-9042,5952,35713,-7459,-44754,1
2026-05-14,RS1000,rs,1000,371.25,2,1,13:06,382.4,370.1,11.15,-977,-1261,-7565,5952,35713,-7213,-43278,1
2026-05-14,RS1500,rs,1500,396.25,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS1500,rs,1500,396.25,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS2000,rs,2000,421.25,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS2000,rs,2000,421.25,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS2500,rs,2500,446.25,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS2500,rs,2500,446.25,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS3000,rs,3000,471.25,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS3000,rs,3000,471.25,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS4000,rs,4000,521.25,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS4000,rs,4000,521.25,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS5000,rs,5000,571.25,1,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-14,RS5000,rs,5000,571.25,2,0,,,22.35,,5978,5952,35713,5952,35713,0,0,
2026-05-21,FRAC25,frac,0.25,386.81,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC25,frac,0.25,386.81,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC30,frac,0.3,402.29,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC30,frac,0.3,402.29,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC35,frac,0.35,417.76,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC35,frac,0.35,417.76,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC40,frac,0.4,433.23,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC40,frac,0.4,433.23,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC50,frac,0.5,464.18,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC50,frac,0.5,464.18,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC60,frac,0.6,495.12,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC60,frac,0.6,495.12,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC75,frac,0.75,541.54,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC75,frac,0.75,541.54,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC100,frac,1.0,618.9,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,FRAC100,frac,1.0,618.9,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS1000,rs,1000,359.45,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS1000,rs,1000,359.45,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS1500,rs,1500,384.45,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS1500,rs,1500,384.45,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS2000,rs,2000,409.45,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS2000,rs,2000,409.45,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS2500,rs,2500,434.45,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS2500,rs,2500,434.45,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS3000,rs,3000,459.45,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
