scope,n,exc_p50,exc_p90,exc_p95,exc_p99,exc_max,R_p50,R_p90,R_p95,R_p99,R_max,worst_day
SENSEX 1-min ALL days 2021->,1356,37.4,81.8,105.1,161.5,316.0,1.38,2.93,3.73,5.17,11.74,2023-02-01
SENSEX 1-min DTE0 (calendar),131,34.2,73.2,87.4,132.6,196.3,1.22,2.96,3.83,5.27,6.58,2026-04-02
NIFTY50 5-min ALL days 2015->,2754,41.5,97.7,121.4,191.6,406.2,1.42,3.28,4.07,6.31,13.51,2020-03-17
NIFTY50 5-min DTE0 (calendar),375,42.4,92.5,131.5,181.4,323.4,1.39,3.15,4.43,6.01,10.83,2020-03-19
