L,n_breach,n_gapped,gap_pct,med_overshoot_credits,p90_overshoot_credits,max_overshoot_credits
0.25,65,31,47.7,0.087,0.31,2.072
0.3,64,31,48.4,0.09,0.266,2.022
0.35,63,26,41.3,0.088,0.282,1.972
0.4,60,23,38.3,0.08,0.232,1.922
0.5,53,20,37.7,0.079,0.189,1.822
0.6,50,16,32.0,0.075,0.194,1.722
0.75,46,17,37.0,0.053,0.258,1.572
1.0,36,9,25.0,0.048,0.307,1.322
