label,series,cons,action,freq,n,exit,offset,tax,cash_y,rt,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar,fills,donch_exits,gate_events,cost_pct,tax_pct,avg_inv,secs
D_INC_cash_n8_d15_off0_tax0,NIFTYBEES,sma100,cash,weekly,8,donch15,0,0,0.065,0.003,23.41,-20.86,1.34,1.12,25.26,-17.1,1.46,1.48,19.25,-16.39,1.21,1.17,32.87,-16.47,1.65,2.0,159,723,42,504.7,0.0,0.43,0.7
D_INC_cash_n8_d15_off0_tax1,NIFTYBEES,sma100,cash,weekly,8,donch15,0,1,0.065,0.003,19.48,-23.67,1.13,0.82,20.9,-23.67,1.22,0.88,15.28,-23.02,0.96,0.66,27.3,-18.37,1.41,1.49,159,723,42,312.2,833.8,0.43,0.1
D_INC_cash_n8_d15_off1_tax0,NIFTYBEES,sma100,cash,weekly,8,donch15,1,0,0.065,0.003,28.02,-20.71,1.54,1.35,29.57,-20.71,1.64,1.43,21.65,-14.35,1.31,1.51,37.74,-20.71,1.85,1.82,158,719,42,887.1,0.0,0.43,3.4
D_INC_cash_n8_d15_off1_tax1,NIFTYBEES,sma100,cash,weekly,8,donch15,1,1,0.065,0.003,23.35,-24.65,1.29,0.95,24.59,-24.65,1.37,1.0,17.52,-21.43,1.06,0.82,31.51,-24.65,1.56,1.28,158,719,42,495.3,1628.4,0.44,0.1
D_INC_cash_n8_d15_off2_tax0,NIFTYBEES,sma100,cash,weekly,8,donch15,2,0,0.065,0.003,28.06,-21.23,1.54,1.32,30.09,-21.23,1.66,1.42,23.78,-14.74,1.39,1.61,36.21,-21.23,1.79,1.71,156,723,42,956.5,0.0,0.42,3.5
D_INC_cash_n8_d15_off2_tax1,NIFTYBEES,sma100,cash,weekly,8,donch15,2,1,0.065,0.003,23.44,-23.74,1.29,0.99,25.07,-23.74,1.39,1.06,19.17,-23.1,1.11,0.83,30.38,-22.72,1.53,1.34,156,723,42,529.4,1651.1,0.42,0.1
D_INC_cash_n8_d15_off3_tax0,NIFTYBEES,sma100,cash,weekly,8,donch15,3,0,0.065,0.003,25.76,-18.78,1.44,1.37,27.97,-18.78,1.59,1.49,16.52,-17.86,1.02,0.92,37.92,-17.86,1.9,2.12,161,742,42,693.0,0.0,0.43,3.6
D_INC_cash_n8_d15_off3_tax1,NIFTYBEES,sma100,cash,weekly,8,donch15,3,1,0.065,0.003,21.41,-25.34,1.2,0.84,23.35,-25.34,1.33,0.92,13.02,-24.5,0.82,0.53,31.76,-18.18,1.61,1.75,161,742,42,398.5,1194.4,0.43,0.1
D_INC_cash_n8_d15_off4_tax0,NIFTYBEES,sma100,cash,weekly,8,donch15,4,0,0.065,0.003,24.63,-19.09,1.39,1.29,26.32,-19.09,1.51,1.38,14.38,-19.09,0.92,0.75,39.94,-17.58,1.95,2.27,164,744,42,570.2,0.0,0.43,3.7
D_INC_cash_n8_d15_off4_tax1,NIFTYBEES,sma100,cash,weekly,8,donch15,4,1,0.065,0.003,20.46,-24.98,1.17,0.82,21.91,-24.98,1.27,0.88,11.15,-24.98,0.73,0.45,33.32,-18.17,1.64,1.83,164,744,42,338.4,1020.5,0.43,0.1
