label,series,cons,action,freq,n,exit,offset,tax,cash_y,rt,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar,fills,donch_exits,gate_events,cost_pct,tax_pct,avg_inv,secs
BENCH_NIFTYBEES_tax0,NIFTYBEES,buyhold,,,0,,0,0,0,0,10.58,-59.71,0.62,0.18,12.7,-36.34,0.9,0.35,13.18,-14.08,1.14,0.94,11.8,-36.34,0.79,0.32,0,0,0,0,0,1.0,0
A_NONE_tax0,NONE,none,cash,weekly,8,donch15,0,0,0.065,0.003,22.56,-50.08,1.1,0.45,29.24,-42.22,1.39,0.69,18.87,-16.94,1.07,1.11,46.73,-24.16,1.86,1.93,246,1220,0,410.4,0.0,0.66,0.8
A_NONE_tax1,NONE,none,cash,weekly,8,donch15,0,1,0.065,0.003,18.18,-52.02,0.91,0.35,23.86,-46.48,1.17,0.51,15.06,-22.76,0.89,0.66,39.74,-26.25,1.63,1.51,246,1220,0,238.7,556.8,0.66,0.1
A_NIFTYBEES_sma100_tax0,NIFTYBEES,sma100,cash,weekly,8,donch15,0,0,0.065,0.003,23.41,-20.86,1.34,1.12,25.26,-17.1,1.46,1.48,19.25,-16.39,1.21,1.17,32.87,-16.47,1.65,2.0,159,723,42,504.7,0.0,0.43,0.0
A_NIFTYBEES_sma100_tax1,NIFTYBEES,sma100,cash,weekly,8,donch15,0,1,0.065,0.003,19.48,-23.67,1.13,0.82,20.9,-23.67,1.22,0.88,15.28,-23.02,0.96,0.66,27.3,-18.37,1.41,1.49,159,723,42,312.2,833.8,0.43,0.1
A_NIFTYBEES_sma150_tax0,NIFTYBEES,sma150,cash,weekly,8,donch15,0,0,0.065,0.003,23.07,-26.88,1.3,0.86,23.51,-26.88,1.34,0.87,14.94,-26.26,0.97,0.57,35.58,-20.07,1.71,1.77,170,792,45,499.3,0.0,0.45,0.0
A_NIFTYBEES_sma150_tax1,NIFTYBEES,sma150,cash,weekly,8,donch15,0,1,0.065,0.003,18.88,-32.68,1.08,0.58,19.02,-32.68,1.11,0.58,11.38,-32.1,0.75,0.35,29.27,-24.26,1.44,1.21,170,792,45,304.3,808.0,0.45,0.1
A_NIFTYBEES_sma200_tax0,NIFTYBEES,sma200,cash,weekly,8,donch15,0,0,0.065,0.003,18.83,-30.11,1.07,0.63,19.91,-23.94,1.16,0.83,13.93,-23.29,0.87,0.6,29.67,-20.07,1.47,1.48,180,854,34,321.2,0.0,0.47,0.0
A_NIFTYBEES_sma200_tax1,NIFTYBEES,sma200,cash,weekly,8,donch15,0,1,0.065,0.003,15.32,-32.77,0.89,0.47,16.14,-30.07,0.96,0.54,10.8,-29.47,0.7,0.37,24.62,-24.26,1.26,1.01,180,854,34,207.9,427.6,0.48,0.1
A_NIFTYBEES_ema100_tax0,NIFTYBEES,ema100,cash,weekly,8,donch15,0,0,0.065,0.003,24.44,-21.32,1.38,1.15,25.61,-21.32,1.47,1.2,17.51,-20.65,1.11,0.85,33.2,-16.47,1.66,2.02,168,752,58,628.2,0.0,0.45,0.1
