tn_leg,blend_cagr_med,blend_cagr_min,blend_cagr_max,blend_dd_med,blend_dd_min,blend_dd_max,blend_calmar_med,corr_daily_med,corr_monthly_med,tn_solo_cagr,tn_solo_dd
TN_cash(incumbent),27.38,26.68,28.48,-16.43,-16.69,-15.87,1.68,0.404,0.542,19.48,-23.67
TN_block,27.15,26.45,28.25,-16.42,-16.68,-15.88,1.67,0.426,0.571,19.12,-22.05
