label,series,cons,action,freq,n,exit,offset,tax,cash_y,rt,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar,fills,donch_exits,gate_events,cost_pct,tax_pct,avg_inv,secs
BENCH_NIFTYBEES_tax0,NIFTYBEES,buyhold,,,0,,0,0,0,0,10.58,-59.71,0.62,0.18,12.7,-36.34,0.9,0.35,13.18,-14.08,1.14,0.94,11.8,-36.34,0.79,0.32,0,0,0,0,0,1.0,0
SMOKE_incumbent_tax0,NIFTYBEES,sma100,cash,weekly,8,donch15,0,0,0.065,0.003,23.41,-20.86,1.34,1.12,25.26,-17.1,1.46,1.48,19.25,-16.39,1.21,1.17,32.87,-16.47,1.65,2.0,159,723,42,504.7,0.0,0.43,0.8
SMOKE_incumbent_tax1,NIFTYBEES,sma100,cash,weekly,8,donch15,0,1,0.065,0.003,19.48,-23.67,1.13,0.82,20.9,-23.67,1.22,0.88,15.28,-23.02,0.96,0.66,27.3,-18.37,1.41,1.49,159,723,42,312.2,833.8,0.43,0.1
SMOKE_nogate_nodonch_tax0,NONE,none,cash,weekly,8,none,0,0,0.065,0.003,17.02,-81.0,0.67,0.21,26.74,-52.82,0.98,0.51,17.8,-39.23,0.76,0.45,32.83,-41.63,1.08,0.79,246,0,0,58.7,0.0,0.99,0.1
SMOKE_nogate_nodonch_tax1,NONE,none,cash,weekly,8,none,0,1,0.065,0.003,14.17,-81.78,0.59,0.17,23.58,-55.11,0.89,0.43,16.07,-42.24,0.7,0.38,28.65,-44.58,0.98,0.64,246,0,0,41.0,227.7,0.99,0.1
