label,series,cons,action,freq,n,exit,offset,tax,cash_y,rt,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar,fills,donch_exits,gate_events,cost_pct,tax_pct,avg_inv,secs
B_NIFTYBEES_sma100_cash_daily_tax0,NIFTYBEES,sma100,cash,daily,8,donch15,0,0,0.065,0.003,22.65,-22.13,1.33,1.02,24.16,-22.13,1.44,1.09,17.64,-21.47,1.14,0.82,33.68,-14.81,1.72,2.27,159,679,81,446.5,0.0,0.41,0.7
B_NIFTYBEES_sma100_cash_daily_tax1,NIFTYBEES,sma100,cash,daily,8,donch15,0,1,0.065,0.003,18.81,-28.01,1.13,0.67,19.9,-28.01,1.2,0.71,14.16,-27.4,0.92,0.52,27.89,-17.84,1.46,1.56,159,679,81,282.8,742.6,0.41,0.1
B_NIFTYBEES_sma100_cash_weekly_tax0,NIFTYBEES,sma100,cash,weekly,8,donch15,0,0,0.065,0.003,23.41,-20.86,1.34,1.12,25.26,-17.1,1.46,1.48,19.25,-16.39,1.21,1.17,32.87,-16.47,1.65,2.0,159,723,42,504.7,0.0,0.43,0.0
B_NIFTYBEES_sma100_cash_weekly_tax1,NIFTYBEES,sma100,cash,weekly,8,donch15,0,1,0.065,0.003,19.48,-23.67,1.13,0.82,20.9,-23.67,1.22,0.88,15.28,-23.02,0.96,0.66,27.3,-18.37,1.41,1.49,159,723,42,312.2,833.8,0.43,0.1
B_NIFTYBEES_sma100_cash_monthly_tax0,NIFTYBEES,sma100,cash,monthly,8,donch15,0,0,0.065,0.003,23.67,-20.86,1.33,1.13,25.77,-18.78,1.45,1.37,20.5,-14.66,1.25,1.4,35.78,-18.78,1.73,1.9,159,763,28,457.0,0.0,0.44,0.0
B_NIFTYBEES_sma100_cash_monthly_tax1,NIFTYBEES,sma100,cash,monthly,8,donch15,0,1,0.065,0.003,19.64,-21.69,1.12,0.91,21.24,-21.61,1.21,0.98,16.62,-21.61,1.01,0.77,29.49,-20.75,1.46,1.42,159,763,28,283.8,867.0,0.44,0.1
B_NIFTYBEES_sma100_block_daily_tax0,NIFTYBEES,sma100,block,daily,8,donch15,0,0,0.065,0.003,22.89,-20.86,1.29,1.1,25.35,-16.78,1.42,1.51,20.35,-15.04,1.23,1.35,34.49,-16.78,1.67,2.06,246,791,81,403.4,0.0,0.45,0.1
B_NIFTYBEES_sma100_block_daily_tax1,NIFTYBEES,sma100,block,daily,8,donch15,0,1,0.065,0.003,19.12,-22.05,1.09,0.87,21.12,-22.05,1.2,0.96,16.87,-20.95,1.04,0.81,28.74,-19.17,1.42,1.5,246,791,81,256.3,721.6,0.45,0.1
B_NIFTYBEES_sma100_block_weekly_tax0,NIFTYBEES,sma100,block,weekly,8,donch15,0,0,0.065,0.003,22.89,-20.86,1.29,1.1,25.35,-16.78,1.42,1.51,20.35,-15.04,1.23,1.35,34.49,-16.78,1.67,2.06,246,791,42,403.4,0.0,0.45,0.0
B_NIFTYBEES_sma100_block_weekly_tax1,NIFTYBEES,sma100,block,weekly,8,donch15,0,1,0.065,0.003,19.12,-22.05,1.09,0.87,21.12,-22.05,1.2,0.96,16.87,-20.95,1.04,0.81,28.74,-19.17,1.42,1.5,246,791,42,256.3,721.6,0.45,0.1
B_NIFTYBEES_sma100_block_monthly_tax0,NIFTYBEES,sma100,block,monthly,8,donch15,0,0,0.065,0.003,22.89,-20.86,1.29,1.1,25.35,-16.78,1.42,1.51,20.35,-15.04,1.23,1.35,34.49,-16.78,1.67,2.06,246,791,28,403.4,0.0,0.45,0.0
B_NIFTYBEES_sma100_block_monthly_tax1,NIFTYBEES,sma100,block,monthly,8,donch15,0,1,0.065,0.003,19.12,-22.05,1.09,0.87,21.12,-22.05,1.2,0.96,16.87,-20.95,1.04,0.81,28.74,-19.17,1.42,1.5,246,791,28,256.3,721.6,0.45,0.1
B_NIFTYBEES_sma100_half_daily_tax0,NIFTYBEES,sma100,half,daily,8,donch15,0,0,0.065,0.003,23.06,-32.44,1.28,0.71,26.76,-29.84,1.48,0.9,19.19,-16.86,1.19,1.14,40.17,-20.46,1.89,1.96,246,1220,81,495.4,0.0,0.53,0.1
B_NIFTYBEES_sma100_half_daily_tax1,NIFTYBEES,sma100,half,daily,8,donch15,0,1,0.065,0.003,18.77,-36.02,1.06,0.52,21.7,-33.69,1.23,0.64,15.37,-23.14,0.97,0.66,33.37,-24.69,1.61,1.35,246,1220,81,296.8,750.9,0.53,0.1
B_NIFTYBEES_sma100_half_weekly_tax0,NIFTYBEES,sma100,half,weekly,8,donch15,0,0,0.065,0.003,23.31,-33.66,1.27,0.69,27.15,-27.87,1.47,0.97,19.06,-15.69,1.17,1.21,40.3,-20.46,1.86,1.97,246,1220,42,493.0,0.0,0.54,0.1
B_NIFTYBEES_sma100_half_weekly_tax1,NIFTYBEES,sma100,half,weekly,8,donch15,0,1,0.065,0.003,19.05,-37.14,1.06,0.51,22.14,-32.56,1.23,0.68,15.4,-21.81,0.96,0.71,33.62,-24.98,1.59,1.35,246,1220,42,295.0,763.6,0.54,0.1
B_NIFTYBEES_sma100_half_monthly_tax0,NIFTYBEES,sma100,half,monthly,8,donch15,0,0,0.065,0.003,23.36,-33.64,1.26,0.69,27.49,-28.65,1.47,0.96,19.24,-13.41,1.16,1.44,41.73,-21.23,1.88,1.97,246,1220,28,462.0,0.0,0.55,0.1
