venue,entry,T,arm,scope,n,mean,median,win_pct,t,worst,total
NIFTY,09:16,20,CSL15,ALLDTE,81,-310,-188,37,-3.71,-3003,-25128
NIFTY,09:16,20,CSL15,LIVEDTE,48,-280,-162,40,-2.77,-2073,-13452
NIFTY,09:16,20,CSL20,ALLDTE,81,-321,-188,37,-3.73,-3003,-26024
NIFTY,09:16,20,CSL20,LIVEDTE,48,-299,-162,40,-2.78,-2154,-14348
NIFTY,09:16,20,CSL25,ALLDTE,81,-291,-149,38,-3.45,-3003,-23573
NIFTY,09:16,20,CSL25,LIVEDTE,48,-248,-132,42,-2.4,-2645,-11897
NIFTY,09:16,20,CSL30,ALLDTE,81,-289,-149,38,-3.44,-3003,-23417
NIFTY,09:16,20,CSL30,LIVEDTE,48,-245,-132,42,-2.4,-2765,-11741
NIFTY,09:16,20,MOVE04,ALLDTE,81,-299,-149,38,-3.4,-3614,-24204
NIFTY,09:16,20,MOVE04,LIVEDTE,48,-258,-132,42,-2.33,-3614,-12372
NIFTY,09:16,20,NOSTOP,ALLDTE,81,-300,-149,38,-3.39,-3675,-24327
NIFTY,09:16,20,NOSTOP,LIVEDTE,48,-264,-132,42,-2.33,-3675,-12651
NIFTY,09:16,20,PERLEG30,ALLDTE,81,-346,-299,31,-4.42,-2967,-28053
NIFTY,09:16,20,PERLEG30,LIVEDTE,48,-337,-323,29,-3.8,-2073,-16173
NIFTY,09:16,20,RUP2500,ALLDTE,81,-289,-149,38,-3.44,-2973,-23387
NIFTY,09:16,20,RUP2500,LIVEDTE,48,-245,-132,42,-2.4,-2765,-11741
NIFTY,09:16,25,CSL15,ALLDTE,81,-268,-136,42,-2.96,-2957,-21710
NIFTY,09:16,25,CSL15,LIVEDTE,48,-248,-152,44,-2.3,-2073,-11917
NIFTY,09:16,25,CSL20,ALLDTE,81,-278,-136,42,-3.0,-2957,-22541
NIFTY,09:16,25,CSL20,LIVEDTE,48,-266,-152,44,-2.33,-2154,-12748
NIFTY,09:16,25,CSL25,ALLDTE,81,-232,-61,44,-2.53,-2957,-18758
NIFTY,09:16,25,CSL25,LIVEDTE,48,-187,-26,48,-1.7,-2645,-8965
NIFTY,09:16,25,CSL30,ALLDTE,81,-218,-61,44,-2.46,-2957,-17676
NIFTY,09:16,25,CSL30,LIVEDTE,48,-164,-26,48,-1.58,-2765,-7883
NIFTY,09:16,25,MOVE04,ALLDTE,81,-235,-61,46,-2.5,-3614,-19049
NIFTY,09:16,25,MOVE04,LIVEDTE,48,-182,-2,50,-1.58,-3614,-8755
NIFTY,09:16,25,NOSTOP,ALLDTE,81,-235,-61,44,-2.45,-4095,-19006
NIFTY,09:16,25,NOSTOP,LIVEDTE,48,-192,-26,48,-1.59,-4095,-9213
NIFTY,09:16,25,PERLEG30,ALLDTE,81,-326,-269,36,-3.69,-2925,-26409
NIFTY,09:16,25,PERLEG30,LIVEDTE,48,-310,-290,33,-3.27,-2304,-14874
NIFTY,09:16,25,RUP2500,ALLDTE,81,-218,-61,44,-2.46,-2973,-17692
NIFTY,09:16,25,RUP2500,LIVEDTE,48,-164,-26,48,-1.58,-2765,-7883
NIFTY,09:16,30,CSL15,ALLDTE,81,-206,-101,46,-2.16,-2990,-16700
NIFTY,09:16,30,CSL15,LIVEDTE,48,-178,-31,48,-1.58,-2073,-8560
NIFTY,09:16,30,CSL20,ALLDTE,81,-213,-101,46,-2.19,-2990,-17254
NIFTY,09:16,30,CSL20,LIVEDTE,48,-190,-31,48,-1.61,-2154,-9114
NIFTY,09:16,30,CSL25,ALLDTE,81,-169,-49,48,-1.77,-2990,-13657
NIFTY,09:16,30,CSL25,LIVEDTE,48,-115,42,52,-1.02,-2645,-5517
NIFTY,09:16,30,CSL30,ALLDTE,81,-150,-49,48,-1.63,-2990,-12149
NIFTY,09:16,30,CSL30,LIVEDTE,48,-84,42,52,-0.8,-2765,-4009
NIFTY,09:16,30,MOVE04,ALLDTE,81,-166,-49,48,-1.71,-3614,-13427
NIFTY,09:16,30,MOVE04,LIVEDTE,48,-110,42,52,-0.94,-3614,-5271
NIFTY,09:16,30,NOSTOP,ALLDTE,81,-170,-49,48,-1.68,-4407,-13791
NIFTY,09:16,30,NOSTOP,LIVEDTE,48,-118,42,52,-0.93,-4407,-5651
NIFTY,09:16,30,PERLEG30,ALLDTE,81,-344,-377,40,-3.6,-2804,-27832
NIFTY,09:16,30,PERLEG30,LIVEDTE,48,-379,-408,38,-3.56,-2180,-18188
NIFTY,09:16,30,RUP2500,ALLDTE,81,-150,-49,48,-1.63,-2973,-12132
NIFTY,09:16,30,RUP2500,LIVEDTE,48,-84,42,52,-0.8,-2765,-4009
NIFTY,09:16,35,CSL15,ALLDTE,81,-191,-22,49,-1.95,-2541,-15489
NIFTY,09:16,35,CSL15,LIVEDTE,48,-160,30,52,-1.3,-2073,-7674
NIFTY,09:16,35,CSL20,ALLDTE,81,-197,-22,49,-1.97,-2541,-15982
NIFTY,09:16,35,CSL20,LIVEDTE,48,-170,30,52,-1.34,-2154,-8167
