label,ma,conf,exit,tax,n_trades,win_rate,avg_win,avg_loss,expectancy,max_lose_streak,corr_tn_d,secs,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar
sma20_none_2R_t10_tax0,sma20,none,2R_t10,0,5175,35.9,6.27,-4.73,-0.786,40,0.322,0.8,-17.43,-98.1,-1.16,-0.18,-13.54,-90.41,-0.99,-0.15,-13.59,-47.36,-1.28,-0.29,-20.5,-78.82,-1.19,-0.26
sma20_none_2R_t10_tax1,sma20,none,2R_t10,1,5175,35.9,6.27,-4.73,-0.785,40,0.326,0.9,-17.84,-98.28,-1.2,-0.18,-13.94,-91.03,-1.03,-0.15,-13.59,-47.36,-1.28,-0.29,-21.29,-80.2,-1.25,-0.27
sma20_none_2R_t15_tax0,sma20,none,2R_t15,0,4436,35.0,7.2,-5.0,-0.73,42,0.323,0.8,-14.07,-95.7,-0.9,-0.15,-10.26,-83.44,-0.71,-0.12,-6.61,-38.73,-0.54,-0.17,-17.65,-74.91,-0.98,-0.24
sma20_none_2R_t15_tax1,sma20,none,2R_t15,1,4434,35.0,7.2,-5.0,-0.728,42,0.329,0.9,-14.59,-96.2,-0.94,-0.15,-10.67,-84.48,-0.74,-0.13,-6.61,-38.73,-0.54,-0.17,-18.45,-76.05,-1.04,-0.24
sma20_rsi14_2R_t10_tax0,sma20,rsi14,2R_t10,0,553,36.9,6.39,-4.69,-0.603,18,0.103,0.6,2.83,-12.51,0.62,0.23,3.78,-9.66,0.86,0.39,4.91,-3.36,2.21,1.46,2.81,-9.66,0.49,0.29
sma20_rsi14_2R_t10_tax1,sma20,rsi14,2R_t10,1,553,36.9,6.39,-4.69,-0.603,18,0.106,0.7,2.7,-12.51,0.59,0.22,3.61,-9.66,0.83,0.37,4.72,-3.36,2.12,1.41,2.53,-9.66,0.45,0.26
sma20_rsi14_2R_t15_tax0,sma20,rsi14,2R_t15,0,553,36.2,7.23,-5.17,-0.688,16,0.108,0.6,2.45,-22.52,0.49,0.11,4.06,-9.42,0.87,0.43,4.79,-3.49,1.98,1.37,3.7,-9.42,0.6,0.39
sma20_rsi14_2R_t15_tax1,sma20,rsi14,2R_t15,1,553,36.2,7.23,-5.17,-0.688,16,0.112,0.9,2.24,-22.52,0.45,0.1,3.79,-9.42,0.82,0.4,4.62,-3.49,1.9,1.32,3.2,-9.42,0.52,0.34
sma20_rsi2_2R_t10_tax0,sma20,rsi2,2R_t10,0,1284,37.3,5.92,-4.56,-0.651,18,0.211,0.7,-0.08,-45.16,0.02,-0.0,2.14,-20.14,0.41,0.11,5.16,-4.49,1.67,1.15,-0.04,-20.14,0.03,-0.0
sma20_rsi2_2R_t10_tax1,sma20,rsi2,2R_t10,1,1284,37.3,5.92,-4.56,-0.651,18,0.216,0.9,-0.36,-45.16,-0.02,-0.01,1.86,-20.14,0.36,0.09,4.79,-4.49,1.52,1.07,-0.44,-20.14,-0.02,-0.02
sma20_rsi2_2R_t15_tax0,sma20,rsi2,2R_t15,0,1273,36.1,6.57,-4.85,-0.724,25,0.221,0.8,-0.66,-53.27,-0.05,-0.01,2.45,-19.0,0.44,0.13,6.03,-4.77,1.85,1.27,0.29,-19.0,0.08,0.02
sma20_rsi2_2R_t15_tax1,sma20,rsi2,2R_t15,1,1273,36.1,6.57,-4.85,-0.724,25,0.226,0.8,-0.99,-53.27,-0.1,-0.02,2.06,-19.01,0.37,0.11,5.54,-4.77,1.65,1.16,-0.29,-19.01,0.01,-0.02
sma20_rs70_2R_t10_tax0,sma20,rs70,2R_t10,0,4717,37.7,6.76,-5.08,-0.619,33,0.353,0.9,-12.5,-94.97,-0.75,-0.13,-6.56,-70.55,-0.38,-0.09,-2.7,-36.56,-0.19,-0.07,-11.82,-61.65,-0.53,-0.19
sma20_rs70_2R_t10_tax1,sma20,rs70,2R_t10,1,4717,37.7,6.76,-5.08,-0.619,33,0.36,1.0,-13.09,-95.62,-0.79,-0.14,-7.22,-73.43,-0.43,-0.1,-3.22,-37.76,-0.24,-0.09,-12.92,-63.78,-0.6,-0.2
sma20_rs70_2R_t15_tax0,sma20,rs70,2R_t15,0,4033,35.9,7.81,-5.4,-0.655,34,0.349,0.9,-11.46,-93.42,-0.66,-0.12,-6.01,-67.72,-0.33,-0.09,-4.15,-34.67,-0.31,-0.12,-10.35,-59.7,-0.45,-0.17
sma20_rs70_2R_t15_tax1,sma20,rs70,2R_t15,1,4033,36.0,7.78,-5.39,-0.658,34,0.357,1.0,-12.26,-94.53,-0.72,-0.13,-6.94,-71.92,-0.4,-0.1,-4.89,-36.47,-0.38,-0.13,-11.83,-62.29,-0.53,-0.19
sma20_stoch_2R_t10_tax0,sma20,stoch,2R_t10,0,3703,37.1,6.45,-4.63,-0.517,27,0.298,0.9,-7.19,-82.13,-0.5,-0.09,-6.91,-69.4,-0.53,-0.1,-3.47,-24.86,-0.34,-0.14,-11.87,-57.93,-0.7,-0.2
sma20_stoch_2R_t10_tax1,sma20,stoch,2R_t10,1,3703,37.1,6.45,-4.63,-0.517,27,0.305,1.0,-7.57,-83.55,-0.53,-0.09,-7.07,-70.17,-0.54,-0.1,-3.64,-25.32,-0.36,-0.14,-12.13,-58.74,-0.73,-0.21
sma20_stoch_2R_t15_tax0,sma20,stoch,2R_t15,0,3340,36.6,7.19,-4.91,-0.486,37,0.309,0.9,-6.1,-77.65,-0.4,-0.08,-4.69,-58.49,-0.33,-0.08,-2.56,-25.0,-0.23,-0.1,-7.88,-45.11,-0.42,-0.17
sma20_stoch_2R_t15_tax1,sma20,stoch,2R_t15,1,3339,36.6,7.19,-4.91,-0.485,37,0.316,0.9,-6.56,-79.78,-0.44,-0.08,-5.01,-60.48,-0.35,-0.08,-2.75,-25.53,-0.25,-0.11,-8.46,-47.37,-0.46,-0.18
sma20_cci_2R_t10_tax0,sma20,cci,2R_t10,0,1291,37.7,6.65,-4.66,-0.396,23,0.19,0.9,1.26,-20.5,0.21,0.06,0.35,-20.5,0.09,0.02,0.61,-8.24,0.16,0.07,-1.78,-20.5,-0.13,-0.09
sma20_cci_2R_t10_tax1,sma20,cci,2R_t10,1,1291,37.7,6.65,-4.66,-0.396,23,0.195,1.0,0.87,-22.48,0.16,0.04,-0.03,-22.48,0.03,-0.0,0.41,-8.24,0.11,0.05,-2.31,-22.48,-0.19,-0.1
sma20_cci_2R_t15_tax0,sma20,cci,2R_t15,0,1258,36.6,7.69,-5.19,-0.47,20,0.237,0.8,0.59,-27.05,0.12,0.02,-0.36,-27.05,-0.01,-0.01,0.35,-9.14,0.1,0.04,-2.89,-27.05,-0.22,-0.11
sma20_cci_2R_t15_tax1,sma20,cci,2R_t15,1,1258,36.6,7.69,-5.19,-0.47,20,0.242,0.9,0.06,-30.7,0.05,0.0,-0.88,-30.7,-0.07,-0.03,0.15,-9.14,0.06,0.02,-3.64,-30.7,-0.29,-0.12
sma50_none_2R_t10_tax0,sma50,none,2R_t10,0,4745,35.6,6.11,-4.66,-0.823,49,0.295,0.8,-16.36,-97.76,-1.11,-0.17,-13.87,-90.69,-1.02,-0.15,-11.74,-39.34,-1.23,-0.3,-21.81,-81.78,-1.26,-0.27
sma50_none_2R_t10_tax1,sma50,none,2R_t10,1,4744,35.6,6.11,-4.66,-0.821,49,0.3,0.9,-16.65,-97.92,-1.14,-0.17,-13.99,-90.87,-1.03,-0.15,-11.74,-39.34,-1.23,-0.3,-22.04,-82.14,-1.28,-0.27
sma50_none_2R_t15_tax0,sma50,none,2R_t15,0,4101,34.4,7.22,-4.95,-0.762,45,0.303,0.8,-13.32,-95.61,-0.86,-0.14,-10.87,-84.39,-0.74,-0.13,-11.83,-43.45,-1.17,-0.27,-15.93,-70.87,-0.83,-0.22
sma50_none_2R_t15_tax1,sma50,none,2R_t15,1,4101,34.4,7.22,-4.95,-0.762,45,0.309,0.9,-13.81,-96.09,-0.89,-0.14,-11.19,-85.18,-0.77,-0.13,-11.85,-43.5,-1.17,-0.27,-16.57,-72.33,-0.88,-0.23
