variant,direction,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
rs_30d_z1.5,LONG,687,253,434,36.83,18010.0,-8068.0,32.7,1.3,1054889.0,8.49,0.6,33.52,0.25,1919053.0
rs_60d_z1.5,LONG,720,262,458,36.39,16987.0,-7650.0,30.7,1.27,947057.0,8.28,0.58,29.9,0.28,1889076.0
rs_60d_z2.0,LONG,580,218,362,37.59,19616.0,-8572.0,31.5,1.38,1173360.0,10.12,0.75,27.27,0.37,2161914.0
rs_60d_z1.5_200sma,LONG,689,248,441,35.99,18393.0,-8079.0,31.0,1.28,998868.0,8.63,0.62,32.41,0.27,1938945.0
rs_60d_z1.5_vol_2x,LONG,515,193,322,37.48,15969.0,-7215.0,31.8,1.33,758913.0,7.12,0.61,22.05,0.32,1733710.0
