variant,phase,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
rs_30d_z1.5,IS,417,153,264,36.69,23664.0,-7849.0,45.5,1.75,1548572.0,9.21,0.61,33.52,0.27,1552779.0
rs_30d_z1.5,OOS,271,111,160,40.96,11603.0,-5691.0,35.9,1.41,377441.0,8.78,0.72,15.49,0.57,1286684.0
rs_60d_z2.0,IS,365,135,230,36.99,30469.0,-8420.0,43.1,2.12,2176730.0,9.74,0.68,26.65,0.37,1590711.0
rs_60d_z2.0,OOS,217,88,129,40.55,12705.0,-5647.0,35.7,1.53,389585.0,11.41,0.99,9.35,1.22,1382237.0
rs_60d_z1.5_vol_2x,IS,314,114,200,36.31,17821.0,-7238.0,39.7,1.4,584036.0,6.7,0.55,22.05,0.3,1382560.0
rs_60d_z1.5_vol_2x,OOS,201,81,120,40.3,11215.0,-5255.0,34.9,1.44,277786.0,8.01,0.75,9.79,0.82,1259535.0
