variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
rs_60d_z2.0,JINDALSTEL,LONG,2019-04-08,2019-04-23,188.30,174.71,531,15,INITIAL_STOP,-7215.77,-7408.53
rs_60d_z2.0,TATAMOTORS,LONG,2019-04-08,2019-05-07,206.00,191.04,485,29,INITIAL_STOP,-7255.30,-7447.87
rs_60d_z2.0,JINDALSTEL,LONG,2019-04-24,2019-05-09,175.50,161.46,565,15,INITIAL_STOP,-7932.60,-8122.98
rs_60d_z2.0,TATASTEEL,LONG,2019-05-02,2019-05-09,50.62,47.29,1960,7,INITIAL_STOP,-6520.28,-6712.19
rs_60d_z2.0,MCX,LONG,2019-05-02,2019-05-10,866.95,816.30,114,8,INITIAL_STOP,-5774.43,-5966.32
rs_60d_z2.0,IOC,LONG,2019-04-08,2019-05-13,88.05,81.07,1135,35,INITIAL_STOP,-7920.92,-8112.87
rs_60d_z2.0,ULTRACEMCO,LONG,2019-04-26,2019-05-13,4630.00,4398.38,21,17,INITIAL_STOP,-4863.94,-5053.54
rs_60d_z2.0,SBILIFE,LONG,2019-05-10,2019-05-13,650.10,619.99,149,3,INITIAL_STOP,-4487.10,-4676.35
rs_60d_z2.0,GRASIM,LONG,2019-04-24,2019-05-14,864.05,825.21,114,20,INITIAL_STOP,-4427.70,-4620.28
rs_60d_z2.0,JINDALSTEL,LONG,2019-05-10,2019-05-14,165.10,151.89,587,4,INITIAL_STOP,-7753.10,-7939.17
rs_60d_z2.0,JINDALSTEL,LONG,2019-05-15,2019-05-22,162.00,149.04,576,7,INITIAL_STOP,-7464.96,-7644.12
rs_60d_z2.0,BEL,LONG,2019-05-15,2019-05-24,29.70,37.12,3144,9,TARGET,23344.20,23134.10
rs_60d_z2.0,TATACONSUM,LONG,2019-05-14,2019-06-04,199.50,249.38,474,21,TARGET,23640.75,23427.98
rs_60d_z2.0,SHREECEM,LONG,2019-04-08,2019-06-07,19100.00,20739.25,5,60,MAX_HOLD,8196.25,7997.05
rs_60d_z2.0,TATAMOTORS,LONG,2019-05-14,2019-06-10,178.25,163.99,530,27,INITIAL_STOP,-7557.80,-7739.19
rs_60d_z2.0,SBIN,LONG,2019-05-23,2019-06-18,353.00,333.92,262,26,INITIAL_STOP,-4998.01,-5177.99
rs_60d_z2.0,ADANIPORTS,LONG,2019-06-10,2019-06-20,424.10,397.00,231,10,INITIAL_STOP,-6260.67,-6450.34
rs_60d_z2.0,BHARTIARTL,LONG,2019-04-23,2019-06-24,319.00,338.75,313,62,MAX_HOLD,6181.75,5975.87
rs_60d_z2.0,SBILIFE,LONG,2019-06-19,2019-06-25,706.00,677.28,137,6,INITIAL_STOP,-3934.89,-4124.40
rs_60d_z2.0,BEL,LONG,2019-05-27,2019-07-08,37.15,34.39,2555,42,INITIAL_STOP,-7044.59,-7227.38
rs_60d_z2.0,MCX,LONG,2019-05-13,2019-07-12,818.50,831.95,117,60,MAX_HOLD,1573.65,1380.55
rs_60d_z2.0,ULTRACEMCO,LONG,2019-05-14,2019-07-15,4326.00,4597.00,21,62,MAX_HOLD,5691.00,5503.62
rs_60d_z2.0,GRASIM,LONG,2019-05-15,2019-07-15,842.65,918.65,110,61,MAX_HOLD,8360.00,8166.26
rs_60d_z2.0,IOC,LONG,2019-05-17,2019-07-16,83.20,81.29,1122,60,MAX_HOLD,-2143.02,-2327.58
rs_60d_z2.0,SBIN,LONG,2019-07-18,2019-07-19,371.95,355.92,260,1,INITIAL_STOP,-4168.91,-4358.16
rs_60d_z2.0,TRENT,LONG,2019-06-25,2019-07-30,424.75,395.84,227,35,INITIAL_STOP,-6561.53,-6747.80
rs_60d_z2.0,TATACONSUM,LONG,2019-06-06,2019-08-05,249.90,257.70,389,60,MAX_HOLD,3034.20,2836.74
rs_60d_z2.0,POWERGRID,LONG,2019-07-25,2019-08-05,114.55,109.35,841,11,INITIAL_STOP,-4371.18,-4559.48
rs_60d_z2.0,HAL,LONG,2019-07-31,2019-08-05,333.55,319.86,287,5,INITIAL_STOP,-3928.50,-4116.03
rs_60d_z2.0,HDFCLIFE,LONG,2019-06-13,2019-08-13,444.80,519.35,218,61,MAX_HOLD,16251.90,16041.72
rs_60d_z2.0,SBILIFE,LONG,2019-06-28,2019-08-27,725.00,834.25,132,60,MAX_HOLD,14421.00,14215.18
rs_60d_z2.0,POWERGRID,LONG,2019-08-16,2019-09-23,111.25,104.09,870,38,INITIAL_STOP,-6229.86,-6417.21
rs_60d_z2.0,EICHERMOT,LONG,2019-09-24,2019-09-25,1949.00,1793.08,50,1,INITIAL_STOP,-7796.00,-7983.10
rs_60d_z2.0,APOLLOHOSP,LONG,2019-08-20,2019-09-30,1488.00,1379.02,65,41,INITIAL_STOP,-7083.51,-7269.86
rs_60d_z2.0,TRENT,LONG,2019-08-05,2019-10-04,436.90,490.00,219,60,MAX_HOLD,11628.90,11425.91
rs_60d_z2.0,ASIANPAINT,LONG,2019-08-05,2019-10-04,1533.20,1724.40,62,60,MAX_HOLD,11854.40,11652.43
