arm,family,n,total_net_lot,mean_net_lot,median_net_lot,sd_net_lot,t_stat,win_rate,worst_lot,best_lot,fire_rate,mean_hold_min,vs_be_mean,vs_be_t,vs_inc_mean,vs_inc_t,vs_rand_mean,is_mean,oos_mean,oos_n,oos_total,dte1_mean,dte2_mean,dte3p_mean,atm_mean,atm4_mean
INCUMBENT,null,86,213306,2480.3,2369.4,1494.6,15.39,93.0,-866,5583,90.7,69.1,-55.6,-0.24,0.0,0.0,78.9,2727,2064,32,66034,2527,1980,2946,2104,3002
BE_ONLY,null,86,218087,2535.9,2709.6,2446.1,9.61,69.8,-1002,7501,30.2,193.7,0.0,0.0,55.6,0.24,134.5,2805,2083,32,66640,2323,2059,3275,2367,2771
HOLD_EOD,null,86,183657,2135.5,3010.2,3936.5,5.03,82.6,-15716,7501,0.0,241.3,-400.3,-1.4,-344.8,-0.81,-265.8,2478,1558,32,49847,1435,1928,3155,2210,2033
CEIL_p5_m2.0_N1_COLD,CEIL,86,211174,2455.5,2411.0,1542.7,14.76,93.0,-613,5595,89.5,79.5,-80.4,-0.35,-24.8,-0.3,54.1,2632,2158,32,69066,2560,1862,2951,2071,2990
CEIL_p5_m2.0_N1_SEED,CEIL,86,213601,2483.7,2356.2,1487.2,15.49,95.3,-337,5595,88.4,76.2,-52.2,-0.21,3.4,0.04,82.3,2648,2207,32,70631,2630,1843,2980,2106,3009
CEIL_p5_m2.0_N2_COLD,CEIL,86,227512,2645.5,2485.2,1727.2,14.2,94.2,-911,7501,79.1,110.9,109.6,0.5,165.2,1.18,244.1,2975,2089,32,66846,2592,2426,2934,2463,2899
CEIL_p5_m2.0_N2_SEED,CEIL,86,226339,2631.9,2695.3,1754.8,13.91,91.9,-866,7501,77.9,110.9,96.0,0.49,151.6,1.17,230.5,2919,2147,32,68719,2637,2369,2898,2348,3026
CEIL_p5_m2.0_N3_COLD,CEIL,86,243983,2837.0,2819.1,1876.1,14.02,89.5,-1732,7501,65.1,145.7,301.1,1.55,356.7,2.13,435.6,3251,2138,32,68402,2784,2562,3183,2799,2890
CEIL_p5_m2.0_N3_SEED,CEIL,86,246289,2863.8,2901.6,1864.5,14.24,88.4,-1732,7501,65.1,152.8,327.9,1.82,383.5,2.29,462.4,3267,2183,32,69864,2872,2601,3127,2828,2913
CEIL_p5_m2.0_N5_COLD,CEIL,86,221814,2579.2,2924.4,2549.1,9.38,77.9,-4046,7501,46.5,183.6,43.3,0.26,98.9,0.4,177.8,3112,1680,32,53748,2257,2265,3275,2544,2629
CEIL_p5_m2.0_N5_SEED,CEIL,86,230193,2676.7,3079.5,2589.5,9.59,77.9,-4046,7501,43.0,189.8,140.8,0.94,196.4,0.77,275.3,3220,1760,32,56319,2281,2265,3558,2697,2649
CEIL_p5_m2.5_N1_COLD,CEIL,86,218138,2536.5,2604.8,1620.5,14.52,93.0,-613,5464,86.0,98.7,0.6,0.0,56.2,0.61,135.1,2761,2157,32,69024,2679,2035,2893,2184,3026
CEIL_p5_m2.5_N1_SEED,CEIL,86,224822,2614.2,2570.8,1675.9,14.47,95.3,-337,7501,82.6,102.3,78.3,0.35,133.9,1.24,212.8,2852,2213,32,70821,2641,2294,2915,2272,3090
CEIL_p5_m2.5_N2_COLD,CEIL,86,235984,2744.0,2616.8,1959.4,12.99,91.9,-2414,7501,73.3,131.7,208.1,1.05,263.7,1.53,342.6,3191,1989,32,63653,2707,2526,3013,2496,3088
CEIL_p5_m2.5_N2_SEED,CEIL,86,230266,2677.5,2575.8,2048.2,12.12,89.5,-2414,7501,73.3,130.6,141.6,0.72,197.2,1.12,276.1,3183,1825,32,58400,2560,2409,3091,2431,3021
CEIL_p5_m2.5_N3_COLD,CEIL,86,238050,2768.0,2868.6,2187.2,11.74,88.4,-4046,7501,62.8,152.0,232.1,1.3,287.7,1.38,366.6,3387,1724,32,55153,2589,2533,3218,2714,2843
CEIL_p5_m2.5_N3_SEED,CEIL,86,233792,2718.5,2819.1,2280.0,11.06,86.0,-4046,7501,61.6,152.6,182.6,1.03,238.2,1.16,317.1,3281,1769,32,56611,2629,2323,3231,2603,2879
CEIL_p5_m2.5_N5_COLD,CEIL,86,230110,2675.7,2962.9,2522.9,9.84,80.2,-2625,7501,43.0,186.1,139.8,1.03,195.4,0.79,274.3,3205,1782,32,57032,2413,2177,3495,2583,2805
CEIL_p5_m2.5_N5_SEED,CEIL,86,218150,2536.6,2821.1,2524.5,9.32,76.7,-2625,7501,44.2,184.7,0.7,0.01,56.3,0.24,135.2,2995,1763,32,56405,2359,1955,3344,2376,2760
CEIL_p5_m3.0_N1_COLD,CEIL,86,234399,2725.6,2628.3,1825.6,13.85,91.9,-613,7501,77.9,116.9,189.7,0.97,245.3,1.93,324.2,3065,2153,32,68907,2897,2334,2935,2441,3121
CEIL_p5_m3.0_N1_SEED,CEIL,86,237047,2756.4,2605.8,1881.7,13.58,93.0,-613,7501,76.7,123.3,220.5,1.13,276.1,2.06,355.0,3114,2153,32,68882,3006,2270,2975,2417,3228
CEIL_p5_m3.0_N2_COLD,CEIL,86,243181,2827.7,2680.5,2074.5,12.64,90.7,-2414,7501,66.3,146.0,291.8,1.56,347.4,1.88,426.3,3392,1875,32,59988,2634,2654,3231,2657,3065
CEIL_p5_m3.0_N2_SEED,CEIL,86,233097,2710.4,2528.0,2135.3,11.77,90.7,-2414,7501,69.8,143.3,174.5,0.95,230.1,1.26,309.0,3235,1825,32,58400,2586,2410,3165,2463,3054
CEIL_p5_m3.0_N3_COLD,CEIL,86,226732,2636.4,2819.1,2297.6,10.64,86.0,-4046,7501,61.6,158.1,100.5,0.55,156.1,0.75,235.0,3250,1601,32,51228,2494,2335,3112,2443,2904
CEIL_p5_m3.0_N3_SEED,CEIL,86,222598,2588.4,2785.4,2351.9,10.21,84.9,-4046,7501,62.8,158.7,52.5,0.29,108.1,0.52,187.0,3142,1655,32,52949,2496,2100,3201,2355,2913
CEIL_p5_m3.0_N5_COLD,CEIL,86,217775,2532.3,3079.5,2722.6,8.63,75.6,-3618,7501,38.4,193.0,-3.6,-0.03,52.0,0.18,130.9,2906,1902,32,60867,2031,2157,3497,2495,2585
CEIL_p5_m3.0_N5_SEED,CEIL,86,217471,2528.7,3079.5,2721.1,8.62,75.6,-3618,7501,38.4,196.1,-7.2,-0.06,48.4,0.17,127.3,2900,1902,32,60874,2052,2157,3462,2486,2588
CEIL_p5_m3.5_N1_COLD,CEIL,86,238453,2772.7,2628.3,1946.9,13.21,89.5,-613,7501,70.9,128.4,236.8,1.33,292.4,2.07,371.3,3167,2107,32,67416,2906,2342,3067,2474,3188
CEIL_p5_m3.5_N1_SEED,CEIL,86,243887,2835.9,2652.9,1929.6,13.63,93.0,-613,7501,70.9,136.3,300.0,1.71,355.6,2.45,434.5,3250,2137,32,68372,2995,2402,3103,2536,3252
CEIL_p5_m3.5_N2_COLD,CEIL,86,239175,2781.1,2784.9,2072.5,12.44,89.5,-911,7501,65.1,152.8,245.2,1.37,300.8,1.66,379.7,3299,1907,32,61036,2723,2491,3149,2556,3094
CEIL_p5_m3.5_N2_SEED,CEIL,86,240877,2800.9,2843.0,2099.3,12.37,87.2,-911,7501,64.0,154.6,265.0,1.52,320.6,1.8,399.5,3251,2042,32,65347,2816,2497,3098,2588,3096
CEIL_p5_m3.5_N3_COLD,CEIL,86,245258,2851.8,3079.3,2317.4,11.41,86.0,-2414,7501,47.7,169.9,315.9,1.96,371.5,1.74,450.4,3376,1967,32,62951,2662,2497,3437,2761,2978
CEIL_p5_m3.5_N3_SEED,CEIL,86,239155,2780.9,3010.2,2330.2,11.07,86.0,-2414,7501,48.8,169.4,245.0,1.47,300.6,1.45,379.5,3235,2014,32,64456,2687,2480,3201,2647,2966
CEIL_p5_m3.5_N5_COLD,CEIL,86,217719,2531.6,3010.2,2710.3,8.66,75.6,-3618,7501,33.7,198.1,-4.3,-0.03,51.3,0.18,130.2,2860,1977,32,63275,1899,2223,3578,2512,2559
CEIL_p5_m3.5_N5_SEED,CEIL,86,213792,2486.0,2897.3,2663.1,8.66,76.7,-3618,7501,33.7,193.1,-49.9,-0.36,5.7,0.02,84.6,2791,1972,32,63101,1899,2348,3303,2413,2588
CEIL_p5_m4.0_N1_COLD,CEIL,86,235718,2740.9,2551.0,1960.5,12.97,91.9,-613,7501,68.6,138.7,205.0,1.12,260.6,1.89,339.5,3090,2151,32,68837,2906,2220,3091,2369,3258
CEIL_p5_m4.0_N1_SEED,CEIL,86,242370,2818.3,2751.1,2016.2,12.96,89.5,-613,7501,66.3,152.2,282.4,1.65,338.0,2.16,416.9,3161,2241,32,71699,3085,2270,3080,2510,3246
CEIL_p5_m4.0_N2_COLD,CEIL,86,239663,2786.8,2897.3,2136.1,12.1,87.2,-911,7501,53.5,164.1,250.9,1.59,306.5,1.54,385.4,3172,2137,32,68386,2709,2282,3399,2563,3098
CEIL_p5_m4.0_N2_SEED,CEIL,86,237034,2756.2,2819.1,2171.8,11.77,84.9,-911,7501,52.3,170.3,220.3,1.53,275.9,1.35,354.8,3027,2299,32,73566,2774,2443,3061,2616,2951
CEIL_p5_m4.0_N3_COLD,CEIL,86,237119,2757.2,3079.5,2417.8,10.58,82.6,-2414,7501,40.7,184.0,221.3,1.36,276.9,1.18,355.8,3138,2115,32,67678,2417,2226,3699,2669,2880
CEIL_p5_m4.0_N3_SEED,CEIL,86,239251,2782.0,3010.2,2406.6,10.72,80.2,-1996,7501,39.5,187.8,246.1,1.92,301.7,1.28,380.6,3035,2356,32,75387,2516,2332,3554,2754,2821
CEIL_p5_m4.0_N5_COLD,CEIL,86,211400,2458.1,2819.1,2641.1,8.63,75.6,-3618,7501,31.4,198.3,-77.7,-0.57,-22.2,-0.08,56.8,2775,1924,32,61564,1994,2024,3441,2367,2585
CEIL_p5_m4.0_N5_SEED,CEIL,86,213265,2479.8,2897.3,2730.0,8.42,73.3,-3618,7501,30.2,203.2,-56.1,-0.45,-0.5,-0.0,78.4,2869,1824,32,58357,1926,2157,3450,2441,2534
CEIL_p7_m2.0_N1_COLD,CEIL,86,214605,2495.4,2495.6,1575.8,14.69,91.9,-866,5595,86.0,89.7,-40.5,-0.18,15.1,0.19,94.0,2635,2260,32,72308,2562,1940,2995,2153,2971
CEIL_p7_m2.0_N1_SEED,CEIL,86,216480,2517.2,2493.8,1540.9,15.15,93.0,-613,5595,86.0,83.5,-18.7,-0.08,36.9,0.39,115.8,2691,2224,32,71157,2554,2015,2995,2128,3058
CEIL_p7_m2.0_N2_COLD,CEIL,86,230486,2680.1,2624.5,1710.0,14.53,91.9,-1057,7501,76.7,115.9,144.2,0.65,199.8,1.48,278.7,2931,2257,32,72212,2618,2452,2988,2494,2939
CEIL_p7_m2.0_N2_SEED,CEIL,86,239628,2786.4,2782.5,1713.4,15.08,93.0,-200,7501,77.9,118.2,250.5,1.21,306.1,2.13,385.0,3124,2216,32,70920,2753,2540,3080,2531,3141
CEIL_p7_m2.0_N3_COLD,CEIL,86,251063,2919.3,2875.7,1864.0,14.52,89.5,-1732,7501,65.1,147.5,383.4,2.08,439.0,2.78,517.9,3306,2267,32,72544,2821,2588,3375,2834,3038
CEIL_p7_m2.0_N3_SEED,CEIL,86,251308,2922.2,2901.6,1753.9,15.45,93.0,-1732,7501,69.8,145.6,386.3,1.92,441.9,3.01,520.8,3283,2314,32,74051,3027,2576,3161,2802,3090
CEIL_p7_m2.0_N5_COLD,CEIL,86,243758,2834.4,3112.3,2438.6,10.78,81.4,-4046,7501,45.3,187.1,298.5,1.94,354.1,1.52,433.0,3309,2033,32,65045,2535,2318,3714,2933,2698
CEIL_p7_m2.0_N5_SEED,CEIL,86,251807,2928.0,3079.5,2249.3,12.07,86.0,-2625,7501,41.9,189.0,392.1,2.79,447.7,2.1,526.6,3266,2357,32,75432,2670,2445,3725,2985,2849
CEIL_p7_m2.5_N1_COLD,CEIL,86,220272,2561.3,2564.3,1675.3,14.18,91.9,-866,6956,82.6,106.5,25.4,0.12,81.0,0.85,159.9,2792,2172,32,69491,2747,1948,2984,2287,2942
CEIL_p7_m2.5_N1_SEED,CEIL,86,234212,2723.4,2619.8,1820.1,13.88,95.3,-613,7501,80.2,113.3,187.5,0.92,243.1,1.88,322.0,3026,2213,32,70813,2897,2263,3001,2394,3181
CEIL_p7_m2.5_N2_COLD,CEIL,86,238400,2772.1,2710.8,2068.9,12.43,89.5,-2414,7501,68.6,144.7,236.2,1.29,291.8,1.6,370.7,3318,1851,32,59235,2644,2531,3170,2663,2923
CEIL_p7_m2.5_N2_SEED,CEIL,86,240174,2792.7,2602.3,2059.8,12.57,91.9,-2414,7501,68.6,143.4,256.8,1.4,312.4,1.74,391.3,3327,1892,32,60534,2727,2485,3188,2591,3073
CEIL_p7_m2.5_N3_COLD,CEIL,86,236653,2751.8,2868.6,2222.4,11.48,87.2,-4046,7501,64.0,157.1,215.9,1.24,271.5,1.31,350.4,3339,1761,32,56352,2592,2502,3194,2721,2794
CEIL_p7_m2.5_N3_SEED,CEIL,86,232858,2707.7,2785.4,2282.5,11.0,86.0,-4046,7501,61.6,157.0,171.8,0.96,227.4,1.12,306.3,3269,1760,32,56311,2661,2297,3187,2564,2907
CEIL_p7_m2.5_N5_COLD,CEIL,86,213539,2483.0,2720.6,2618.2,8.79,76.7,-3618,7501,43.0,188.2,-52.9,-0.37,2.7,0.01,81.6,2900,1779,32,56919,2077,2145,3299,2415,2577
CEIL_p7_m2.5_N5_SEED,CEIL,86,222074,2582.3,2817.4,2574.1,9.3,76.7,-2625,7501,44.2,187.2,46.4,0.36,102.0,0.42,180.9,3070,1759,32,56292,2263,2245,3299,2471,2737
CEIL_p7_m3.0_N1_COLD,CEIL,86,239009,2779.2,2597.3,1921.4,13.41,91.9,-866,7501,72.1,125.4,243.3,1.29,298.9,2.28,377.8,3135,2178,32,69696,2901,2472,2957,2514,3147
CEIL_p7_m3.0_N1_SEED,CEIL,86,240358,2794.9,2628.3,1912.6,13.55,93.0,-613,7501,72.1,131.5,259.0,1.35,314.6,2.31,393.5,3180,2146,32,68662,3011,2310,3050,2458,3262
CEIL_p7_m3.0_N2_COLD,CEIL,86,245358,2853.0,2785.4,2088.2,12.67,89.5,-2414,7501,65.1,150.2,317.1,1.76,372.7,1.99,451.6,3369,1982,32,63423,2745,2652,3186,2755,2989
CEIL_p7_m3.0_N2_SEED,CEIL,86,233614,2716.4,2679.5,2134.3,11.8,90.7,-2414,7501,68.6,148.7,180.6,0.98,236.1,1.29,315.1,3230,1850,32,59205,2658,2545,2960,2477,3048
CEIL_p7_m3.0_N3_COLD,CEIL,86,234028,2721.3,3034.3,2373.6,10.63,83.7,-4046,7501,58.1,169.4,185.4,1.09,241.0,1.09,319.9,3194,1923,32,61537,2647,2369,3172,2657,2811
