arm,period,mult,N,seed,mean,vs_be,t,worst,is_mean,oos_mean
CEIL_p5_m3.0_N5_SEED,5,3.0,5,SEED,2528.686046511628,-7.151162790697675,-0.05610905421633094,-3618.0,2899.925925925926,1902.21875
CEIL_p5_m3.5_N1_COLD,5,3.5,1,COLD,2772.720930232558,236.88372093023256,1.3351606495197235,-613.0,3167.3703703703704,2106.75
CEIL_p5_m3.5_N1_SEED,5,3.5,1,SEED,2835.906976744186,300.06976744186045,1.70691547099631,-613.0,3250.296296296296,2136.625
CEIL_p5_m3.5_N2_COLD,5,3.5,2,COLD,2781.1046511627906,245.2674418604651,1.3700186250568829,-911.0,3298.8703703703704,1907.375
CEIL_p5_m3.5_N2_SEED,5,3.5,2,SEED,2800.8953488372094,265.0581395348837,1.5244257927064473,-911.0,3250.537037037037,2042.125
CEIL_p5_m3.5_N3_COLD,5,3.5,3,COLD,2851.8255813953488,315.98837209302326,1.9598783579478818,-2414.0,3376.0925925925926,1967.125
CEIL_p5_m3.5_N3_SEED,5,3.5,3,SEED,2780.8837209302324,245.04651162790697,1.4741521229315555,-2414.0,3235.203703703704,2014.21875
CEIL_p5_m3.5_N5_COLD,5,3.5,5,COLD,2531.5697674418607,-4.267441860465116,-0.033900444571954486,-3618.0,2860.037037037037,1977.28125
CEIL_p5_m3.5_N5_SEED,5,3.5,5,SEED,2485.9302325581393,-49.906976744186046,-0.35941171650013015,-3618.0,2790.5555555555557,1971.875
CEIL_p5_m4.0_N1_COLD,5,4.0,1,COLD,2740.906976744186,205.06976744186048,1.121041673771746,-613.0,3090.4074074074074,2151.125
CEIL_p5_m4.0_N1_SEED,5,4.0,1,SEED,2818.2558139534885,282.4186046511628,1.650297911186292,-613.0,3160.574074074074,2240.59375
CEIL_p5_m4.0_N2_COLD,5,4.0,2,COLD,2786.7558139534885,250.91860465116278,1.5866821320670907,-911.0,3171.796296296296,2137.0
CEIL_p5_m4.0_N2_SEED,5,4.0,2,SEED,2756.1976744186045,220.36046511627907,1.5270915146089488,-911.0,3027.1666666666665,2298.9375
CEIL_p5_m4.0_N3_COLD,5,4.0,3,COLD,2757.1744186046512,221.3372093023256,1.3627117983214043,-2414.0,3137.796296296296,2114.875
CEIL_p5_m4.0_N3_SEED,5,4.0,3,SEED,2781.9883720930234,246.15116279069767,1.9202304578283582,-1996.0,3034.537037037037,2355.8125
CEIL_p5_m4.0_N5_COLD,5,4.0,5,COLD,2458.1046511627906,-77.73255813953489,-0.5672397974070135,-3618.0,2774.703703703704,1923.84375
CEIL_p5_m4.0_N5_SEED,5,4.0,5,SEED,2479.7558139534885,-56.08139534883721,-0.4503163846207146,-3618.0,2868.6111111111113,1823.5625
CEIL_p7_m2.0_N1_COLD,7,2.0,1,COLD,2495.406976744186,-40.43023255813954,-0.1814836867257851,-866.0,2635.1481481481483,2259.59375
CEIL_p7_m2.0_N1_SEED,7,2.0,1,SEED,2517.2441860465115,-18.593023255813954,-0.08003538987100202,-613.0,2691.222222222222,2223.65625
CEIL_p7_m2.0_N2_COLD,7,2.0,2,COLD,2680.0813953488373,144.24418604651163,0.6482079019035888,-1057.0,2931.0,2256.65625
CEIL_p7_m2.0_N2_SEED,7,2.0,2,SEED,2786.3720930232557,250.53488372093022,1.205350644018012,-200.0,3124.222222222222,2216.25
CEIL_p7_m2.0_N3_COLD,7,2.0,3,COLD,2919.313953488372,383.4767441860465,2.07861935772085,-1732.0,3305.9074074074074,2266.9375
CEIL_p7_m2.0_N3_SEED,7,2.0,3,SEED,2922.1627906976746,386.3255813953488,1.9237346075140307,-1732.0,3282.5555555555557,2314.0
CEIL_p7_m2.0_N5_COLD,7,2.0,5,COLD,2834.3488372093025,298.51162790697674,1.9431159284163722,-4046.0,3309.4814814814813,2032.5625
CEIL_p7_m2.0_N5_SEED,7,2.0,5,SEED,2927.953488372093,392.1162790697674,2.785117072775787,-2625.0,3266.185185185185,2357.1875
CEIL_p7_m2.5_N1_COLD,7,2.5,1,COLD,2561.313953488372,25.476744186046513,0.11585075416679337,-866.0,2792.259259259259,2171.59375
CEIL_p7_m2.5_N1_SEED,7,2.5,1,SEED,2723.4302325581393,187.59302325581396,0.915564583607833,-613.0,3025.9444444444443,2212.9375
CEIL_p7_m2.5_N2_COLD,7,2.5,2,COLD,2772.093023255814,236.25581395348837,1.2862043553404703,-2414.0,3317.8703703703704,1851.09375
CEIL_p7_m2.5_N2_SEED,7,2.5,2,SEED,2792.7441860465115,256.90697674418607,1.4013974733911074,-2414.0,3326.703703703704,1891.6875
CEIL_p7_m2.5_N3_COLD,7,2.5,3,COLD,2751.767441860465,215.93023255813952,1.2439585098235202,-4046.0,3338.8888888888887,1761.0
CEIL_p7_m2.5_N3_SEED,7,2.5,3,SEED,2707.6046511627906,171.7674418604651,0.9643809006306524,-4046.0,3269.3333333333335,1759.6875
CEIL_p7_m2.5_N5_COLD,7,2.5,5,COLD,2482.9767441860463,-52.86046511627907,-0.37431766991870014,-3618.0,2900.3333333333335,1778.6875
CEIL_p7_m2.5_N5_SEED,7,2.5,5,SEED,2582.232558139535,46.395348837209305,0.3571092742438567,-2625.0,3070.0185185185187,1759.09375
CEIL_p7_m3.0_N1_COLD,7,3.0,1,COLD,2779.186046511628,243.34883720930233,1.2919237509839845,-866.0,3135.4444444444443,2178.0
CEIL_p7_m3.0_N1_SEED,7,3.0,1,SEED,2794.8953488372094,259.0581395348837,1.354959232618644,-613.0,3179.6111111111113,2145.6875
CEIL_p7_m3.0_N2_COLD,7,3.0,2,COLD,2853.0,317.16279069767444,1.763824157616161,-2414.0,3369.1666666666665,1981.96875
CEIL_p7_m3.0_N2_SEED,7,3.0,2,SEED,2716.4418604651164,180.6046511627907,0.980676845517194,-2414.0,3229.796296296296,1850.15625
CEIL_p7_m3.0_N3_COLD,7,3.0,3,COLD,2721.220930232558,185.38372093023256,1.085306700564796,-4046.0,3194.296296296296,1922.90625
CEIL_p7_m3.0_N3_SEED,7,3.0,3,SEED,2675.7093023255816,139.87209302325581,0.8111903183641643,-4046.0,3203.074074074074,1785.78125
CEIL_p7_m3.0_N5_COLD,7,3.0,5,COLD,2598.139534883721,62.30232558139535,0.47554699728595484,-3618.0,3017.1481481481483,1891.0625
CEIL_p7_m3.0_N5_SEED,7,3.0,5,SEED,2442.8255813953488,-93.01162790697674,-0.6604097827178749,-3618.0,2787.537037037037,1861.125
CEIL_p7_m3.5_N1_COLD,7,3.5,1,COLD,2793.1627906976746,257.3255813953488,1.5138070256092815,-866.0,3176.074074074074,2147.0
CEIL_p7_m3.5_N1_SEED,7,3.5,1,SEED,2868.3720930232557,332.5348837209302,1.9635712474213771,-613.0,3248.6666666666665,2226.625
CEIL_p7_m3.5_N2_COLD,7,3.5,2,COLD,2786.0116279069766,250.17441860465115,1.4446844858597114,-1057.0,3252.4074074074074,1998.96875
CEIL_p7_m3.5_N2_SEED,7,3.5,2,SEED,2741.1627906976746,205.32558139534885,1.2466586522833913,-911.0,3154.537037037037,2043.59375
CEIL_p7_m3.5_N3_COLD,7,3.5,3,COLD,2727.953488372093,192.11627906976744,1.240327569043489,-2414.0,3201.0,1929.6875
CEIL_p7_m3.5_N3_SEED,7,3.5,3,SEED,2720.0116279069766,184.17441860465115,1.3015938724430023,-2414.0,3185.574074074074,1934.375
CEIL_p7_m3.5_N5_COLD,7,3.5,5,COLD,2518.0,-17.837209302325583,-0.14202877504301592,-3618.0,2838.425925925926,1977.28125
CEIL_p7_m3.5_N5_SEED,7,3.5,5,SEED,2517.0581395348836,-18.77906976744186,-0.15723762155701776,-3618.0,2842.185185185185,1968.40625
CEIL_p7_m4.0_N1_COLD,7,4.0,1,COLD,2769.7906976744184,233.95348837209303,1.4066115687793521,-866.0,3120.5,2177.96875
CEIL_p7_m4.0_N1_SEED,7,4.0,1,SEED,2796.6162790697676,260.77906976744185,1.5166526925874855,-613.0,3139.3333333333335,2218.28125
CEIL_p7_m4.0_N2_COLD,7,4.0,2,COLD,2823.906976744186,288.06976744186045,1.898852000646908,-1057.0,3192.203703703704,2202.40625
CEIL_p7_m4.0_N2_SEED,7,4.0,2,SEED,2816.093023255814,280.25581395348837,2.2370615310322153,-911.0,3070.740740740741,2386.375
CEIL_p7_m4.0_N3_COLD,7,4.0,3,COLD,2843.2441860465115,307.40697674418607,2.1267137266449656,-2414.0,3198.0555555555557,2244.5
CEIL_p7_m4.0_N3_SEED,7,4.0,3,SEED,2828.313953488372,292.4767441860465,2.246749666375135,-1996.0,3093.277777777778,2381.1875
CEIL_p7_m4.0_N5_COLD,7,4.0,5,COLD,2502.1046511627906,-33.73255813953488,-0.2703525295310398,-3618.0,2849.6666666666665,1915.59375
CEIL_p7_m4.0_N5_SEED,7,4.0,5,SEED,2491.2558139534885,-44.58139534883721,-0.3508576804561128,-3618.0,2861.8333333333335,1865.90625
CEIL_p10_m2.0_N1_COLD,10,2.0,1,COLD,2594.093023255814,58.25581395348837,0.27278770397269503,-866.0,2818.1666666666665,2215.96875
CEIL_p10_m2.0_N1_SEED,10,2.0,1,SEED,2514.093023255814,-21.74418604651163,-0.09578428221385314,-613.0,2689.3703703703704,2218.3125
CEIL_p10_m2.0_N2_COLD,10,2.0,2,COLD,2848.7906976744184,312.95348837209303,1.551356608345922,-1057.0,3186.537037037037,2278.84375
CEIL_p10_m2.0_N2_SEED,10,2.0,2,SEED,2708.9302325581393,173.09302325581396,0.8567473366523374,-200.0,3065.8518518518517,2106.625
CEIL_p10_m2.0_N3_COLD,10,2.0,3,COLD,3009.1046511627906,473.2674418604651,2.7976073185087778,-1732.0,3367.8888888888887,2403.65625
CEIL_p10_m2.0_N3_SEED,10,2.0,3,SEED,2927.1744186046512,391.33720930232556,2.20386132544459,-1732.0,3411.685185185185,2109.5625
CEIL_p10_m2.0_N5_COLD,10,2.0,5,COLD,2733.139534883721,197.30232558139534,1.3936452532124968,-4046.0,3192.3888888888887,1958.15625
CEIL_p10_m2.0_N5_SEED,10,2.0,5,SEED,2700.139534883721,164.30232558139534,1.1277212537243981,-4046.0,3256.3888888888887,1761.46875
CEIL_p10_m2.5_N1_COLD,10,2.5,1,COLD,2689.2558139534885,153.41860465116278,0.8138264744812921,-866.0,2992.0925925925926,2178.21875
CEIL_p10_m2.5_N1_SEED,10,2.5,1,SEED,2798.2441860465115,262.40697674418607,1.3489139226512277,-613.0,3152.1481481481483,2201.03125
CEIL_p10_m2.5_N2_COLD,10,2.5,2,COLD,2916.3023255813955,380.4651162790698,2.2533513968999297,-1057.0,3418.1481481481483,2069.4375
CEIL_p10_m2.5_N2_SEED,10,2.5,2,SEED,2866.2441860465115,330.40697674418607,1.891278721294557,-248.0,3251.8703703703704,2215.5
CEIL_p10_m2.5_N3_COLD,10,2.5,3,COLD,2802.2441860465115,266.40697674418607,1.7158220403179778,-1989.0,3253.1481481481483,2041.34375
CEIL_p10_m2.5_N3_SEED,10,2.5,3,SEED,2722.8953488372094,187.0581395348837,1.138307486727036,-1732.0,3170.203703703704,1968.0625
CEIL_p10_m2.5_N5_COLD,10,2.5,5,COLD,2463.0232558139537,-72.81395348837209,-0.5006223514041912,-4046.0,2932.0185185185187,1671.59375
CEIL_p10_m2.5_N5_SEED,10,2.5,5,SEED,2330.732558139535,-205.1046511627907,-1.5385472204136883,-4046.0,2767.0185185185187,1594.5
CEIL_p10_m3.0_N1_COLD,10,3.0,1,COLD,2793.220930232558,257.3837209302326,1.5075915542910068,-866.0,3166.8333333333335,2162.75
CEIL_p10_m3.0_N1_SEED,10,3.0,1,SEED,2825.732558139535,289.8953488372093,1.6356154671076817,-613.0,3241.6481481481483,2123.875
CEIL_p10_m3.0_N2_COLD,10,3.0,2,COLD,2791.8255813953488,255.98837209302326,1.4677554603461032,-2414.0,3294.703703703704,1943.21875
CEIL_p10_m3.0_N2_SEED,10,3.0,2,SEED,2699.3255813953488,163.48837209302326,0.9445670461883067,-2414.0,3176.9074074074074,1893.40625
CEIL_p10_m3.0_N3_COLD,10,3.0,3,COLD,2713.1511627906975,177.3139534883721,1.086062748038505,-4046.0,3155.8518518518517,1966.09375
CEIL_p10_m3.0_N3_SEED,10,3.0,3,SEED,2727.3255813953488,191.48837209302326,1.2523783429587292,-4046.0,3250.9074074074074,1843.78125
CEIL_p10_m3.0_N5_COLD,10,3.0,5,COLD,2560.9302325581393,25.093023255813954,0.1743098108600488,-3618.0,2960.037037037037,1887.4375
CEIL_p10_m3.0_N5_SEED,10,3.0,5,SEED,2471.7558139534885,-64.0813953488372,-0.49255144004528867,-3618.0,2828.5185185185187,1869.71875
CEIL_p10_m3.5_N1_COLD,10,3.5,1,COLD,2753.5697674418607,217.7325581395349,1.3129757121206957,-866.0,3116.1296296296296,2141.75
CEIL_p10_m3.5_N1_SEED,10,3.5,1,SEED,2836.220930232558,300.3837209302326,1.7331965048392675,-613.0,3206.259259259259,2211.78125
CEIL_p10_m3.5_N2_COLD,10,3.5,2,COLD,2746.5697674418607,210.7325581395349,1.3394286736311192,-1057.0,3095.3333333333335,2158.03125
CEIL_p10_m3.5_N2_SEED,10,3.5,2,SEED,2662.3255813953488,126.48837209302326,0.8859522120242841,-911.0,2999.240740740741,2093.78125
CEIL_p10_m3.5_N3_COLD,10,3.5,3,COLD,2709.3372093023254,173.5,1.1905139365948894,-2414.0,3113.740740740741,2026.90625
CEIL_p10_m3.5_N3_SEED,10,3.5,3,SEED,2725.3720930232557,189.53488372093022,1.4625418127977179,-2414.0,3119.0185185185187,2061.09375
CEIL_p10_m3.5_N5_COLD,10,3.5,5,COLD,2589.767441860465,53.93023255813954,0.4287801543010033,-3618.0,2976.277777777778,1937.53125
CEIL_p10_m3.5_N5_SEED,10,3.5,5,SEED,2556.5,20.662790697674417,0.17100700354960616,-3618.0,2905.0,1968.40625
CEIL_p10_m4.0_N1_COLD,10,4.0,1,COLD,2759.6046511627906,223.7674418604651,1.357426677580442,-866.0,3065.4074074074074,2243.5625
CEIL_p10_m4.0_N1_SEED,10,4.0,1,SEED,2779.5697674418607,243.7325581395349,1.4357435481742906,-613.0,3129.314814814815,2189.375
CEIL_p10_m4.0_N2_COLD,10,4.0,2,COLD,2779.6976744186045,243.86046511627907,1.469395777886202,-1057.0,3124.6111111111113,2197.65625
CEIL_p10_m4.0_N2_SEED,10,4.0,2,SEED,2978.9186046511627,443.0813953488372,3.1742118145048948,-911.0,3353.4444444444443,2346.90625
CEIL_p10_m4.0_N3_COLD,10,4.0,3,COLD,2876.8023255813955,340.9651162790698,2.1533120381524786,-2414.0,3320.037037037037,2128.84375
CEIL_p10_m4.0_N3_SEED,10,4.0,3,SEED,2869.2441860465115,333.40697674418607,2.1964628943724827,-4046.0,3403.5185185185187,1967.65625
CEIL_p10_m4.0_N5_COLD,10,4.0,5,COLD,2517.3488372093025,-18.488372093023255,-0.14683185307972302,-3618.0,2908.9444444444443,1856.53125
CEIL_p10_m4.0_N5_SEED,10,4.0,5,SEED,2533.1627906976746,-2.6744186046511627,-0.02045198305894625,-3618.0,2935.074074074074,1854.9375
CEIL_p14_m2.0_N1_COLD,14,2.0,1,COLD,2659.093023255814,123.25581395348837,0.6282998718177341,-866.0,2910.185185185185,2235.375
CEIL_p14_m2.0_N1_SEED,14,2.0,1,SEED,2628.220930232558,92.38372093023256,0.4133708014568916,-613.0,2854.8333333333335,2245.8125
CEIL_p14_m2.0_N2_COLD,14,2.0,2,COLD,2849.3837209302324,313.54651162790697,1.8631094749916441,-1057.0,3271.8333333333335,2136.5
CEIL_p14_m2.0_N2_SEED,14,2.0,2,SEED,2806.7906976744184,270.95348837209303,1.319196801488163,-248.0,3205.759259259259,2133.53125
CEIL_p14_m2.0_N3_COLD,14,2.0,3,COLD,2833.313953488372,297.4767441860465,1.9080409844813395,-1996.0,3254.0,2123.40625
CEIL_p14_m2.0_N3_SEED,14,2.0,3,SEED,2991.5581395348836,455.72093023255815,2.7161143669220564,-1732.0,3479.4814814814813,2168.1875
CEIL_p14_m2.0_N5_COLD,14,2.0,5,COLD,2594.9651162790697,59.127906976744185,0.4335379438166505,-4046.0,2947.925925925926,1999.34375
CEIL_p14_m2.0_N5_SEED,14,2.0,5,SEED,2495.6627906976746,-40.174418604651166,-0.2845693700175978,-4046.0,2980.1296296296296,1678.125
CEIL_p14_m2.5_N1_COLD,14,2.5,1,COLD,2706.0697674418607,170.2325581395349,0.952123657773055,-866.0,2953.0555555555557,2289.28125
CEIL_p14_m2.5_N1_SEED,14,2.5,1,SEED,2789.4302325581393,253.59302325581396,1.3088634347002808,-613.0,3167.962962962963,2150.65625
CEIL_p14_m2.5_N2_COLD,14,2.5,2,COLD,2927.3720930232557,391.5348837209302,2.6843748205460614,-1134.0,3319.240740740741,2266.09375
CEIL_p14_m2.5_N2_SEED,14,2.5,2,SEED,2891.6744186046512,355.83720930232556,2.1507310159927857,-302.0,3243.240740740741,2298.40625
CEIL_p14_m2.5_N3_COLD,14,2.5,3,COLD,2874.3488372093025,338.51162790697674,2.3419702039008734,-1989.0,3332.6111111111113,2101.03125
CEIL_p14_m2.5_N3_SEED,14,2.5,3,SEED,2909.1627906976746,373.3255813953488,2.4528873778878397,-1732.0,3298.3703703703704,2252.375
CEIL_p14_m2.5_N5_COLD,14,2.5,5,COLD,2490.0581395348836,-45.77906976744186,-0.3188299967801792,-4046.0,2969.3518518518517,1681.25
CEIL_p14_m2.5_N5_SEED,14,2.5,5,SEED,2424.860465116279,-110.97674418604652,-0.8732329956508977,-4046.0,2798.9444444444443,1793.59375
CEIL_p14_m3.0_N1_COLD,14,3.0,1,COLD,2891.9767441860463,356.13953488372096,2.6496489709167004,-866.0,3216.759259259259,2343.90625
CEIL_p14_m3.0_N1_SEED,14,3.0,1,SEED,2832.5116279069766,296.6744186046512,1.7186090987996767,-613.0,3203.3888888888887,2206.65625
CEIL_p14_m3.0_N2_COLD,14,3.0,2,COLD,2787.3372093023254,251.5,1.7537635360222126,-2414.0,3234.425925925926,2032.875
CEIL_p14_m3.0_N2_SEED,14,3.0,2,SEED,2713.8023255813955,177.96511627906978,1.0462553515367499,-2414.0,3171.925925925926,1940.71875
CEIL_p14_m3.0_N3_COLD,14,3.0,3,COLD,2767.593023255814,231.75581395348837,1.5927617200816002,-4046.0,3233.5185185185187,1981.34375
CEIL_p14_m3.0_N3_SEED,14,3.0,3,SEED,2757.4302325581393,221.59302325581396,1.3790031763653872,-4046.0,3273.462962962963,1886.625
CEIL_p14_m3.0_N5_COLD,14,3.0,5,COLD,2516.7093023255816,-19.127906976744185,-0.14984647073321597,-3618.0,2899.277777777778,1871.125
CEIL_p14_m3.0_N5_SEED,14,3.0,5,SEED,2538.0116279069766,2.1744186046511627,0.017053507662837565,-3618.0,2918.4444444444443,1896.03125
CEIL_p14_m3.5_N1_COLD,14,3.5,1,COLD,2852.639534883721,316.80232558139534,2.4387541022331845,-866.0,3164.4444444444443,2326.46875
CEIL_p14_m3.5_N1_SEED,14,3.5,1,SEED,2797.1511627906975,261.3139534883721,1.5463560822559668,-613.0,3159.685185185185,2185.375
CEIL_p14_m3.5_N2_COLD,14,3.5,2,COLD,2829.453488372093,293.6162790697674,2.276872699570375,-1134.0,3196.314814814815,2210.375
CEIL_p14_m3.5_N2_SEED,14,3.5,2,SEED,2910.3488372093025,374.51162790697674,2.477141493699746,-911.0,3320.203703703704,2218.71875
CEIL_p14_m3.5_N3_COLD,14,3.5,3,COLD,2761.3837209302324,225.54651162790697,1.6070587059105133,-2414.0,3222.0,1984.09375
CEIL_p14_m3.5_N3_SEED,14,3.5,3,SEED,2978.8720930232557,443.0348837209302,3.115566977100177,-1989.0,3345.185185185185,2360.71875
CEIL_p14_m3.5_N5_COLD,14,3.5,5,COLD,2610.6511627906975,74.81395348837209,0.5783065176434595,-3618.0,3040.074074074074,1886.0
CEIL_p14_m3.5_N5_SEED,14,3.5,5,SEED,2641.9651162790697,106.12790697674419,0.7906523289494374,-2625.0,3107.8518518518517,1855.78125
CEIL_p14_m4.0_N1_COLD,14,4.0,1,COLD,2853.313953488372,317.4767441860465,2.511882507280377,-866.0,3169.0925925925926,2320.4375
CEIL_p14_m4.0_N1_SEED,14,4.0,1,SEED,2796.8837209302324,261.04651162790697,1.6107929299334554,-613.0,3169.574074074074,2167.96875
CEIL_p14_m4.0_N2_COLD,14,4.0,2,COLD,2839.220930232558,303.3837209302326,2.1066874823263118,-1134.0,3219.6666666666665,2197.21875
CEIL_p14_m4.0_N2_SEED,14,4.0,2,SEED,2751.232558139535,215.3953488372093,1.7489854262455815,-2414.0,3239.0925925925926,1927.96875
CEIL_p14_m4.0_N3_COLD,14,4.0,3,COLD,2861.4418604651164,325.6046511627907,2.404451174991042,-2414.0,3257.259259259259,2193.5
CEIL_p14_m4.0_N3_SEED,14,4.0,3,SEED,2713.1976744186045,177.36046511627907,1.3132266058941937,-4046.0,3212.4074074074074,1870.78125
CEIL_p14_m4.0_N5_COLD,14,4.0,5,COLD,2664.686046511628,128.84883720930233,0.9651881838697697,-3618.0,3120.037037037037,1896.28125
CEIL_p14_m4.0_N5_SEED,14,4.0,5,SEED,2574.5581395348836,38.72093023255814,0.28886838763628403,-3618.0,3009.703703703704,1840.25
