arm,period,mult,N,seed,mean,vs_be,t,worst,is_mean,oos_mean
CEIL_p5_m2.0_N1_COLD,5,2.0,1,COLD,2455.5348837209303,-80.30232558139535,-0.35196019515868365,-613.0,2631.6481481481483,2158.34375
CEIL_p5_m2.0_N1_SEED,5,2.0,1,SEED,2483.767441860465,-52.06976744186046,-0.2142373838362461,-337.0,2647.6481481481483,2207.21875
CEIL_p5_m2.0_N2_COLD,5,2.0,2,COLD,2645.4651162790697,109.62790697674419,0.5051462973504907,-911.0,2975.259259259259,2088.9375
CEIL_p5_m2.0_N2_SEED,5,2.0,2,SEED,2631.8488372093025,96.01162790697674,0.4929677716549936,-866.0,2918.8703703703704,2147.5
CEIL_p5_m2.0_N3_COLD,5,2.0,3,COLD,2837.0232558139537,301.1860465116279,1.549886933306932,-1732.0,3251.5185185185187,2137.5625
CEIL_p5_m2.0_N3_SEED,5,2.0,3,SEED,2863.813953488372,327.9767441860465,1.8168078248089676,-1732.0,3267.1481481481483,2183.1875
CEIL_p5_m2.0_N5_COLD,5,2.0,5,COLD,2579.1511627906975,43.31395348837209,0.2618863118586985,-4046.0,3112.277777777778,1679.5
CEIL_p5_m2.0_N5_SEED,5,2.0,5,SEED,2676.593023255814,140.75581395348837,0.9443637341608511,-4046.0,3219.8518518518517,1759.84375
CEIL_p5_m2.5_N1_COLD,5,2.5,1,COLD,2536.5116279069766,0.6744186046511628,0.003070588419051934,-613.0,2761.3888888888887,2157.03125
CEIL_p5_m2.5_N1_SEED,5,2.5,1,SEED,2614.232558139535,78.3953488372093,0.3519411258949588,-337.0,2851.8888888888887,2213.1875
CEIL_p5_m2.5_N2_COLD,5,2.5,2,COLD,2744.0232558139537,208.1860465116279,1.0489791464475364,-2414.0,3191.3333333333335,1989.1875
CEIL_p5_m2.5_N2_SEED,5,2.5,2,SEED,2677.5116279069766,141.67441860465115,0.7192557264567405,-2414.0,3182.685185185185,1825.03125
CEIL_p5_m2.5_N3_COLD,5,2.5,3,COLD,2768.046511627907,232.2093023255814,1.2994972390488733,-4046.0,3387.0,1723.5625
CEIL_p5_m2.5_N3_SEED,5,2.5,3,SEED,2718.5,182.6627906976744,1.0318937945862878,-4046.0,3281.1111111111113,1769.09375
CEIL_p5_m2.5_N5_COLD,5,2.5,5,COLD,2675.6627906976746,139.82558139534885,1.0305485398407828,-2625.0,3205.1296296296296,1782.1875
CEIL_p5_m2.5_N5_SEED,5,2.5,5,SEED,2536.5813953488373,0.7441860465116279,0.00523883311202186,-2625.0,2995.240740740741,1762.59375
CEIL_p5_m3.0_N1_COLD,5,3.0,1,COLD,2725.5813953488373,189.74418604651163,0.9681683863421513,-613.0,3064.6666666666665,2153.375
CEIL_p5_m3.0_N1_SEED,5,3.0,1,SEED,2756.360465116279,220.52325581395348,1.1343713573957324,-613.0,3114.1666666666665,2152.5625
CEIL_p5_m3.0_N2_COLD,5,3.0,2,COLD,2827.6976744186045,291.86046511627904,1.5627690773868388,-2414.0,3392.4814814814813,1874.625
CEIL_p5_m3.0_N2_SEED,5,3.0,2,SEED,2710.4651162790697,174.62790697674419,0.946286485332996,-2414.0,3235.1666666666665,1825.03125
CEIL_p5_m3.0_N3_COLD,5,3.0,3,COLD,2636.406976744186,100.56976744186046,0.5458241926245389,-4046.0,3250.0925925925926,1600.8125
CEIL_p5_m3.0_N3_SEED,5,3.0,3,SEED,2588.3372093023254,52.5,0.2856227860295828,-4046.0,3141.6481481481483,1654.625
CEIL_p5_m3.0_N5_COLD,5,3.0,5,COLD,2532.2093023255816,-3.627906976744186,-0.02872673288455428,-3618.0,2905.6666666666665,1902.0
