name,definition,mean_n_pass,n_pass_2026,pct_of_has_data,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
has_data,n_fy_usable >= 4 (four filed years = one 3-year growth rate),1283.4,2126,100.0,65.0,76.6,93.8,669.6,1485.5,1574.7,1666.9,1784.3,1922.3,2044.8,2107.8,2118.6
arun_strict,sales_g3>20 & profit_g3>20 & roe_avg3>15 & roce>15 (lenders: ROE only) & de<=0.2 & mcap_pit>1000cr & no negatives,26.4,46,2.06,0.5,0.4,0.6,5.1,12.8,12.0,12.2,20.9,36.8,69.8,90.6,64.4
no_growth,arun_strict without the growth test,124.7,239,9.72,2.9,3.4,4.2,52.6,122.2,119.8,132.3,159.7,176.5,223.3,271.4,262.4
no_roe,arun_strict without the ROE test,33.0,64,2.57,1.5,1.4,1.6,6.9,16.9,15.9,14.1,24.2,44.9,88.5,110.9,81.4
no_roce,arun_strict without the ROCE test,27.2,46,2.12,0.5,0.4,0.6,5.1,12.8,12.0,12.2,20.9,38.1,71.5,93.2,69.1
no_de,arun_strict without the debt/equity test,56.0,101,4.36,0.5,0.4,0.6,12.6,30.7,30.2,32.5,48.9,84.8,144.1,174.8,130.4
no_mcap,arun_strict without the market-cap floor,36.4,52,2.84,0.6,0.4,0.6,9.0,22.7,21.6,20.3,33.2,58.5,96.6,108.2,74.7
g15_mc500,strict with growth>15% and mcap>500cr,47.7,81,3.71,1.0,1.4,1.6,13.3,31.9,28.2,24.2,41.2,71.2,116.5,144.0,113.9
g15_mc1000,strict with growth>15% and mcap>1000cr,43.2,77,3.37,0.9,1.4,1.6,11.8,27.4,24.2,23.1,37.6,61.1,104.4,134.1,107.3
g15_mc2500,strict with growth>15% and mcap>2500cr,34.5,69,2.68,0.4,1.1,0.9,8.8,19.9,18.2,18.2,28.3,49.2,82.9,108.0,91.7
g20_mc500,strict with growth>20% and mcap>500cr,30.0,49,2.34,0.6,0.4,0.6,6.0,15.5,15.0,13.3,24.1,45.2,80.2,99.1,70.1
g20_mc1000,strict with growth>20% and mcap>1000cr,26.4,46,2.06,0.5,0.4,0.6,5.1,12.8,12.0,12.2,20.9,36.8,69.8,90.6,64.4
g20_mc2500,strict with growth>20% and mcap>2500cr,20.6,40,1.6,0.0,0.4,0.5,3.8,9.8,9.5,9.3,16.1,29.6,52.2,71.1,52.6
g25_mc500,strict with growth>25% and mcap>500cr,20.1,30,1.57,0.0,0.4,0.6,3.5,7.8,7.6,7.8,15.2,30.8,56.7,70.3,48.0
g25_mc1000,strict with growth>25% and mcap>1000cr,17.7,27,1.38,0.0,0.4,0.6,3.2,7.4,6.4,6.8,12.5,24.7,48.2,64.2,44.9
g25_mc2500,strict with growth>25% and mcap>2500cr,13.8,22,1.08,0.0,0.4,0.5,3.0,6.2,4.7,5.3,10.0,19.9,35.2,50.5,35.2
g30_mc500,strict with growth>30% and mcap>500cr,12.8,19,1.0,0.0,0.0,0.0,2.7,5.2,4.5,3.0,6.4,17.2,39.8,49.7,29.8
g30_mc1000,strict with growth>30% and mcap>1000cr,11.1,17,0.86,0.0,0.0,0.0,2.3,4.8,3.7,3.0,5.2,13.0,32.9,45.0,27.3
g30_mc2500,strict with growth>30% and mcap>2500cr,8.5,14,0.66,0.0,0.0,0.0,2.2,3.6,1.9,1.8,4.8,10.4,23.1,35.6,21.8
de0p2,strict with debt/equity <= 0.2,26.4,46,2.06,0.5,0.4,0.6,5.1,12.8,12.0,12.2,20.9,36.8,69.8,90.6,64.4
de0p5,strict with debt/equity <= 0.5,37.5,68,2.92,0.5,0.4,0.6,6.3,15.5,15.2,18.9,34.0,60.1,102.8,121.2,86.7
de1p0,strict with debt/equity <= 1.0,47.5,85,3.7,0.5,0.4,0.6,8.0,20.8,21.8,24.5,42.6,78.2,127.2,150.6,110.4
q12,strict with ROE and ROCE > 12%,31.7,58,2.47,1.5,1.4,1.6,6.9,16.5,15.6,14.5,23.3,42.5,84.3,106.4,77.8
q15,strict with ROE and ROCE > 15%,26.4,46,2.06,0.5,0.4,0.6,5.1,12.8,12.0,12.2,20.9,36.8,69.8,90.6,64.4
q20,strict with ROE and ROCE > 20%,15.1,29,1.18,0.0,0.0,0.0,2.5,6.4,6.8,7.8,13.5,22.1,36.5,51.1,41.2
opm_slope_pos,strict AND 3-year annual OPM slope >= 0 (margins not falling),18.1,35,1.41,0.5,0.0,0.0,3.6,9.3,8.4,9.3,17.2,23.2,43.9,63.4,45.7
opm_steady,strict AND 3-year annual OPM range <= 5pp (margins stable),16.6,30,1.29,0.0,0.0,0.0,2.6,7.2,7.8,5.2,8.8,20.5,47.2,62.8,43.2
opm_rising_q,"strict AND 8-quarter OPM slope > 0 - RECENT WINDOW ONLY (~mid-2023 on): Screener carries ~13 quarters, so this is NaN and therefore False before that",7.9,29,0.62,0.5,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,24.2,40.5,32.3
opm_min,strict AND minimum annual OPM over 3 years >= 10pp,21.9,41,1.71,0.5,0.4,0.6,3.8,8.0,7.3,9.7,18.2,32.9,58.9,75.2,56.0
growth_only,sales_g3>20 & profit_g3>20 & no negatives,162.6,276,12.67,4.4,5.8,7.0,54.3,139.2,150.3,120.3,139.8,239.6,386.0,421.8,322.1
quality_only,roe_avg3>15 & roce>15 (lenders: ROE only) & de<=0.2,163.8,269,12.76,4.0,4.8,6.8,79.6,184.0,179.7,178.0,209.5,242.8,288.2,321.6,301.0
