venue,dist,mode,n,base_total,wing_total,hedged_total,wing_mean,wing_median,wing_best,wing_paid_days,base_worst,hedged_worst,base_p10,hedged_p10,skip_vol,skip_stale,skip_noarm
NIFTY,100,AFTERUP,11,67192,-4998,62194,-454,-1226,7230,3,-6275,955,1185,1584,0,0,87
NIFTY,150,AFTERUP,11,67192,-3300,63892,-300,-706,4597,1,-6275,-1678,1185,-262,0,0,87
NIFTY,200,AFTERUP,11,67192,-2118,65074,-193,-407,2553,1,-6275,-3722,1185,362,0,0,87
NIFTY,250,AFTERUP,11,67192,-2180,65012,-198,-329,1288,1,-6275,-4987,1185,609,0,0,87
NIFTY,300,AFTERUP,11,67192,-2204,64988,-200,-283,593,1,-6275,-5682,1185,772,0,0,87
NIFTY,400,AFTERUP,11,67192,-2236,64956,-203,-244,61,1,-6275,-6214,1185,869,0,0,87
NIFTY,500,AFTERUP,11,67192,-2190,65002,-199,-231,-56,0,-6275,-6331,1185,921,0,0,87
NIFTY,100,ATENTRY,98,373729,-374819,-1090,-3825,-4182,15716,19,-26668,-10952,-5462,-2657,0,0,0
NIFTY,150,ATENTRY,98,373729,-314212,59517,-3206,-3477,12569,18,-26668,-14099,-5462,-3072,0,0,0
NIFTY,200,ATENTRY,98,373729,-261108,112621,-2664,-2681,9804,16,-26668,-16864,-5462,-2763,0,0,0
NIFTY,250,ATENTRY,98,373729,-220654,153075,-2252,-2178,8923,16,-26668,-19973,-5462,-3588,0,0,0
NIFTY,300,ATENTRY,98,373729,-185486,188243,-1893,-1506,7832,12,-26668,-22357,-5462,-4413,0,0,0
NIFTY,400,ATENTRY,98,373729,-139102,234627,-1419,-780,2614,10,-26668,-25131,-5462,-5043,0,0,0
NIFTY,500,ATENTRY,98,373729,-105345,268384,-1075,-508,2138,10,-26668,-26272,-5462,-5045,0,0,0
SENSEX,400,AFTERUP,11,235785,-15815,219970,-1438,-1119,-104,0,-2237,-4084,3718,2599,0,0,40
SENSEX,600,AFTERUP,11,235785,-7715,228070,-701,-583,-103,0,-2237,-3212,3718,3135,0,0,40
SENSEX,800,AFTERUP,11,235785,-5217,230568,-474,-447,-111,0,-2237,-2932,3718,3271,0,0,40
SENSEX,1000,AFTERUP,11,235785,-4144,231641,-377,-351,-127,0,-2237,-2812,3718,3343,0,0,40
SENSEX,1200,AFTERUP,11,235785,-3784,232001,-344,-327,-135,0,-2237,-2772,3718,3375,0,0,40
SENSEX,1600,AFTERUP,11,235785,-3288,232497,-299,-303,-134,0,-2237,-2708,3718,3415,0,0,40
SENSEX,2000,AFTERUP,11,235785,-1856,233929,-169,-127,-103,0,-2237,-2364,3718,3615,0,0,40
SENSEX,400,ATENTRY,51,219904,-132660,87244,-2601,-3416,13752,13,-29233,-23088,-12989,-3153,0,0,0
SENSEX,600,ATENTRY,51,219904,-96226,123678,-1887,-2191,11489,12,-29233,-29126,-12989,-4755,0,0,0
SENSEX,800,ATENTRY,51,219904,-69021,150883,-1353,-1610,9628,11,-29233,-29074,-12989,-6113,0,0,0
SENSEX,1000,ATENTRY,51,219904,-48346,171558,-948,-1176,8072,11,-29233,-28499,-12989,-7964,0,0,0
SENSEX,1200,ATENTRY,51,219904,-36287,183617,-712,-933,6497,11,-29233,-28962,-12989,-9998,0,0,0
SENSEX,1600,ATENTRY,51,219904,-28418,191486,-557,-607,2727,9,-29233,-29313,-12989,-12401,0,0,0
SENSEX,2000,ATENTRY,51,219904,-20521,199383,-402,-297,27,1,-29233,-29480,-12989,-13104,0,0,0
